GEOID,county,category,population,total_population,proportion,percent,margin_of_error
19001,"Adair County, Iowa",Black or African American alone,115,7460,0.015415549597855228,1.5415549597855227,16
19001,"Adair County, Iowa",American Indian and Alaska Native alone,13,7460,0.001742627345844504,0.17426273458445038,25
19001,"Adair County, Iowa",Asian alone,23,7460,0.0030831099195710457,0.3083109919571046,16
19001,"Adair County, Iowa",Native Hawaiian and Pacific Islander alone,5,7460,6.702412868632708e-4,0.06702412868632708,11
19001,"Adair County, Iowa",Some other race alone,62,7460,0.008310991957104557,0.8310991957104558,42
19001,"Adair County, Iowa",Two or more races,201,7460,0.026943699731903484,2.6943699731903483,50
19003,"Adams County, Iowa",Black or African American alone,11,3622,0.003036996134732192,0.3036996134732192,10
19003,"Adams County, Iowa",American Indian and Alaska Native alone,8,3622,0.0022087244616234127,0.22087244616234128,15
19003,"Adams County, Iowa",Asian alone,0,3622,0,0,10
19003,"Adams County, Iowa",Native Hawaiian and Pacific Islander alone,0,3622,0,0,10
19003,"Adams County, Iowa",Some other race alone,5,3622,0.0013804527885146328,0.13804527885146328,7
19003,"Adams County, Iowa",Two or more races,164,3622,0.04527885146327996,4.527885146327995,37
19005,"Allamakee County, Iowa",Black or African American alone,257,14092,0.01823729775759296,1.823729775759296,49
19005,"Allamakee County, Iowa",American Indian and Alaska Native alone,124,14092,0.008799318762418393,0.8799318762418393,115
19005,"Allamakee County, Iowa",Asian alone,57,14092,0.0040448481407891,0.40448481407891,33
19005,"Allamakee County, Iowa",Native Hawaiian and Pacific Islander alone,0,14092,0,0,16
19005,"Allamakee County, Iowa",Some other race alone,310,14092,0.021998296906045982,2.199829690604598,153
19005,"Allamakee County, Iowa",Two or more races,928,14092,0.06585296622196991,6.585296622196991,217
19007,"Appanoose County, Iowa",Black or African American alone,100,12184,0.008207485226526593,0.8207485226526593,93
19007,"Appanoose County, Iowa",American Indian and Alaska Native alone,3,12184,2.4622455679579775e-4,0.024622455679579776,7
19007,"Appanoose County, Iowa",Asian alone,111,12184,0.009110308601444517,0.9110308601444517,39
19007,"Appanoose County, Iowa",Native Hawaiian and Pacific Islander alone,0,12184,0,0,16
19007,"Appanoose County, Iowa",Some other race alone,0,12184,0,0,16
19007,"Appanoose County, Iowa",Two or more races,366,12184,0.030039395929087328,3.0039395929087327,156
19009,"Audubon County, Iowa",Black or African American alone,28,5599,0.005000893016610109,0.500089301661011,31
19009,"Audubon County, Iowa",American Indian and Alaska Native alone,10,5599,0.001786033220217896,0.1786033220217896,14
19009,"Audubon County, Iowa",Asian alone,3,5599,5.358099660653688e-4,0.05358099660653688,13
19009,"Audubon County, Iowa",Native Hawaiian and Pacific Islander alone,14,5599,0.0025004465083050546,0.2500446508305055,18
19009,"Audubon County, Iowa",Some other race alone,64,5599,0.011430612609394535,1.1430612609394535,51
19009,"Audubon County, Iowa",Two or more races,187,5599,0.03339882121807466,3.3398821218074657,48
19011,"Benton County, Iowa",Black or African American alone,107,25724,0.004159539729435547,0.4159539729435547,42
19011,"Benton County, Iowa",American Indian and Alaska Native alone,26,25724,0.001010729280049759,0.10107292800497589,27
19011,"Benton County, Iowa",Asian alone,60,25724,0.002332452184730213,0.2332452184730213,33
19011,"Benton County, Iowa",Native Hawaiian and Pacific Islander alone,0,25724,0,0,19
19011,"Benton County, Iowa",Some other race alone,319,25724,0.012400870782148967,1.2400870782148967,98
19011,"Benton County, Iowa",Two or more races,837,25724,0.03253770797698647,3.253770797698647,138
19013,"Black Hawk County, Iowa",Black or African American alone,12135,131049,0.09259895153721127,9.259895153721127,599
19013,"Black Hawk County, Iowa",American Indian and Alaska Native alone,382,131049,0.002914940213202695,0.2914940213202695,226
19013,"Black Hawk County, Iowa",Asian alone,3565,131049,0.027203565078711016,2.7203565078711014,259
19013,"Black Hawk County, Iowa",Native Hawaiian and Pacific Islander alone,964,131049,0.0073560271348884765,0.7356027134888476,33
19013,"Black Hawk County, Iowa",Some other race alone,3191,131049,0.024349670733847646,2.434967073384765,562
19013,"Black Hawk County, Iowa",Two or more races,6664,131049,0.05085120832665644,5.085120832665644,873
19015,"Boone County, Iowa",Black or African American alone,307,26668,0.011511924403779811,1.1511924403779812,91
