county_name,race,census_count
Adair,Black/African American,115
Adair,American Indian/Alaskan Native,13
Adair,Asian,23
Adair,Native Hawaiian/Pacific Islander,5
Adair,Multiracial,201
Adams,Black/African American,11
Adams,American Indian/Alaskan Native,8
Adams,Asian,0
Adams,Native Hawaiian/Pacific Islander,0
Adams,Multiracial,164
Allamakee,Black/African American,257
Allamakee,American Indian/Alaskan Native,124
Allamakee,Asian,57
Allamakee,Native Hawaiian/Pacific Islander,0
Allamakee,Multiracial,928
Appanoose,Black/African American,100
Appanoose,American Indian/Alaskan Native,3
Appanoose,Asian,111
Appanoose,Native Hawaiian/Pacific Islander,0
Appanoose,Multiracial,366
Audubon,Black/African American,28
Audubon,American Indian/Alaskan Native,10
Audubon,Asian,3
Audubon,Native Hawaiian/Pacific Islander,14
Audubon,Multiracial,187
Benton,Black/African American,107
Benton,American Indian/Alaskan Native,26
Benton,Asian,60
Benton,Native Hawaiian/Pacific Islander,0
Benton,Multiracial,837
Black Hawk,Black/African American,12135
Black Hawk,American Indian/Alaskan Native,382
Black Hawk,Asian,3565
Black Hawk,Native Hawaiian/Pacific Islander,964
Black Hawk,Multiracial,6664
Boone,Black/African American,307
Boone,American Indian/Alaskan Native,11
Boone,Asian,53
Boone,Native Hawaiian/Pacific Islander,0
Boone,Multiracial,1029
Bremer,Black/African American,289
Bremer,American Indian/Alaskan Native,12
Bremer,Asian,226
Bremer,Native Hawaiian/Pacific Islander,8
Bremer,Multiracial,955
Buchanan,Black/African American,124
Buchanan,American Indian/Alaskan Native,58
Buchanan,Asian,40
Buchanan,Native Hawaiian/Pacific Islander,13
Buchanan,Multiracial,517
Buena Vista,Black/African American,679
Buena Vista,American Indian/Alaskan Native,85
Buena Vista,Asian,1982
Buena Vista,Native Hawaiian/Pacific Islander,608
Buena Vista,Multiracial,2604
Butler,Black/African American,24
Butler,American Indian/Alaskan Native,7
Butler,Asian,179
Butler,Native Hawaiian/Pacific Islander,0
Butler,Multiracial,387
Calhoun,Black/African American,158
Calhoun,American Indian/Alaskan Native,17
Calhoun,Asian,22
Calhoun,Native Hawaiian/Pacific Islander,0
Calhoun,Multiracial,450
Carroll,Black/African American,139
Carroll,American Indian/Alaskan Native,22
Carroll,Asian,39
Carroll,Native Hawaiian/Pacific Islander,0
Carroll,Multiracial,1069
Cass,Black/African American,118
Cass,American Indian/Alaskan Native,43
Cass,Asian,68
Cass,Native Hawaiian/Pacific Islander,54
Cass,Multiracial,308
Cedar,Black/African American,79
Cedar,American Indian/Alaskan Native,13
Cedar,Asian,96
Cedar,Native Hawaiian/Pacific Islander,10
Cedar,Multiracial,840
Cerro Gordo,Black/African American,987
Cerro Gordo,American Indian/Alaskan Native,77
Cerro Gordo,Asian,499
Cerro Gordo,Native Hawaiian/Pacific Islander,267
Cerro Gordo,Multiracial,2280
Cherokee,Black/African American,202
Cherokee,American Indian/Alaskan Native,0
Cherokee,Asian,43
Cherokee,Native Hawaiian/Pacific Islander,0
Cherokee,Multiracial,813
Chickasaw,Black/African American,64
Chickasaw,American Indian/Alaskan Native,46
Chickasaw,Asian,2
Chickasaw,Native Hawaiian/Pacific Islander,2
Chickasaw,Multiracial,455
Clarke,Black/African American,5
Clarke,American Indian/Alaskan Native,97
Clarke,Asian,54
Clarke,Native Hawaiian/Pacific Islander,0
Clarke,Multiracial,703
Clay,Black/African American,45
Clay,American Indian/Alaskan Native,26
Clay,Asian,124
Clay,Native Hawaiian/Pacific Islander,0
Clay,Multiracial,659
Clayton,Black/African American,112
Clayton,American Indian/Alaskan Native,10
Clayton,Asian,56
Clayton,Native Hawaiian/Pacific Islander,0
Clayton,Multiracial,581
Clinton,Black/African American,1434
Clinton,American Indian/Alaskan Native,126
Clinton,Asian,310
