court_number,court_name,result_status,race,ethnicity,total
021,Adams County District Court,No Result,Unknown ,,1
021,Adams County District Court,No Result,White ,,106
031,Allamakee County District Court,Court,White ,Hispanic/Latinx/Spanish Origins,1
031,Allamakee County District Court,Court,White ,,15
031,Allamakee County District Court,Juror,White ,,27
031,Allamakee County District Court,Not Used,White ,,26
031,Allamakee County District Court,Peremptory Strike (Defendant/Respondent),Unknown ,,1
031,Allamakee County District Court,Peremptory Strike (Defendant/Respondent),White ,,40
031,Allamakee County District Court,Peremptory Strike (Plaintiff/Petitioner),Other ,Hispanic/Latinx/Spanish Origins,1
031,Allamakee County District Court,Peremptory Strike (Plaintiff/Petitioner),White ,,33
041,Appanoose County District Court,Alternate,White ,,1
041,Appanoose County District Court,Challenged For Cause (Plaintiff/Petitioner),American Indian/Alaskan Native ,,1
041,Appanoose County District Court,Challenged For Cause (Plaintiff/Petitioner),White ,,8
041,Appanoose County District Court,Court,White ,,8
041,Appanoose County District Court,Juror,White ,,13
041,Appanoose County District Court,Not Used,White ,,17
041,Appanoose County District Court,Peremptory Strike (Defendant/Respondent),Asian ,,1
041,Appanoose County District Court,Peremptory Strike (Defendant/Respondent),Black/African American ,,1
041,Appanoose County District Court,Peremptory Strike (Defendant/Respondent),White ,,9
041,Appanoose County District Court,Peremptory Strike (Plaintiff/Petitioner),Unknown ,,1
041,Appanoose County District Court,Peremptory Strike (Plaintiff/Petitioner),White ,,10
061,Benton County District Court,Challenged For Cause (Plaintiff/Petitioner),White ,,1
061,Benton County District Court,Court,White ,,8
061,Benton County District Court,Juror,White ,Hispanic/Latinx/Spanish Origins,1
061,Benton County District Court,Juror,White ,,51
061,Benton County District Court,No Result,White ,,40
061,Benton County District Court,Not Used,American Indian/Alaskan Native ,Hispanic/Latinx/Spanish Origins,1
061,Benton County District Court,Not Used,White ,,40
061,Benton County District Court,Not Used,White ,Hispanic/Latinx/Spanish Origins,1
061,Benton County District Court,Peremptory Strike (Defendant/Respondent),"Multi Race Black/African American, White",,1
061,Benton County District Court,Peremptory Strike (Defendant/Respondent),White ,,23
061,Benton County District Court,Peremptory Strike (Plaintiff/Petitioner),Multi Race Other,Hispanic/Latinx/Spanish Origins,1
