court_number,court_name,multi_race_breakout,multi_race_count,hlso_ethnicity_count
011,Adair County District Court,"Multi Race Black/African American, White",1,0
011,Adair County District Court,"Multi Race Other, White",1,1
021,Adams County District Court,Multi Race ,1,0
021,Adams County District Court,"Multi Race Black/African American, White",1,0
021,Adams County District Court,"Multi Race Unknown, White",1,0
021,Adams County District Court,Multi Race White,1,1
031,Allamakee County District Court,Multi Race ,2,0
031,Allamakee County District Court,"Multi Race American Indian/Alaskan Native, Unknown, White",1,1
031,Allamakee County District Court,"Multi Race Asian, White",1,0
031,Allamakee County District Court,"Multi Race Black/African American, White",2,0
031,Allamakee County District Court,"Multi Race Other, White",1,1
041,Appanoose County District Court,Multi Race ,1,0
041,Appanoose County District Court,"Multi Race Asian, White",1,0
041,Appanoose County District Court,"Multi Race Black/African American, White",1,0
041,Appanoose County District Court,"Multi Race Other, White",1,1
051,Audubon County District Court,"Multi Race Black/African American, White",2,0
061,Benton County District Court,"Multi Race American Indian/Alaskan Native, Black/African American, White",2,0
061,Benton County District Court,"Multi Race Asian, Black/African American, Native Hawaiian/Other Pacific Islander, White",1,0
061,Benton County District Court,"Multi Race Asian, White",4,0
061,Benton County District Court,"Multi Race Black/African American, White",6,0
061,Benton County District Court,Multi Race Other,1,1
061,Benton County District Court,"Multi Race Other, White",2,2
061,Benton County District Court,Multi Race White,1,1
071,Black Hawk County District Court,Multi Race ,12,0
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, Asian, White",1,0
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, Black/African American",2,0
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, Black/African American, Other",4,0
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, Black/African American, Other, Unknown, White",1,0
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, Black/African American, Other, White",2,0
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, Black/African American, White",7,2
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, Native Hawaiian/Other Pacific Islander",1,1
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, Other",1,0
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, Other, White",1,1
071,Black Hawk County District Court,"Multi Race American Indian/Alaskan Native, White",10,1
071,Black Hawk County District Court,Multi Race Asian,1,0
071,Black Hawk County District Court,"Multi Race Asian, Black/African American",4,0
071,Black Hawk County District Court,"Multi Race Asian, Black/African American, White",1,0
071,Black Hawk County District Court,"Multi Race Asian, White",46,2
071,Black Hawk County District Court,Multi Race Black/African American,1,0
071,Black Hawk County District Court,"Multi Race Black/African American, Native Hawaiian/Other Pacific Islander, White",4,0
071,Black Hawk County District Court,"Multi Race Black/African American, Other",3,2
071,Black Hawk County District Court,"Multi Race Black/African American, White",124,6
071,Black Hawk County District Court,"Multi Race Native Hawaiian/Other Pacific Islander, White",1,0
071,Black Hawk County District Court,Multi Race Other,16,10
071,Black Hawk County District Court,"Multi Race Other, Unknown, White",1,1
071,Black Hawk County District Court,"Multi Race Other, White",24,23
071,Black Hawk County District Court,Multi Race Unknown,2,1
071,Black Hawk County District Court,Multi Race White,17,16
081,Boone County District Court,Multi Race ,4,0
081,Boone County District Court,"Multi Race American Indian/Alaskan Native, Asian, Black/African American, White",1,0
081,Boone County District Court,"Multi Race American Indian/Alaskan Native, Asian, White",2,0
081,Boone County District Court,"Multi Race American Indian/Alaskan Native, Black/African American, Native Hawaiian/Other Pacific Islander",1,1
081,Boone County District Court,"Multi Race American Indian/Alaskan Native, Black/African American, White",2,0
081,Boone County District Court,"Multi Race American Indian/Alaskan Native, Other, Unknown, White",1,0
081,Boone County District Court,"Multi Race American Indian/Alaskan Native, Other, White",1,0
081,Boone County District Court,"Multi Race American Indian/Alaskan Native, Unknown, White",1,0
081,Boone County District Court,"Multi Race American Indian/Alaskan Native, White",10,1
081,Boone County District Court,"Multi Race Asian, Native Hawaiian/Other Pacific Islander, Other",1,0
081,Boone County District Court,"Multi Race Asian, Other, White",1,1
081,Boone County District Court,"Multi Race Asian, White",8,0
081,Boone County District Court,"Multi Race Black/African American, Other, White",1,0
081,Boone County District Court,"Multi Race Black/African American, White",15,0
081,Boone County District Court,"Multi Race Native Hawaiian/Other Pacific Islander, White",2,0
081,Boone County District Court,Multi Race Other,4,3
081,Boone County District Court,"Multi Race Other, White",5,3
081,Boone County District Court,Multi Race Unknown,1,0
081,Boone County District Court,Multi Race White,6,6
091,Bremer County District Court,"Multi Race American Indian/Alaskan Native, Black/African American, White",1,1
091,Bremer County District Court,"Multi Race American Indian/Alaskan Native, Other, White",1,1
091,Bremer County District Court,"Multi Race Black/African American, White",4,0
091,Bremer County District Court,Multi Race Other,1,0
091,Bremer County District Court,"Multi Race Other, White",1,1
101,Buchanan County District Court,"Multi Race American Indian/Alaskan Native, Other, White",1,0
101,Buchanan County District Court,"Multi Race American Indian/Alaskan Native, White",1,0
101,Buchanan County District Court,"Multi Race Asian, White",2,0
101,Buchanan County District Court,"Multi Race Black/African American, Other, White",1,1
