court_number,court_name,american_indian_alaskan_native,asian,black_african_american,hispanic_latino_spanish_origins,multi_race,native_hawaiian_pacific_islander,not_provided,other,unknown,white,hlso_ethnicity,total,adj_total
011,Adair County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
021,Adams County District Court,0,0,0,0,0,0,0,0,1,106,0,107,107
031,Allamakee County District Court,0,0,0,0,0,0,0,1,1,142,2,144,144
041,Appanoose County District Court,1,1,1,0,0,0,0,0,1,66,0,70,70
051,Audubon County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
061,Benton County District Court,1,0,0,0,2,0,0,0,0,188,4,191,191
071,Black Hawk County District Court,6,37,200,0,55,3,1,44,11,2424,82,2781,2780
081,Boone County District Court,2,2,2,0,5,0,0,4,0,531,7,546,546
091,Bremer County District Court,0,1,2,0,3,0,0,2,0,300,4,308,308
101,Buchanan County District Court,1,2,0,0,2,0,2,0,0,375,3,382,380
111,Buena Vista County District Court,0,3,0,1,0,0,0,7,1,48,12,60,60
121,Butler County District Court,0,0,0,0,0,0,0,0,0,80,0,80,80
131,Calhoun County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Carroll County District Court,0,0,1,0,3,0,0,0,0,59,2,63,63
151,Cass County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Cedar County District Court,0,1,0,0,0,0,0,0,0,46,1,47,47
171,Cerro Gordo County District Court,1,3,4,0,6,0,2,6,0,359,16,381,379
181,Cherokee County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Chickasaw County District Court,0,0,0,0,0,0,0,0,0,40,0,40,40
201,Clarke County District Court,2,0,0,0,2,0,0,2,1,162,5,169,169
211,Clay County District Court,1,2,1,0,0,0,0,3,0,186,4,193,193
221,Clayton County District Court,0,0,0,0,0,0,0,1,0,80,1,81,81
231,Clinton County District Court,1,2,9,0,12,3,0,7,1,514,13,549,549
241,Crawford County District Court,0,0,0,0,0,0,0,2,0,59,6,61,61
251,Dallas County District Court,2,19,17,0,12,2,0,17,2,714,22,785,785
261,Davis County District Court,1,0,0,0,0,0,1,1,0,62,1,65,64
271,Decatur County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Delaware County District Court,0,0,0,0,0,0,0,0,0,26,0,26,26
291,Des Moines County District Court,3,4,25,0,14,1,5,5,3,800,20,860,855
301,Dickinson County District Court,0,0,0,0,0,0,0,2,0,77,0,79,79
311,Dubuque County District Court,0,10,13,0,11,1,0,6,1,855,22,897,897
321,Emmet County District Court,0,0,0,0,2,0,0,1,0,37,3,40,40
331,Fayette County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
341,Floyd County District Court,0,0,2,0,0,0,0,2,0,50,3,54,54
351,Franklin County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
361,Fremont County District Court,0,0,0,0,2,0,0,0,1,34,1,37,37
371,Greene County District Court,1,1,0,0,0,0,1,2,0,233,4,238,237
381,Grundy County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
391,Guthrie County District Court,0,2,1,0,2,0,1,3,3,210,5,222,221
401,Hamilton County District Court,0,1,0,0,0,0,0,0,0,58,1,59,59
411,Hancock County District Court,1,0,2,0,2,0,0,3,1,268,9,277,277
421,Hardin County District Court,1,0,0,0,0,0,0,0,0,136,0,137,137
431,Harrison County District Court,0,1,0,0,0,0,0,0,0,135,1,136,136
441,Henry County District Court,0,0,0,0,1,0,0,1,0,26,2,28,28
451,Howard County District Court,0,0,1,0,0,0,1,1,0,53,0,56,55
461,Humboldt County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
471,Ida County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Iowa County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
491,Jackson County District Court,0,0,0,0,0,1,0,0,1,58,2,60,60
501,Jasper County District Court,1,2,0,0,3,0,0,2,0,186,5,194,194
511,Jefferson County District Court,0,0,0,0,3,0,0,0,0,123,3,126,126
521,Johnson County District Court,2,33,55,1,17,2,2,22,6,912,57,1052,1050
531,Jones County District Court,0,0,0,0,1,0,0,1,0,92,2,94,94
541,Keokuk County District Court,0,0,0,0,0,0,0,0,0,54,0,54,54
551,Kossuth County District Court,0,0,2,0,1,0,0,0,1,95,1,99,99
561,Lee County District Court,0,1,2,0,1,0,0,0,0,38,1,42,42
562,Lee County District Court,0,0,2,0,0,0,0,0,1,118,3,121,121
571,Linn County District Court,12,35,118,0,45,3,0,41,5,2721,90,2980,2980
581,Louisa County District Court,0,0,1,0,3,1,1,7,0,193,13,206,205
591,Lucas County District Court,0,0,2,0,2,0,1,0,0,113,0,118,117
601,Lyon County District Court,0,0,0,0,2,0,0,1,0,112,3,115,115
611,Madison County District Court,1,1,1,0,2,0,0,2,1,357,4,365,365
621,Mahaska County District Court,0,3,2,0,4,0,0,2,0,268,3,279,279
631,Marion County District Court,0,0,1,0,0,0,0,1,0,69,0,71,71
641,Marshall County District Court,8,18,8,0,10,3,2,63,4,1201,176,1317,1315
651,Mills County District Court,0,2,0,0,2,0,1,3,0,167,6,175,174
661,Mitchell County District Court,1,0,0,0,0,0,0,0,0,132,1,133,133
671,Monona County District Court,2,0,0,0,0,0,0,1,0,80,0,83,83
681,Monroe County District Court,0,0,0,0,0,0,0,1,0,44,1,45,45
691,Montgomery County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
701,Muscatine County District Court,2,13,14,0,22,0,6,65,3,1201,153,1326,1320
711,O'Brien County District Court,0,1,0,0,1,0,0,0,0,40,0,42,42
721,Osceola County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
731,Page County District Court,0,0,0,0,1,0,0,0,0,80,0,81,81
741,Palo Alto County District Court,0,1,0,0,1,0,0,0,0,117,2,119,119
751,Plymouth County District Court,1,2,1,0,3,2,1,4,0,272,8,286,285
761,Pocahontas County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
771,Polk County District Court,10,129,189,0,79,4,0,88,13,3520,248,4032,4032
781,Pottawattamie County District Court,0,2,1,0,3,0,0,4,0,183,13,193,193
782,Pottawattamie County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
791,Poweshiek County District Court,0,0,0,0,1,0,0,0,0,72,0,73,73
801,Ringgold County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
811,Sac County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
821,Scott County District Court,17,99,305,4,128,7,19,99,15,5242,352,5935,5916
831,Shelby County District Court,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Sioux County District Court,0,2,0,0,1,1,0,2,0,176,6,182,182
851,Story County District Court,1,23,9,1,11,1,0,4,4,664,12,718,718
861,Tama County District Court,16,0,1,0,4,2,0,7,0,267,11,297,297
871,Taylor County District Court,0,0,0,0,2,1,0,0,1,65,1,69,69
881,Union County District Court,2,3,1,0,3,0,3,0,0,242,5,254,251
891,Van Buren County District Court,0,0,0,0,0,0,0,0,0,29,0,29,29
901,Wapello County District Court,6,2,4,0,9,5,0,17,3,628,31,674,674
911,Warren County District Court,0,5,1,0,9,1,1,8,1,549,23,575,574
921,Washington County District Court,1,0,1,0,1,0,2,1,1,239,4,246,244
931,Wayne County District Court,1,0,1,0,0,0,0,0,0,109,0,111,111
941,Webster County District Court,3,2,19,0,9,1,0,11,1,682,27,728,728
951,Winnebago County District Court,0,3,1,0,6,0,0,4,0,296,14,310,310
961,Winneshiek County District Court,0,3,0,0,0,0,1,1,0,138,1,143,142
971,Woodbury County District Court,22,29,34,2,44,4,2,59,6,1263,155,1465,1463
981,Worth County District Court,0,0,0,0,0,0,0,0,1,71,2,72,72
991,Wright County District Court,0,1,0,0,1,0,0,0,0,52,5,54,54
Sum, County District Court,134,507,1057,9,571,49,56,644,96,32869,1700,35992,35936
