court_number,county_name,minimum_expected,number_below_5,percent_below_5,expected_total,observed_total,totals_difference
771,Polk,1015.949840512744,0,0,18337.30252297908,18008,-329.3025229790801
821,Scott,653.5469279758086,0,0,19959.180816457432,20024,64.81918354256777
071,Black Hawk,617.0931254721515,0,0,15858.200123617882,15741,-117.20012361788213
971,Woodbury,522.3273410072754,0,0,10275.055888636854,9865,-410.05588863685443
571,Linn,466.55077303003424,0,0,16825.525816942314,17078,252.47418305768588
521,Johnson,355.4523394556911,0,0,5784.673235911873,5781,-3.6732359118732347
851,Story,239.73029681683363,0,0,8278.840582883762,8321,42.15941711623782
311,Dubuque,194.83035443804908,0,0,8499.662829445622,8621,121.33717055437774
781,Pottawattamie,155.73161072101388,0,0,11330.131379517039,11134,-196.13137951703902
251,Dallas,127.24336840545347,0,0,4127.6886855364555,4141,13.311314463544477
701,Muscatine,114.84856317112715,0,0,11619.69078220823,10979,-640.6907822082303
641,Marshall,106.03500024928954,0,0,5059.568130827143,4768,-291.56813082714325
901,Wapello,95.89106950964312,0,0,3071.746507550478,2976,-95.74650755047787
231,Clinton,79.10910348404946,0,0,8115.21505143944,8161,45.784948560560224
291,Des Moines,66.39862810819237,0,0,4084.919998960688,4193,108.08000103931181
941,Webster,61.46952773409966,0,0,3919.212302770699,3969,49.7876972293011
171,Cerro Gordo,55.76233814974668,0,0,2768.008069056108,2744,-24.00806905610807
111,Buena Vista,43.4824362742736,0,0,1297.1726497373872,1169,-128.17264973738725
751,Plymouth,38.394104167475824,0,0,2719.743698294947,2681,-38.74369829494708
501,Jasper,22.239395057174473,0,0,2152.2792327554407,2186,33.72076724455928
621,Mahaska,21.954043867217656,0,0,1597.1754234594252,1621,23.824576540574753
731,Page,21.29297468772718,0,0,1690.7084792809464,1706,15.291520719053551
861,Tama,20.555193265354518,0,0,1643.0252549205595,1624,-19.02525492055952
241,Crawford,20.329544756404744,0,0,2106.6490753824414,1989,-117.64907538244142
711,O'Brien,20.15892680164236,0,0,1642.6543253574966,1631,-11.654325357496646
511,Jefferson,18.85119388729704,0,0,727.2119707099649,723,-4.21197070996493
341,Floyd,16.849164926931106,0,0,1171.0568893528182,1196,24.94311064718181
951,Winnebago,15.797410942076912,0,0,1017.3727676462252,1000,-17.372767646225157
791,Poweshiek,15.527419789700728,0,0,1443.2455109193852,1444,0.7544890806148032
151,Cass,15.524893097128894,0,0,1695.1078191814297,1695,-0.10781918142970426
911,Warren,14.842581190611847,0,0,1942.7656086309248,1953,10.234391369075183
741,Palo Alto,14.538643800067696,0,0,1607.0793185151751,1619,11.920681484824854
491,Jackson,14.511346054667353,0,0,2179.9524497163484,2222,42.04755028365162
441,Henry,14.211757648470307,0,0,857.2639472105578,868,10.73605278944217
841,Sioux,13.799016900474982,0,0,2303.404120181155,2244,-59.40412018115512
081,Boone,13.751312434378281,0,0,5570.35585720714,5593,22.644142792860293
031,Allamakee,12.767101901788248,0,0,981.8677263695714,970,-11.867726369571415
691,Montgomery,11.656941452907773,0,0,1394.5682396710395,1422,27.431760328960536
562,Lee,11.378499984799197,0,0,1505.9751618885475,1512,6.024838111452482
561,Lee,10.931565986684099,0,0,1446.8222418143678,1452,5.177758185632229
531,Jones,10.915246937212864,0,0,1530.2423430321596,1540,9.757656967840376
161,Cedar,10.802278053299908,0,0,2433.93100441441,2464,30.068995585590073
331,Fayette,10.010680215678143,0,0,1213.5823309829946,1239,25.417669017005437
091,Bremer,9.93604189811141,0,0,982.2544834153308,1005,22.74551658466919
581,Louisa,9.67315976774677,0,0,912.970406443154,880,-32.97040644315405
551,Kossuth,9.601405345825297,0,0,1562.7114907688067,1570,7.288509231193302
761,Pocahontas,9.120068123758161,0,0,741.4398240136248,748,6.560175986375157
611,Madison,8.655323171452203,0,0,1435.4853479853477,1448,12.514652014652256
101,Buchanan,8.292548564801391,0,0,1515.3698656615443,1524,8.630134338455719
651,Mills,8.233594179022514,0,0,1984.854406919275,1986,1.1455930807248933
421,Hardin,8.026924694993689,0,0,730.2717711400924,723,-7.271771140092369
881,Union,7.680313516217794,0,0,742.5981822729925,739,-3.598182272992517
351,Franklin,7.527621534752912,0,0,1130.4171353957413,1111,-19.417135395741298
401,Hamilton,7.400241837968562,0,0,746.8591293833132,738,-8.859129383313189
631,Marion,7.083110397717139,0,0,1647.300398311634,1658,10.699601688366101
041,Appanoose,6.861457649376232,0,0,815.5528562048586,829,13.447143795141415
