court_number,county_name,groups_tested,groups_below_1sd,groups_below_2sd,groups_above_1sd,groups_above_2sd
071,Black Hawk,6,4,2,2,1
111,Buena Vista,6,4,4,1,1
171,Cerro Gordo,6,4,2,1,1
311,Dubuque,6,4,4,2,2
401,Hamilton,6,4,1,1,1
471,Ida,5,4,2,1,1
511,Jefferson,5,4,4,1,1
581,Louisa,5,4,4,1,1
621,Mahaska,6,4,3,1,1
641,Marshall,5,4,4,1,1
691,Montgomery,6,4,3,2,2
781,Pottawattamie,6,4,3,2,1
851,Story,6,4,4,1,1
901,Wapello,6,4,2,2,1
971,Woodbury,6,4,4,2,1
031,Allamakee,5,3,2,1,1
131,Calhoun,5,3,1,1,1
151,Cass,6,3,2,1,1
231,Clinton,5,3,2,1,1
241,Crawford,5,3,2,2,1
331,Fayette,6,3,2,2,2
381,Grundy,5,3,2,1,1
411,Hancock,5,3,2,2,2
421,Hardin,5,3,1,1,1
461,Humboldt,6,3,2,2,2
531,Jones,5,3,3,2,2
571,Linn,6,3,3,3,2
601,Lyon,6,3,1,1,1
721,Osceola,5,3,2,1,1
731,Page,6,3,2,1,1
741,Palo Alto,5,3,2,1,1
751,Plymouth,6,3,2,2,1
771,Polk,6,3,2,2,2
791,Poweshiek,5,3,2,1,1
801,Ringgold,4,3,1,1,1
831,Shelby,5,3,2,1,1
861,Tama,6,3,2,2,2
951,Winnebago,5,3,1,1,1
981,Worth,5,3,3,1,1
011,Adair,6,2,2,1,1
021,Adams,4,2,1,1,1
051,Audubon,6,2,1,2,2
081,Boone,5,2,2,3,2
091,Bremer,6,2,1,1,1
101,Buchanan,6,2,1,2,2
121,Butler,5,2,2,2,1
181,Cherokee,4,2,1,1,1
191,Chickasaw,6,2,1,3,3
201,Clarke,5,2,1,3,2
221,Clayton,5,2,1,1,1
251,Dallas,6,2,2,2,1
271,Decatur,6,2,1,2,2
281,Delaware,4,2,2,2,2
291,Des Moines,6,2,1,2,2
321,Emmet,6,2,2,3,3
391,Guthrie,6,2,1,1,1
441,Henry,6,2,2,1,1
491,Jackson,6,2,1,3,3
501,Jasper,6,2,2,2,2
521,Johnson,6,2,2,3,2
551,Kossuth,6,2,1,2,2
562,Lee,6,2,2,1,1
591,Lucas,5,2,1,1,1
611,Madison,6,2,2,1,1
661,Mitchell,5,2,1,1,1
681,Monroe,6,2,2,2,2
701,Muscatine,5,2,2,2,2
711,O'Brien,6,2,2,2,1
761,Pocahontas,6,2,2,1,1
841,Sioux,6,2,1,2,2
881,Union,5,2,2,2,1
891,Van Buren,5,2,1,3,3
941,Webster,5,2,2,2,1
961,Winneshiek,6,2,2,3,2
041,Appanoose,5,1,1,2,2
061,Benton,5,1,1,2,2
141,Carroll,5,1,1,2,2
161,Cedar,6,1,1,3,2
211,Clay,5,1,1,2,2
261,Davis,4,1,1,3,2
301,Dickinson,5,1,1,2,2
341,Floyd,6,1,1,3,2
351,Franklin,5,1,1,1,1
361,Fremont,5,1,1,3,3
371,Greene,5,1,1,2,1
431,Harrison,5,1,1,3,2
451,Howard,5,1,1,2,2
481,Iowa,5,1,1,3,2
541,Keokuk,5,1,1,1,1
561,Lee,6,1,1,3,2
631,Marion,5,1,1,3,2
651,Mills,5,1,1,2,1
671,Monona,4,1,1,3,3
811,Sac,6,1,1,2,1
821,Scott,6,1,1,5,4
871,Taylor,5,1,1,3,3
911,Warren,6,1,1,3,3
921,Washington,6,1,1,2,2
931,Wayne,5,1,1,3,2
991,Wright,5,1,1,2,1
