court_number,court_name,adj_total,cp_white,cp_black,cp_hisp,cp_asian,cp_aian,cp_mr,cp_nhpi,cp_other,cp_unk
021,Adams County District Court,107,99.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93
031,Allamakee County District Court,144,98.61,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.69
041,Appanoose County District Court,70,94.29,1.43,0.00,1.43,1.43,0.00,0.00,0.00,1.43
061,Benton County District Court,191,98.43,0.00,0.00,0.00,0.52,1.05,0.00,0.00,0.00
071,Black Hawk County District Court,2780,87.19,7.19,0.00,1.33,0.22,1.98,0.11,1.58,0.40
081,Boone County District Court,546,97.25,0.37,0.00,0.37,0.37,0.92,0.00,0.73,0.00
091,Bremer County District Court,308,97.40,0.65,0.00,0.32,0.00,0.97,0.00,0.65,0.00
101,Buchanan County District Court,380,98.68,0.00,0.00,0.53,0.26,0.53,0.00,0.00,0.00
111,Buena Vista County District Court,60,80.00,0.00,1.67,5.00,0.00,0.00,0.00,11.67,1.67
121,Butler County District Court,80,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141,Carroll County District Court,63,93.65,1.59,0.00,0.00,0.00,4.76,0.00,0.00,0.00
161,Cedar County District Court,47,97.87,0.00,0.00,2.13,0.00,0.00,0.00,0.00,0.00
171,Cerro Gordo County District Court,379,94.72,1.06,0.00,0.79,0.26,1.58,0.00,1.58,0.00
191,Chickasaw County District Court,40,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
201,Clarke County District Court,169,95.86,0.00,0.00,0.00,1.18,1.18,0.00,1.18,0.59
211,Clay County District Court,193,96.37,0.52,0.00,1.04,0.52,0.00,0.00,1.55,0.00
221,Clayton County District Court,81,98.77,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.00
231,Clinton County District Court,549,93.62,1.64,0.00,0.36,0.18,2.19,0.55,1.28,0.18
241,Crawford County District Court,61,96.72,0.00,0.00,0.00,0.00,0.00,0.00,3.28,0.00
251,Dallas County District Court,785,90.96,2.17,0.00,2.42,0.25,1.53,0.25,2.17,0.25
261,Davis County District Court,64,96.88,0.00,0.00,0.00,1.56,0.00,0.00,1.56,0.00
281,Delaware County District Court,26,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
291,Des Moines County District Court,855,93.57,2.92,0.00,0.47,0.35,1.64,0.12,0.58,0.35
301,Dickinson County District Court,79,97.47,0.00,0.00,0.00,0.00,0.00,0.00,2.53,0.00
311,Dubuque County District Court,897,95.32,1.45,0.00,1.11,0.00,1.23,0.11,0.67,0.11
321,Emmet County District Court,40,92.50,0.00,0.00,0.00,0.00,5.00,0.00,2.50,0.00
341,Floyd County District Court,54,92.59,3.70,0.00,0.00,0.00,0.00,0.00,3.70,0.00
361,Fremont County District Court,37,91.89,0.00,0.00,0.00,0.00,5.41,0.00,0.00,2.70
371,Greene County District Court,237,98.31,0.00,0.00,0.42,0.42,0.00,0.00,0.84,0.00
391,Guthrie County District Court,221,95.02,0.45,0.00,0.90,0.00,0.90,0.00,1.36,1.36
401,Hamilton County District Court,59,98.31,0.00,0.00,1.69,0.00,0.00,0.00,0.00,0.00
411,Hancock County District Court,277,96.75,0.72,0.00,0.00,0.36,0.72,0.00,1.08,0.36
