court_number,county_name,chi_square,degrees_freedom,p_value,significant_unadjusted,p_value_adjusted_bh,significant_after_adjustment
771,Polk,2197.3696570651377,5,0,TRUE,0,TRUE
821,Scott,1597.86089697617,5,0,TRUE,0,TRUE
971,Woodbury,2274.259876013496,5,0,TRUE,0,TRUE
781,Pottawattamie,1066.5176220014646,5,2.380306411990511e-228,TRUE,6.545842632973905e-228,TRUE
071,Black Hawk,887.6000043019839,5,1.2844576539277194e-189,TRUE,2.825806838640983e-189,TRUE
111,Buena Vista,594.7501804675381,5,2.755172078545714e-126,TRUE,5.051148810667142e-126,TRUE
851,Story,541.0878648378249,5,1.0749523138582083e-114,TRUE,1.6892107789200415e-114,TRUE
901,Wapello,494.03062597597574,5,1.551303641453845e-104,TRUE,2.133042506999037e-104,TRUE
751,Plymouth,208.10925234951642,5,5.2257823635884914e-43,TRUE,6.387067333274824e-43,TRUE
171,Cerro Gordo,170.99974533022166,5,4.464633196160549e-35,TRUE,4.911096515776605e-35,TRUE
151,Cass,55.68330008688809,5,9.443056177708706e-11,TRUE,9.443056177708706e-11,TRUE
