court_number,county_name,dataset,result_status,race,adj_total,jury_count,jury_pct,census_pct,pt_diff
011,Adair,Overall Pool,NULL,Hispanic/Latino/Spanish Origins,715,0,0.00,3.1501340482573728,-3.1501340482573728
011,Adair,Overall Pool,NULL,Black/African American,715,4,0.56,1.5415549597855227,-0.9815549597855227
011,Adair,Overall Pool,NULL,American Indian/Alaskan Native,715,1,0.14,0.17426273458445038,-0.034262734584450366
011,Adair,Overall Pool,NULL,Native Hawaiian/Pacific Islander,715,0,0.00,0.06702412868632708,-0.06702412868632708
011,Adair,Overall Pool,NULL,Asian,715,3,0.42,0.3083109919571046,0.11168900804289539
011,Adair,Overall Pool,NULL,White,715,699,97.76,93.05630026809652,4.703699731903484
021,Adams,Overall Pool,NULL,White,661,643,97.28,94.47818884594147,2.8018111540585267
021,Adams,Overall Pool,NULL,Hispanic/Latino/Spanish Origins,661,1,0.15,1.7393705135284372,-1.5893705135284373
021,Adams,Empanelment,No Result,Asian,107,0,0.00,0,0
021,Adams,Criminal Panel,NULL,White,107,106,99.07,94.47818884594147,4.591811154058519
021,Adams,Criminal Panel,NULL,Asian,107,0,0.00,0,0
021,Adams,Empanelment,No Result,Black/African American,107,0,0.00,0.3036996134732192,-0.3036996134732192
021,Adams,Criminal Panel,NULL,Native Hawaiian/Pacific Islander,107,0,0.00,0,0
021,Adams,Empanelment,No Result,Native Hawaiian/Pacific Islander,107,0,0.00,0,0
021,Adams,Criminal Panel,NULL,Black/African American,107,0,0.00,0.3036996134732192,-0.3036996134732192
021,Adams,Overall Pool,NULL,Asian,661,5,0.76,0,0.76
021,Adams,Empanelment,No Result,White,107,106,99.07,94.47818884594147,4.591811154058519
021,Adams,Criminal Panel,NULL,Hispanic/Latino/Spanish Origins,107,0,0.00,1.7393705135284372,-1.7393705135284372
021,Adams,Criminal Panel,NULL,American Indian/Alaskan Native,107,0,0.00,0.22087244616234128,-0.22087244616234128
021,Adams,Empanelment,No Result,Hispanic/Latino/Spanish Origins,107,0,0.00,1.7393705135284372,-1.7393705135284372
021,Adams,Overall Pool,NULL,Native Hawaiian/Pacific Islander,661,0,0.00,0,0
021,Adams,Empanelment,No Result,American Indian/Alaskan Native,107,0,0.00,0.22087244616234128,-0.22087244616234128
021,Adams,Overall Pool,NULL,American Indian/Alaskan Native,661,0,0.00,0.22087244616234128,-0.22087244616234128
021,Adams,Overall Pool,NULL,Black/African American,661,2,0.30,0.3036996134732192,-0.003699613473219232
031,Allamakee,Empanelment,Juror,White,27,27,100.00,86.52426908884473,13.475730911155267
031,Allamakee,Criminal Panel,NULL,Black/African American,144,0,0.00,1.823729775759296,-1.823729775759296
031,Allamakee,Criminal Panel,NULL,Native Hawaiian/Pacific Islander,144,0,0.00,0,0
031,Allamakee,Empanelment,Peremptory Strike (Defendant/Respondent),Native Hawaiian/Pacific Islander,41,0,0.00,0,0
031,Allamakee,Overall Pool,NULL,Black/African American,994,5,0.50,1.823729775759296,-1.323729775759296
031,Allamakee,Overall Pool,NULL,American Indian/Alaskan Native,994,5,0.50,0.8799318762418393,-0.37993187624183933
031,Allamakee,Empanelment,Not Used,Hispanic/Latino/Spanish Origins,26,0,0.00,9.147033778030087,-9.147033778030087
031,Allamakee,Empanelment,Not Used,Native Hawaiian/Pacific Islander,26,0,0.00,0,0
031,Allamakee,Empanelment,Not Used,White,26,26,100.00,86.52426908884473,13.475730911155267
031,Allamakee,Empanelment,Not Used,Black/African American,26,0,0.00,1.823729775759296,-1.823729775759296
031,Allamakee,Overall Pool,NULL,Asian,994,6,0.60,0.40448481407891,0.19551518592108996
031,Allamakee,Empanelment,Juror,American Indian/Alaskan Native,27,0,0.00,0.8799318762418393,-0.8799318762418393
031,Allamakee,Empanelment,Not Used,American Indian/Alaskan Native,26,0,0.00,0.8799318762418393,-0.8799318762418393
031,Allamakee,Empanelment,Peremptory Strike (Defendant/Respondent),Hispanic/Latino/Spanish Origins,41,0,0.00,9.147033778030087,-9.147033778030087
031,Allamakee,Criminal Panel,NULL,White,144,142,98.61,86.52426908884473,12.085730911155267
031,Allamakee,Empanelment,Court,American Indian/Alaskan Native,16,0,0.00,0.8799318762418393,-0.8799318762418393
031,Allamakee,Overall Pool,NULL,White,994,953,95.88,86.52426908884473,9.355730911155263
031,Allamakee,Criminal Panel,NULL,American Indian/Alaskan Native,144,0,0.00,0.8799318762418393,-0.8799318762418393
031,Allamakee,Empanelment,Court,Hispanic/Latino/Spanish Origins,16,0,0.00,9.147033778030087,-9.147033778030087
031,Allamakee,Empanelment,Peremptory Strike (Plaintiff/Petitioner),Hispanic/Latino/Spanish Origins,34,0,0.00,9.147033778030087,-9.147033778030087
031,Allamakee,Empanelment,Peremptory Strike (Plaintiff/Petitioner),American Indian/Alaskan Native,34,0,0.00,0.8799318762418393,-0.8799318762418393
031,Allamakee,Empanelment,Peremptory Strike (Defendant/Respondent),White,41,40,97.56,86.52426908884473,11.03573091115527
031,Allamakee,Criminal Panel,NULL,Hispanic/Latino/Spanish Origins,144,0,0.00,9.147033778030087,-9.147033778030087
031,Allamakee,Empanelment,Court,White,16,16,100.00,86.52426908884473,13.475730911155267
031,Allamakee,Empanelment,Juror,Native Hawaiian/Pacific Islander,27,0,0.00,0,0
031,Allamakee,Empanelment,Court,Native Hawaiian/Pacific Islander,16,0,0.00,0,0
031,Allamakee,Empanelment,Juror,Black/African American,27,0,0.00,1.823729775759296,-1.823729775759296
031,Allamakee,Overall Pool,NULL,Hispanic/Latino/Spanish Origins,994,1,0.10,9.147033778030087,-9.047033778030087
031,Allamakee,Empanelment,Juror,Asian,27,0,0.00,0.40448481407891,-0.40448481407891
031,Allamakee,Empanelment,Not Used,Asian,26,0,0.00,0.40448481407891,-0.40448481407891
031,Allamakee,Empanelment,Court,Asian,16,0,0.00,0.40448481407891,-0.40448481407891
031,Allamakee,Empanelment,Peremptory Strike (Plaintiff/Petitioner),Asian,34,0,0.00,0.40448481407891,-0.40448481407891
031,Allamakee,Empanelment,Peremptory Strike (Defendant/Respondent),Asian,41,0,0.00,0.40448481407891,-0.40448481407891
031,Allamakee,Overall Pool,NULL,Native Hawaiian/Pacific Islander,994,0,0.00,0,0
031,Allamakee,Empanelment,Peremptory Strike (Plaintiff/Petitioner),White,34,33,97.06,86.52426908884473,10.53573091115527
031,Allamakee,Empanelment,Court,Black/African American,16,0,0.00,1.823729775759296,-1.823729775759296
