court_number,court_name,adj_total,american_indian_alaskan_native,asian,black_african_american,hispanic_latino_spanish_origins,multi_race,native_hawaiian_pacific_islander,not_provided,other,unknown,white,hlso_ethnicity,total,jp_white,jp_black,jp_hisp,jp_hlso_ethnicity,jp_asian,jp_aian,jp_mr,jp_nhpi,jp_other,jp_unk
011,Adair County District Court,715,1,3,4,0,2,0,55,6,0,699,13,770,97.76,0.56,0.00,1.82,0.42,0.14,0.28,0.00,0.84,0.00
021,Adams County District Court,661,0,5,2,1,4,0,54,2,4,643,8,715,97.28,0.30,0.15,1.21,0.76,0.00,0.61,0.00,0.30,0.61
031,Allamakee County District Court,994,5,6,5,1,7,0,86,14,3,953,32,1080,95.88,0.50,0.10,3.22,0.60,0.50,0.70,0.00,1.41,0.30
041,Appanoose County District Court,836,4,8,5,0,4,0,64,0,3,812,8,900,97.13,0.60,0.00,0.96,0.96,0.48,0.48,0.00,0.00,0.36
051,Audubon County District Court,976,3,3,6,2,2,0,54,8,0,952,14,1030,97.54,0.61,0.20,1.43,0.31,0.31,0.20,0.00,0.82,0.00
061,Benton County District Court,1761,5,3,5,1,17,1,66,11,2,1716,28,1827,97.44,0.28,0.06,1.59,0.17,0.28,0.97,0.06,0.62,0.11
071,Black Hawk County District Court,16467,41,412,1586,35,287,54,1192,388,51,13613,581,17659,82.67,9.63,0.21,3.53,2.50,0.25,1.74,0.33,2.36,0.31
081,Boone County District Court,5730,12,18,37,4,67,0,289,54,16,5522,111,6019,96.37,0.65,0.07,1.94,0.31,0.21,1.17,0.00,0.94,0.28
091,Bremer County District Court,1018,1,6,11,0,8,0,42,5,0,987,14,1060,96.95,1.08,0.00,1.38,0.59,0.10,0.79,0.00,0.49,0.00
101,Buchanan County District Court,1546,2,8,8,0,11,0,69,8,3,1506,17,1615,97.41,0.52,0.00,1.10,0.52,0.13,0.71,0.00,0.52,0.19
111,Buena Vista County District Court,1329,4,100,14,14,11,21,501,143,6,1016,273,1830,76.45,1.05,1.05,20.54,7.52,0.30,0.83,1.58,10.76,0.45
121,Butler County District Court,945,1,2,3,0,4,1,40,4,4,926,11,985,97.99,0.32,0.00,1.16,0.21,0.11,0.42,0.11,0.42,0.42
131,Calhoun County District Court,581,0,2,6,0,5,1,44,7,0,560,9,625,96.39,1.03,0.00,1.55,0.34,0.00,0.86,0.17,1.20,0.00
141,Carroll County District Court,1186,1,6,9,2,9,0,88,8,1,1150,25,1274,96.96,0.76,0.17,2.11,0.51,0.08,0.76,0.00,0.67,0.08
151,Cass County District Court,1723,8,7,6,1,11,4,127,11,6,1669,22,1850,96.87,0.35,0.06,1.28,0.41,0.46,0.64,0.23,0.64,0.35
161,Cedar County District Court,2509,9,12,17,2,16,2,161,18,11,2422,44,2670,96.53,0.68,0.08,1.75,0.48,0.36,0.64,0.08,0.72,0.44
171,Cerro Gordo County District Court,2820,6,27,43,6,38,10,245,35,3,2652,118,3065,94.04,1.52,0.21,4.18,0.96,0.21,1.35,0.35,1.24,0.11
181,Cherokee County District Court,964,1,3,9,0,5,0,111,14,2,930,25,1075,96.47,0.93,0.00,2.59,0.31,0.10,0.52,0.00,1.45,0.21
191,Chickasaw County District Court,1038,2,2,5,4,4,2,72,14,0,1005,23,1110,96.82,0.48,0.39,2.22,0.19,0.19,0.39,0.19,1.35,0.00
201,Clarke County District Court,794,5,7,7,21,9,3,164,35,7,700,77,958,88.16,0.88,2.64,9.70,0.88,0.63,1.13,0.38,4.41,0.88
211,Clay County District Court,1688,3,14,10,0,13,0,142,33,0,1615,51,1830,95.68,0.59,0.00,3.02,0.83,0.18,0.77,0.00,1.95,0.00
221,Clayton County District Court,972,0,3,2,0,4,0,49,4,6,953,8,1021,98.05,0.21,0.00,0.82,0.31,0.00,0.41,0.00,0.41,0.62
231,Clinton County District Court,8395,24,47,221,11,114,12,630,101,19,7846,220,9025,93.46,2.63,0.13,2.62,0.56,0.29,1.36,0.14,1.20,0.23
241,Crawford County District Court,2177,5,35,29,155,13,1,363,168,7,1764,337,2540,81.03,1.33,7.12,15.48,1.61,0.23,0.60,0.05,7.72,0.32
251,Dallas County District Court,4308,9,174,120,20,60,3,342,100,7,3815,197,4650,88.56,2.79,0.46,4.57,4.04,0.21,1.39,0.07,2.32,0.16
261,Davis County District Court,694,3,3,3,1,4,0,56,4,0,676,9,750,97.41,0.43,0.14,1.30,0.43,0.43,0.58,0.00,0.58,0.00
271,Decatur County District Court,516,1,4,4,0,2,1,38,6,1,497,8,554,96.32,0.78,0.00,1.55,0.78,0.19,0.39,0.19,1.16,0.19
281,Delaware County District Court,1022,1,5,8,0,2,0,39,9,1,996,20,1061,97.46,0.78,0.00,1.96,0.49,0.10,0.20,0.00,0.88,0.10
291,Des Moines County District Court,4324,12,43,203,9,78,5,380,45,8,3921,106,4704,90.68,4.69,0.21,2.45,0.99,0.28,1.80,0.12,1.04,0.19
301,Dickinson County District Court,1715,1,9,4,0,11,2,115,17,1,1670,32,1830,97.38,0.23,0.00,1.87,0.52,0.06,0.64,0.12,0.99,0.06
311,Dubuque County District Court,8790,13,92,209,5,74,26,570,84,11,8276,191,9360,94.15,2.38,0.06,2.17,1.05,0.15,0.84,0.30,0.96,0.13
321,Emmet County District Court,1311,3,7,7,7,8,0,159,37,3,1239,67,1470,94.51,0.53,0.53,5.11,0.53,0.23,0.61,0.00,2.82,0.23
331,Fayette County District Court,1262,1,4,10,1,12,1,68,10,1,1222,31,1330,96.83,0.79,0.08,2.46,0.32,0.08,0.95,0.08,0.79,0.08
341,Floyd County District Court,1224,4,20,22,0,11,0,90,14,3,1150,32,1314,93.95,1.80,0.00,2.61,1.63,0.33,0.90,0.00,1.14,0.25
351,Franklin County District Court,1153,4,4,6,7,8,0,118,32,2,1090,78,1271,94.54,0.52,0.61,6.76,0.35,0.35,0.69,0.00,2.78,0.17
361,Fremont County District Court,1758,5,8,11,0,13,1,102,16,6,1698,40,1860,96.59,0.63,0.00,2.28,0.46,0.28,0.74,0.06,0.91,0.34
371,Greene County District Court,1858,8,9,3,0,10,3,133,6,5,1814,36,1991,97.63,0.16,0.00,1.94,0.48,0.43,0.54,0.16,0.32,0.27
381,Grundy County District Court,1109,0,3,3,0,10,2,32,3,2,1086,9,1141,97.93,0.27,0.00,0.81,0.27,0.00,0.90,0.18,0.27,0.18
391,Guthrie County District Court,1036,2,4,5,2,6,0,64,12,7,998,17,1100,96.33,0.48,0.19,1.64,0.39,0.19,0.58,0.00,1.16,0.68
401,Hamilton County District Court,765,2,13,2,2,6,0,60,20,1,719,41,825,93.99,0.26,0.26,5.36,1.70,0.26,0.78,0.00,2.61,0.13
411,Hancock County District Court,981,6,1,2,1,6,1,54,11,7,946,26,1035,96.43,0.20,0.10,2.65,0.10,0.61,0.61,0.10,1.12,0.71
421,Hardin County District Court,742,3,8,3,2,5,0,58,12,2,707,23,800,95.28,0.40,0.27,3.10,1.08,0.40,0.67,0.00,1.62,0.27
431,Harrison County District Court,1541,6,6,4,1,9,1,89,7,4,1503,29,1630,97.53,0.26,0.06,1.88,0.39,0.39,0.58,0.06,0.45,0.26
441,Henry County District Court,894,3,11,11,8,13,0,61,11,2,835,32,955,93.40,1.23,0.89,3.58,1.23,0.34,1.45,0.00,1.23,0.22
451,Howard County District Court,1013,2,8,6,1,3,1,67,9,1,982,17,1080,96.94,0.59,0.10,1.68,0.79,0.20,0.30,0.10,0.89,0.10
461,Humboldt County District Court,933,0,7,7,0,8,1,42,12,5,893,22,975,95.71,0.75,0.00,2.36,0.75,0.00,0.86,0.11,1.29,0.54
471,Ida County District Court,1010,1,0,1,1,9,1,90,9,2,986,26,1100,97.62,0.10,0.10,2.57,0.00,0.10,0.89,0.10,0.89,0.20
481,Iowa County District Court,1479,5,3,8,1,17,0,95,10,6,1429,26,1574,96.62,0.54,0.07,1.76,0.20,0.34,1.15,0.00,0.68,0.41
491,Jackson County District Court,2251,6,7,13,2,20,8,148,6,3,2186,24,2399,97.11,0.58,0.09,1.07,0.31,0.27,0.89,0.36,0.27,0.13
501,Jasper County District Court,2233,7,18,19,1,18,3,169,17,12,2138,43,2402,95.75,0.85,0.04,1.93,0.81,0.31,0.81,0.13,0.76,0.54
511,Jefferson County District Court,742,1,15,9,1,6,1,138,11,2,696,17,880,93.80,1.21,0.13,2.29,2.02,0.13,0.81,0.13,1.48,0.27
521,Johnson County District Court,6083,14,303,449,5,110,6,678,165,27,5004,326,6761,82.26,7.38,0.08,5.36,4.98,0.23,1.81,0.10,2.71,0.44
531,Jones County District Court,1573,4,3,5,0,14,0,82,15,4,1528,30,1655,97.14,0.32,0.00,1.91,0.19,0.25,0.89,0.00,0.95,0.25
541,Keokuk County District Court,1414,2,4,5,0,7,0,46,12,0,1384,19,1460,97.88,0.35,0.00,1.34,0.28,0.14,0.50,0.00,0.85,0.00
551,Kossuth County District Court,1602,5,7,6,3,12,0,228,15,5,1549,48,1830,96.69,0.37,0.19,3.00,0.44,0.31,0.75,0.00,0.94,0.31
561,Lee County District Court,1492,3,6,58,3,26,0,238,10,4,1382,23,1730,92.63,3.89,0.20,1.54,0.40,0.20,1.74,0.00,0.67,0.27
562,Lee County District Court,1553,2,2,36,3,14,0,179,20,7,1469,48,1732,94.59,2.32,0.19,3.09,0.13,0.13,0.90,0.00,1.29,0.45
571,Linn County District Court,17696,51,363,947,20,310,32,1380,260,48,15665,538,19076,88.52,5.35,0.11,3.04,2.05,0.29,1.75,0.18,1.47,0.27
581,Louisa County District Court,939,0,9,3,23,11,1,111,46,2,844,92,1050,89.88,0.32,2.45,9.80,0.96,0.00,1.17,0.11,4.90,0.21
591,Lucas County District Court,519,0,1,2,2,6,0,50,3,0,505,10,569,97.30,0.39,0.39,1.93,0.19,0.00,1.16,0.00,0.58,0.00
601,Lyon County District Court,1394,1,2,2,2,13,1,76,12,2,1359,32,1470,97.49,0.14,0.14,2.30,0.14,0.07,0.93,0.07,0.86,0.14
611,Madison County District Court,1465,2,9,4,0,5,0,70,11,1,1433,20,1535,97.82,0.27,0.00,1.37,0.61,0.14,0.34,0.00,0.75,0.07
621,Mahaska County District Court,1650,2,7,13,0,16,0,140,12,1,1599,22,1790,96.91,0.79,0.00,1.33,0.42,0.12,0.97,0.00,0.73,0.06
631,Marion County District Court,1690,10,20,11,0,13,3,110,18,1,1614,32,1800,95.50,0.65,0.00,1.89,1.18,0.59,0.77,0.18,1.07,0.06
641,Marshall County District Court,5162,31,139,81,227,65,13,1038,306,23,4277,795,6200,82.86,1.57,4.40,15.40,2.69,0.60,1.26,0.25,5.93,0.45
651,Mills County District Court,2033,5,14,8,0,16,4,127,25,6,1955,60,2160,96.16,0.39,0.00,2.95,0.69,0.25,0.79,0.20,1.23,0.30
661,Mitchell County District Court,860,3,1,2,0,4,0,40,5,1,844,15,900,98.14,0.23,0.00,1.74,0.12,0.35,0.47,0.00,0.58,0.12
671,Monona County District Court,1940,18,11,21,3,16,1,155,11,3,1856,28,2095,95.67,1.08,0.15,1.44,0.57,0.93,0.82,0.05,0.57,0.15
681,Monroe County District Court,707,4,3,2,0,2,0,43,3,0,693,9,750,98.02,0.28,0.00,1.27,0.42,0.57,0.28,0.00,0.42,0.00
691,Montgomery County District Court,1452,9,4,9,4,9,1,108,16,5,1395,30,1560,96.07,0.62,0.28,2.07,0.28,0.62,0.62,0.07,1.10,0.34
701,Muscatine County District Court,11980,42,112,219,210,207,13,1060,732,62,10383,1497,13040,86.67,1.83,1.75,12.50,0.93,0.35,1.73,0.11,6.11,0.52
711,O'Brien County District Court,1685,5,14,4,3,14,5,145,34,6,1600,70,1830,94.96,0.24,0.18,4.15,0.83,0.30,0.83,0.30,2.02,0.36
721,Osceola County District Court,1371,6,9,2,1,3,1,129,36,4,1309,68,1500,95.48,0.15,0.07,4.96,0.66,0.44,0.22,0.07,2.63,0.29
731,Page County District Court,1751,5,14,6,1,20,0,109,21,4,1680,44,1860,95.95,0.34,0.06,2.51,0.80,0.29,1.14,0.00,1.20,0.23
