court_number,county_name,dataset,race,adjusted_total,jury_count,jury_pool_pct,county_population_pct,representation_gap,census_count
011,Adair,Overall Pool,Asian,715,3,0.42,0.3083109919571046,0.1116890080428954,23
011,Adair,Overall Pool,Native Hawaiian/Pacific Islander,715,0,0,0.06702412868632708,-0.06702412868632708,5
011,Adair,Overall Pool,White,715,699,97.76,93.05630026809652,4.703699731903484,6942
011,Adair,Overall Pool,American Indian/Alaskan Native,715,1,0.14,0.17426273458445038,-0.03426273458445036,13
011,Adair,Overall Pool,Black/African American,715,4,0.56,1.5415549597855227,-0.9815549597855228,115
011,Adair,Overall Pool,Multiracial,715,2,0.28,2.6943699731903483,-2.4143699731903485,201
011,Adair,Overall Pool,HLSO,715,13,1.82,3.1501340482573728,-1.3301340482573727,7460
021,Adams,Overall Pool,Native Hawaiian/Pacific Islander,661,0,0,0,0,0
021,Adams,Overall Pool,White,661,643,97.28,94.47818884594147,2.8018111540585267,3422
021,Adams,Overall Pool,Multiracial,661,4,0.61,4.527885146327995,-3.917885146327995,164
021,Adams,Overall Pool,Black/African American,661,2,0.3,0.3036996134732192,-0.00369961347321923,11
021,Adams,Overall Pool,American Indian/Alaskan Native,661,0,0,0.22087244616234128,-0.22087244616234128,8
021,Adams,Overall Pool,HLSO,661,8,1.21,1.7393705135284372,-0.5293705135284372,3622
021,Adams,Overall Pool,Asian,661,5,0.76,0,0.76,0
031,Allamakee,Overall Pool,Multiracial,994,7,0.7,6.585296622196991,-5.885296622196991,928
031,Allamakee,Overall Pool,HLSO,994,32,3.22,9.147033778030089,-5.927033778030086,14092
031,Allamakee,Overall Pool,White,994,953,95.88,86.52426908884473,9.355730911155264,12193
031,Allamakee,Overall Pool,Black/African American,994,5,0.5,1.823729775759296,-1.323729775759296,257
031,Allamakee,Overall Pool,American Indian/Alaskan Native,994,5,0.5,0.8799318762418393,-0.3799318762418394,124
031,Allamakee,Overall Pool,Asian,994,6,0.6,0.40448481407891,0.19551518592108996,57
031,Allamakee,Overall Pool,Native Hawaiian/Pacific Islander,994,0,0,0,0,0
041,Appanoose,Overall Pool,White,836,812,97.13,93.75410374261324,3.375896257386742,11423
041,Appanoose,Overall Pool,Native Hawaiian/Pacific Islander,836,0,0,0,0,0
041,Appanoose,Overall Pool,American Indian/Alaskan Native,836,4,0.48,0.02462245567957977,0.4553775443204202,3
041,Appanoose,Overall Pool,Asian,836,8,0.96,0.9110308601444516,0.04896913985554829,111
041,Appanoose,Overall Pool,Black/African American,836,5,0.6,0.8207485226526593,-0.22074852265265932,100
041,Appanoose,Overall Pool,HLSO,836,8,0.96,2.0436638214051213,-1.0836638214051213,12184
041,Appanoose,Overall Pool,Multiracial,836,4,0.48,3.0039395929087327,-2.5239395929087327,366
051,Audubon,Overall Pool,American Indian/Alaskan Native,976,3,0.31,0.1786033220217896,0.1313966779782104,10
051,Audubon,Overall Pool,Asian,976,3,0.31,0.05358099660653688,0.25641900339346313,3
051,Audubon,Overall Pool,Native Hawaiian/Pacific Islander,976,0,0,0.2500446508305055,-0.2500446508305055,14
051,Audubon,Overall Pool,Multiracial,976,2,0.2,3.3398821218074657,-3.1398821218074655,187
051,Audubon,Overall Pool,HLSO,976,14,1.43,2.5004465083050547,-1.0704465083050547,5599
051,Audubon,Overall Pool,White,976,952,97.54,93.83818539024828,3.701814609751736,5254
051,Audubon,Overall Pool,Black/African American,976,6,0.61,0.500089301661011,0.10991069833898905,28
061,Benton,Overall Pool,HLSO,1761,28,1.59,1.97092209609703,-0.3809220960970298,25724
061,Benton,Overall Pool,Multiracial,1761,17,0.97,3.253770797698647,-2.283770797698647,837
061,Benton,Overall Pool,Native Hawaiian/Pacific Islander,1761,1,0.06,0,0.06,0
061,Benton,Overall Pool,Asian,1761,3,0.17,0.2332452184730213,-0.06324521847302128,60
061,Benton,Overall Pool,American Indian/Alaskan Native,1761,5,0.28,0.10107292800497587,0.17892707199502414,26
061,Benton,Overall Pool,Black/African American,1761,5,0.28,0.4159539729435547,-0.13595397294355466,107
061,Benton,Overall Pool,White,1761,1716,97.44,94.43710153941844,3.002898460581548,24293
071,Black Hawk,Overall Pool,Black/African American,16467,1586,9.63,9.259895153721128,0.3701048462788741,12135
071,Black Hawk,Overall Pool,Multiracial,16467,287,1.74,5.085120832665644,-3.3451208326656436,6664
071,Black Hawk,Overall Pool,Native Hawaiian/Pacific Islander,16467,54,0.33,0.7356027134888476,-0.4056027134888476,964
071,Black Hawk,Overall Pool,American Indian/Alaskan Native,16467,41,0.25,0.2914940213202695,-0.04149402132026952,382
071,Black Hawk,Overall Pool,Asian,16467,412,2.5,2.7203565078711014,-0.2203565078711014,3565
071,Black Hawk,Overall Pool,White,16467,13613,82.67,78.06011491884715,4.609885081152854,102297
071,Black Hawk,Overall Pool,HLSO,16467,581,3.53,5.235446283451228,-1.7054462834512285,131049
081,Boone,Overall Pool,American Indian/Alaskan Native,5730,12,0.21,0.04124793760311984,0.16875206239688015,11
081,Boone,Overall Pool,Black/African American,5730,37,0.65,1.1511924403779812,-0.5011924403779812,307
081,Boone,Overall Pool,Multiracial,5730,67,1.17,3.858557072146393,-2.688557072146393,1029
