court_number,county_name,court_display_name,pool_pct_white,census_pct_white,pool_pct_black,census_pct_black,jury_pct_hisp,census_pct_hisp,jury_pct_mr,census_pct_mr
011,Adair,Adair County District Court,97.76,93.05630026809652,0.56,1.5415549597855227,0.00,3.1501340482573728,0.28,2.6943699731903483
021,Adams,Adams County District Court,97.28,94.47818884594147,0.30,0.3036996134732192,0.15,1.7393705135284372,0.61,4.527885146327995
031,Allamakee,Allamakee County District Court,95.88,86.52426908884473,0.50,1.823729775759296,0.10,9.147033778030087,0.70,6.585296622196991
041,Appanoose,Appanoose County District Court,97.13,93.75410374261325,0.60,0.8207485226526593,0.00,2.0436638214051213,0.48,3.0039395929087327
051,Audubon,Audubon County District Court,97.54,93.83818539024827,0.61,0.500089301661011,0.20,2.5004465083050547,0.20,3.3398821218074657
061,Benton,Benton County District Court,97.44,94.43710153941845,0.28,0.4159539729435547,0.06,1.97092209609703,0.97,3.253770797698647
071,Black Hawk,Black Hawk County District Court,82.67,78.06011491884715,9.63,9.259895153721127,0.21,5.235446283451228,1.74,5.085120832665644
081,Boone,Boone County District Court,96.37,92.88660566971652,0.65,1.1511924403779812,0.07,2.9361031948402583,1.17,3.858557072146393
091,Bremer,Bremer County District Court,96.95,92.27106808443104,1.08,1.146643389938105,0.00,2.0949055705443578,0.79,3.7890810982383747
101,Buchanan,Buchanan County District Court,97.41,94.95022711897168,0.52,0.599207499758384,0.00,1.9329274185754326,0.71,2.4983086885087467
111,Buena Vista,Buena Vista County District Court,76.45,52.07921746253553,1.05,3.2718161229701734,1.05,29.364429239146144,0.83,12.54758348190623
121,Butler,Butler County District Court,97.99,94.56826464816372,0.32,0.16820857863751051,0.00,1.7451640033641715,0.42,2.7123633305298567
131,Calhoun,Calhoun County District Court,96.39,91.33938590227481,1.03,1.6117515046414363,0.00,2.713455064776089,0.86,4.590431500561053
141,Carroll,Carroll County District Court,96.96,91.92968825871614,0.76,0.6749538700592406,0.17,3.4961639312421093,0.76,5.190832281246966
151,Cass,Cass County District Court,96.87,93.49419670128285,0.35,0.9010384850335981,0.06,2.7260232131948685,0.64,2.3518631643249845
161,Cedar,Cedar County District Court,96.53,93.16584010027795,0.68,0.43054117390593494,0.08,2.76309335658619,0.64,4.577906152923865
171,Cerro Gordo,Cerro Gordo County District Court,94.04,88.2412272471383,1.52,2.3151623193844997,0.21,5.622537061362357,1.35,5.348095327453556
181,Cherokee,Cherokee County District Court,96.47,88.62068965517241,0.93,1.7413793103448274,0.00,5.3534482758620685,0.52,7.008620689655172
191,Chickasaw,Chickasaw County District Court,96.82,92.57220293046498,0.48,0.5420513254848819,0.39,4.615905818582197,0.39,3.8536461421190817
201,Clarke,Clarke County District Court,88.16,77.49948250879734,0.88,0.05174912026495549,2.64,16.808114262057543,1.13,7.275926309252742
211,Clay,Clay County District Court,95.68,91.0880262438491,0.59,0.2733734281027884,0.00,4.744547718850617,0.77,4.003401980438612
221,Clayton,Clayton County District Court,98.05,94.95091988479399,0.21,0.6583201081525892,0.00,2.3158760947510726,0.41,3.4150355610415564
231,Clinton,Clinton County District Court,93.46,89.02048932307426,2.63,3.099334313132186,0.13,3.6050834269905767,1.36,5.891761044350307
241,Crawford,Crawford County District Court,81.03,62.08760828162438,1.33,0.9338330159120232,7.12,30.8349204398845,0.60,18.33876021379861
251,Dallas,Dallas County District Court,88.56,80.88137225844694,2.79,2.9536529342027267,0.46,6.90297125074096,1.39,6.244442797866034
261,Davis,Davis County District Court,97.41,93.82985694004586,0.43,0,0.14,2.4352954024243747,0.58,2.937643332969313
271,Decatur,Decatur County District Court,96.32,90.17914679726769,0.78,1.3146023972161363,0.00,3.5313829101688365,0.39,4.58822013146024
281,Delaware,Delaware County District Court,97.46,94.05399248205946,0.78,0.0740403234992596,0.00,1.7143182594828568,0.20,4.163344344458367
291,Des Moines,Des Moines County District Court,90.68,84.50385844570894,4.69,4.754852287785486,0.21,3.6765661132330396,1.80,7.667524099046432
