court_number,court_name,result_status,white,black_african_american,hlso_race,hlso_ethnicity,asian,american_indian_alaskan_native,mr_bw,mr_ow,mr_aw,mr_unk,unknown,other
021,Adams County District Court,No Result,106,0,0,0,0,0,0,0,0,0,1,0
031,Allamakee County District Court,Peremptory Strike (Defendant/Respondent),40,0,0,0,0,0,0,0,0,0,1,0
031,Allamakee County District Court,Peremptory Strike (Plaintiff/Petitioner),33,0,0,1,0,0,0,0,0,0,0,1
031,Allamakee County District Court,Court,16,0,0,1,0,0,0,0,0,0,0,0
031,Allamakee County District Court,Not Used,26,0,0,0,0,0,0,0,0,0,0,0
031,Allamakee County District Court,Juror,27,0,0,0,0,0,0,0,0,0,0,0
041,Appanoose County District Court,Alternate,1,0,0,0,0,0,0,0,0,0,0,0
041,Appanoose County District Court,Court,8,0,0,0,0,0,0,0,0,0,0,0
041,Appanoose County District Court,Not Used,17,0,0,0,0,0,0,0,0,0,0,0
041,Appanoose County District Court,Peremptory Strike (Plaintiff/Petitioner),10,0,0,0,0,0,0,0,0,0,1,0
041,Appanoose County District Court,Challenged For Cause (Plaintiff/Petitioner),8,0,0,0,0,0,0,0,0,0,0,0
041,Appanoose County District Court,Juror,13,0,0,0,0,0,0,0,0,0,0,0
041,Appanoose County District Court,Peremptory Strike (Defendant/Respondent),9,1,0,0,1,0,0,0,0,0,0,0
061,Benton County District Court,Peremptory Strike (Defendant/Respondent),23,0,0,0,0,0,1,0,0,0,0,0
061,Benton County District Court,Court,8,0,0,0,0,0,0,0,0,0,0,0
061,Benton County District Court,Not Used,41,0,0,2,0,0,0,0,0,0,0,0
061,Benton County District Court,No Result,40,0,0,0,0,0,0,0,0,0,0,0
061,Benton County District Court,Juror,52,0,0,1,0,0,0,0,0,0,0,0
061,Benton County District Court,Challenged For Cause (Plaintiff/Petitioner),1,0,0,0,0,0,0,0,0,0,0,0
061,Benton County District Court,Peremptory Strike (Plaintiff/Petitioner),23,0,0,1,0,0,0,0,0,0,0,0
071,Black Hawk County District Court,Not Used,804,60,0,31,15,0,10,4,2,0,3,16
071,Black Hawk County District Court,Court,158,26,0,8,1,0,3,0,0,1,4,2
071,Black Hawk County District Court,Juror,463,40,0,16,5,0,3,2,0,0,1,12
071,Black Hawk County District Court,No Result,440,39,0,14,8,0,7,1,1,0,1,10
071,Black Hawk County District Court,Peremptory Strike (Defendant/Respondent),274,8,0,3,3,0,0,1,1,0,1,0
071,Black Hawk County District Court,Alternate,31,6,0,2,1,0,0,1,0,0,0,1
071,Black Hawk County District Court,Peremptory Strike (Plaintiff/Petitioner),254,21,0,8,4,0,2,1,1,0,1,3
081,Boone County District Court,No Result,32,0,0,0,0,0,0,0,0,0,0,0
081,Boone County District Court,Peremptory Strike (Defendant/Respondent),61,0,0,0,0,0,0,0,0,0,0,0
081,Boone County District Court,Juror,139,1,0,2,0,0,0,0,0,0,0,1
081,Boone County District Court,Not Used,232,1,0,5,1,0,0,0,2,0,0,3
081,Boone County District Court,Peremptory Strike (Plaintiff/Petitioner),59,0,0,0,1,0,0,0,0,0,0,0
081,Boone County District Court,Alternate,8,0,0,0,0,0,0,0,0,0,0,0
091,Bremer County District Court,Juror,35,0,0,0,0,0,1,0,0,0,0,1
091,Bremer County District Court,Peremptory Strike (Plaintiff/Petitioner),14,0,0,0,0,0,0,0,0,0,0,0
091,Bremer County District Court,Challenged For Cause (Defendant/Respondent),1,0,0,0,0,0,0,0,0,0,0,0
091,Bremer County District Court,Peremptory Strike (Defendant/Respondent),15,1,0,0,0,0,0,0,0,0,0,0
091,Bremer County District Court,Not Used,227,1,0,4,1,0,1,1,0,0,0,1
091,Bremer County District Court,Alternate,3,0,0,0,0,0,0,0,0,0,0,0
091,Bremer County District Court,Court,4,0,0,0,0,0,0,0,0,0,0,0
091,Bremer County District Court,Challenged For Cause (Plaintiff/Petitioner),1,0,0,0,0,0,0,0,0,0,0,0
101,Buchanan County District Court,Peremptory Strike (Defendant/Respondent),41,0,0,1,0,0,0,0,0,0,0,0
101,Buchanan County District Court,Not Used,111,0,0,0,1,0,1,0,0,0,0,0
101,Buchanan County District Court,No Result,87,0,0,0,0,0,0,0,0,0,0,0
101,Buchanan County District Court,Court,25,0,0,1,0,0,0,0,0,0,0,0
101,Buchanan County District Court,Juror,70,0,0,0,0,0,0,0,1,0,0,0
101,Buchanan County District Court,Alternate,1,0,0,0,0,0,0,0,0,0,0,0
101,Buchanan County District Court,Peremptory Strike (Plaintiff/Petitioner),40,0,0,1,1,0,0,0,0,0,0,0
111,Buena Vista County District Court,Juror,13,0,0,1,0,0,0,0,0,0,0,1
111,Buena Vista County District Court,Not Used,35,0,1,11,3,0,0,0,0,0,1,6
121,Butler County District Court,No Result,39,0,0,0,0,0,0,0,0,0,0,0
121,Butler County District Court,Not Used,41,0,0,0,0,0,0,0,0,0,0,0
141,Carroll County District Court,Peremptory Strike (Plaintiff/Petitioner),9,0,0,0,0,0,0,0,0,0,0,0
141,Carroll County District Court,Not Used,24,0,0,0,0,0,0,0,0,0,0,0
141,Carroll County District Court,Peremptory Strike (Defendant/Respondent),9,0,0,0,0,0,0,0,0,0,0,0
141,Carroll County District Court,Alternate,2,0,0,0,0,0,0,0,0,0,0,0
141,Carroll County District Court,Juror,15,1,0,2,0,0,0,0,0,0,0,0
161,Cedar County District Court,No Result,46,0,0,1,1,0,0,0,0,0,0,0
171,Cerro Gordo County District Court,Challenged For Cause (Defendant/Respondent),1,0,0,0,0,0,0,0,0,0,0,0
171,Cerro Gordo County District Court,Challenged For Cause (Plaintiff/Petitioner),13,0,0,1,0,0,0,0,0,0,0,1
171,Cerro Gordo County District Court,Peremptory Strike (Plaintiff/Petitioner),32,1,0,2,0,0,0,0,0,0,0,1
171,Cerro Gordo County District Court,Peremptory Strike (Defendant/Respondent),33,0,0,1,0,0,0,0,0,0,0,0
171,Cerro Gordo County District Court,Alternate,8,0,0,0,0,0,0,0,0,0,0,0
171,Cerro Gordo County District Court,Court,20,0,0,0,0,0,1,1,0,0,0,1
171,Cerro Gordo County District Court,No Result,41,0,0,3,0,0,0,1,0,0,0,2
171,Cerro Gordo County District Court,Not Used,140,3,0,5,3,0,1,0,0,0,0,1
171,Cerro Gordo County District Court,Juror,71,0,0,4,0,0,0,0,0,0,0,0
191,Chickasaw County District Court,Peremptory Strike (Plaintiff/Petitioner),4,0,0,0,0,0,0,0,0,0,0,0
191,Chickasaw County District Court,Court,1,0,0,0,0,0,0,0,0,0,0,0
191,Chickasaw County District Court,Challenged For Cause (Defendant/Respondent),2,0,0,0,0,0,0,0,0,0,0,0
191,Chickasaw County District Court,Not Used,17,0,0,0,0,0,0,0,0,0,0,0
191,Chickasaw County District Court,Peremptory Strike (Defendant/Respondent),4,0,0,0,0,0,0,0,0,0,0,0
191,Chickasaw County District Court,Juror,12,0,0,0,0,0,0,0,0,0,0,0
201,Clarke County District Court,Peremptory Strike (Plaintiff/Petitioner),12,0,0,1,0,0,0,0,0,0,0,1
201,Clarke County District Court,Court,13,0,0,0,0,0,0,0,0,0,0,0
201,Clarke County District Court,Peremptory Strike (Defendant/Respondent),14,0,0,0,0,0,0,0,0,0,0,0
201,Clarke County District Court,Juror,35,0,0,1,0,0,0,0,0,0,0,0
201,Clarke County District Court,Alternate,2,0,0,0,0,0,0,0,0,0,0,0
201,Clarke County District Court,Not Used,86,0,0,3,0,0,0,1,0,0,1,1
211,Clay County District Court,Peremptory Strike (Plaintiff/Petitioner),18,0,0,0,1,0,0,0,0,0,0,0
211,Clay County District Court,Juror,28,0,0,0,0,0,0,0,0,0,0,0
211,Clay County District Court,Peremptory Strike (Defendant/Respondent),20,0,0,0,0,0,0,0,0,0,0,0
211,Clay County District Court,Challenged For Cause (Plaintiff/Petitioner),12,0,0,0,0,0,0,0,0,0,0,0
211,Clay County District Court,Not Used,101,1,0,4,1,0,0,0,0,0,0,3
211,Clay County District Court,Challenged For Cause (Defendant/Respondent),7,0,0,0,0,0,0,0,0,0,0,0
221,Clayton County District Court,Juror,18,0,0,1,0,0,0,0,0,0,0,1
221,Clayton County District Court,Peremptory Strike (Plaintiff/Petitioner),11,0,0,0,0,0,0,0,0,0,0,0
221,Clayton County District Court,Challenged For Cause (Plaintiff/Petitioner),7,0,0,0,0,0,0,0,0,0,0,0
221,Clayton County District Court,Challenged For Cause (Defendant/Respondent),3,0,0,0,0,0,0,0,0,0,0,0
221,Clayton County District Court,Court,3,0,0,0,0,0,0,0,0,0,0,0
221,Clayton County District Court,Peremptory Strike (Defendant/Respondent),11,0,0,0,0,0,0,0,0,0,0,0
221,Clayton County District Court,Not Used,27,0,0,0,0,0,0,0,0,0,0,0
231,Clinton County District Court,Court,28,0,0,0,0,0,0,0,0,0,1,0
231,Clinton County District Court,Juror,107,3,0,2,1,0,1,0,0,0,0,1
231,Clinton County District Court,Not Used,136,3,0,2,0,0,0,0,0,0,0,2
231,Clinton County District Court,No Result,97,2,0,3,1,0,3,0,0,0,0,2
231,Clinton County District Court,Peremptory Strike (Plaintiff/Petitioner),55,1,0,5,0,0,0,0,0,0,0,2
231,Clinton County District Court,Challenged For Cause (Defendant/Respondent),5,0,0,0,0,0,0,0,0,0,0,0
231,Clinton County District Court,Alternate,10,0,0,0,0,0,0,0,0,0,0,0
231,Clinton County District Court,Peremptory Strike (Defendant/Respondent),60,0,0,1,0,0,0,1,0,0,0,0
231,Clinton County District Court,Challenged For Cause (Plaintiff/Petitioner),16,0,0,0,0,0,0,0,0,0,0,0
241,Crawford County District Court,Peremptory Strike (Defendant/Respondent),7,0,0,0,0,0,0,0,0,0,0,0
241,Crawford County District Court,Challenged For Cause (Plaintiff/Petitioner),5,0,0,0,0,0,0,0,0,0,0,0
241,Crawford County District Court,Juror,11,0,0,1,0,0,0,0,0,0,0,1
241,Crawford County District Court,Peremptory Strike (Plaintiff/Petitioner),7,0,0,0,0,0,0,0,0,0,0,0
241,Crawford County District Court,Alternate,1,0,0,1,0,0,0,0,0,0,0,0
241,Crawford County District Court,Not Used,28,0,0,4,0,0,0,0,0,0,0,1
251,Dallas County District Court,Not Used,184,5,0,6,6,0,0,2,0,0,0,4
251,Dallas County District Court,Challenged For Cause (Plaintiff/Petitioner),4,1,0,1,0,0,0,0,0,0,0,1
251,Dallas County District Court,Peremptory Strike (Plaintiff/Petitioner),87,0,0,3,4,0,1,0,1,0,0,3
251,Dallas County District Court,Juror,211,4,0,6,7,0,0,0,0,1,0,6
251,Dallas County District Court,No Result,93,5,0,1,1,0,0,0,0,0,0,1
251,Dallas County District Court,Peremptory Strike (Defendant/Respondent),95,2,0,1,0,0,0,0,1,0,1,0
251,Dallas County District Court,Alternate,3,0,0,1,0,0,0,0,0,0,0,1
251,Dallas County District Court,Challenged For Cause (Defendant/Respondent),1,0,0,0,0,0,0,0,0,0,0,0
251,Dallas County District Court,Court,36,0,0,3,1,0,1,0,0,0,1,1
