"Label (Grouping)","Adair County, Iowa!!Estimate","Adair County, Iowa!!Margin of Error","Adams County, Iowa!!Estimate","Adams County, Iowa!!Margin of Error","Allamakee County, Iowa!!Estimate","Allamakee County, Iowa!!Margin of Error","Appanoose County, Iowa!!Estimate","Appanoose County, Iowa!!Margin of Error","Audubon County, Iowa!!Estimate","Audubon County, Iowa!!Margin of Error","Benton County, Iowa!!Estimate","Benton County, Iowa!!Margin of Error","Black Hawk County, Iowa!!Estimate","Black Hawk County, Iowa!!Margin of Error","Boone County, Iowa!!Estimate","Boone County, Iowa!!Margin of Error","Bremer County, Iowa!!Estimate","Bremer County, Iowa!!Margin of Error","Buchanan County, Iowa!!Estimate","Buchanan County, Iowa!!Margin of Error","Buena Vista County, Iowa!!Estimate","Buena Vista County, Iowa!!Margin of Error","Butler County, Iowa!!Estimate","Butler County, Iowa!!Margin of Error","Calhoun County, Iowa!!Estimate","Calhoun County, Iowa!!Margin of Error","Carroll County, Iowa!!Estimate","Carroll County, Iowa!!Margin of Error","Cass County, Iowa!!Estimate","Cass County, Iowa!!Margin of Error","Cedar County, Iowa!!Estimate","Cedar County, Iowa!!Margin of Error","Cerro Gordo County, Iowa!!Estimate","Cerro Gordo County, Iowa!!Margin of Error","Cherokee County, Iowa!!Estimate","Cherokee County, Iowa!!Margin of Error","Chickasaw County, Iowa!!Estimate","Chickasaw County, Iowa!!Margin of Error","Clarke County, Iowa!!Estimate","Clarke County, Iowa!!Margin of Error","Clay County, Iowa!!Estimate","Clay County, Iowa!!Margin of Error","Clayton County, Iowa!!Estimate","Clayton County, Iowa!!Margin of Error","Clinton County, Iowa!!Estimate","Clinton County, Iowa!!Margin of Error","Crawford County, Iowa!!Estimate","Crawford County, Iowa!!Margin of Error","Dallas County, Iowa!!Estimate","Dallas County, Iowa!!Margin of Error","Davis County, Iowa!!Estimate","Davis County, Iowa!!Margin of Error","Decatur County, Iowa!!Estimate","Decatur County, Iowa!!Margin of Error","Delaware County, Iowa!!Estimate","Delaware County, Iowa!!Margin of Error","Des Moines County, Iowa!!Estimate","Des Moines County, Iowa!!Margin of Error","Dickinson County, Iowa!!Estimate","Dickinson County, Iowa!!Margin of Error","Dubuque County, Iowa!!Estimate","Dubuque County, Iowa!!Margin of Error","Emmet County, Iowa!!Estimate","Emmet County, Iowa!!Margin of Error","Fayette County, Iowa!!Estimate","Fayette County, Iowa!!Margin of Error","Floyd County, Iowa!!Estimate","Floyd County, Iowa!!Margin of Error","Franklin County, Iowa!!Estimate","Franklin County, Iowa!!Margin of Error","Fremont County, Iowa!!Estimate","Fremont County, Iowa!!Margin of Error","Greene County, Iowa!!Estimate","Greene County, Iowa!!Margin of Error","Grundy County, Iowa!!Estimate","Grundy County, Iowa!!Margin of Error","Guthrie County, Iowa!!Estimate","Guthrie County, Iowa!!Margin of Error","Hamilton County, Iowa!!Estimate","Hamilton County, Iowa!!Margin of Error","Hancock County, Iowa!!Estimate","Hancock County, Iowa!!Margin of Error","Hardin County, Iowa!!Estimate","Hardin County, Iowa!!Margin of Error","Harrison County, Iowa!!Estimate","Harrison County, Iowa!!Margin of Error","Henry County, Iowa!!Estimate","Henry County, Iowa!!Margin of Error","Howard County, Iowa!!Estimate","Howard County, Iowa!!Margin of Error","Humboldt County, Iowa!!Estimate","Humboldt County, Iowa!!Margin of Error","Ida County, Iowa!!Estimate","Ida County, Iowa!!Margin of Error","Iowa County, Iowa!!Estimate","Iowa County, Iowa!!Margin of Error","Jackson County, Iowa!!Estimate","Jackson County, Iowa!!Margin of Error","Jasper County, Iowa!!Estimate","Jasper County, Iowa!!Margin of Error","Jefferson County, Iowa!!Estimate","Jefferson County, Iowa!!Margin of Error","Johnson County, Iowa!!Estimate","Johnson County, Iowa!!Margin of Error","Jones County, Iowa!!Estimate","Jones County, Iowa!!Margin of Error","Keokuk County, Iowa!!Estimate","Keokuk County, Iowa!!Margin of Error","Kossuth County, Iowa!!Estimate","Kossuth County, Iowa!!Margin of Error","Lee County, Iowa!!Estimate","Lee County, Iowa!!Margin of Error","Linn County, Iowa!!Estimate","Linn County, Iowa!!Margin of Error","Louisa County, Iowa!!Estimate","Louisa County, Iowa!!Margin of Error","Lucas County, Iowa!!Estimate","Lucas County, Iowa!!Margin of Error","Lyon County, Iowa!!Estimate","Lyon County, Iowa!!Margin of Error","Madison County, Iowa!!Estimate","Madison County, Iowa!!Margin of Error","Mahaska County, Iowa!!Estimate","Mahaska County, Iowa!!Margin of Error","Marion County, Iowa!!Estimate","Marion County, Iowa!!Margin of Error","Marshall County, Iowa!!Estimate","Marshall County, Iowa!!Margin of Error","Mills County, Iowa!!Estimate","Mills County, Iowa!!Margin of Error","Mitchell County, Iowa!!Estimate","Mitchell County, Iowa!!Margin of Error","Monona County, Iowa!!Estimate","Monona County, Iowa!!Margin of Error","Monroe County, Iowa!!Estimate","Monroe County, Iowa!!Margin of Error","Montgomery County, Iowa!!Estimate","Montgomery County, Iowa!!Margin of Error","Muscatine County, Iowa!!Estimate","Muscatine County, Iowa!!Margin of Error","O'Brien County, Iowa!!Estimate","O'Brien County, Iowa!!Margin of Error","Osceola County, Iowa!!Estimate","Osceola County, Iowa!!Margin of Error","Page County, Iowa!!Estimate","Page County, Iowa!!Margin of Error","Palo Alto County, Iowa!!Estimate","Palo Alto County, Iowa!!Margin of Error","Plymouth County, Iowa!!Estimate","Plymouth County, Iowa!!Margin of Error","Pocahontas County, Iowa!!Estimate","Pocahontas County, Iowa!!Margin of Error","Polk County, Iowa!!Estimate","Polk County, Iowa!!Margin of Error","Pottawattamie County, Iowa!!Estimate","Pottawattamie County, Iowa!!Margin of Error","Poweshiek County, Iowa!!Estimate","Poweshiek County, Iowa!!Margin of Error","Ringgold County, Iowa!!Estimate","Ringgold County, Iowa!!Margin of Error","Sac County, Iowa!!Estimate","Sac County, Iowa!!Margin of Error","Scott County, Iowa!!Estimate","Scott County, Iowa!!Margin of Error","Shelby County, Iowa!!Estimate","Shelby County, Iowa!!Margin of Error","Sioux County, Iowa!!Estimate","Sioux County, Iowa!!Margin of Error","Story County, Iowa!!Estimate","Story County, Iowa!!Margin of Error","Tama County, Iowa!!Estimate","Tama County, Iowa!!Margin of Error","Taylor County, Iowa!!Estimate","Taylor County, Iowa!!Margin of Error","Union County, Iowa!!Estimate","Union County, Iowa!!Margin of Error","Van Buren County, Iowa!!Estimate","Van Buren County, Iowa!!Margin of Error","Wapello County, Iowa!!Estimate","Wapello County, Iowa!!Margin of Error","Warren County, Iowa!!Estimate","Warren County, Iowa!!Margin of Error","Washington County, Iowa!!Estimate","Washington County, Iowa!!Margin of Error","Wayne County, Iowa!!Estimate","Wayne County, Iowa!!Margin of Error","Webster County, Iowa!!Estimate","Webster County, Iowa!!Margin of Error","Winnebago County, Iowa!!Estimate","Winnebago County, Iowa!!Margin of Error","Winneshiek County, Iowa!!Estimate","Winneshiek County, Iowa!!Margin of Error","Woodbury County, Iowa!!Estimate","Woodbury County, Iowa!!Margin of Error","Worth County, Iowa!!Estimate","Worth County, Iowa!!Margin of Error","Wright County, Iowa!!Estimate","Wright County, Iowa!!Margin of Error"
"Total:","235","*****","63","*****","1,289","*****","249","±135","140","*****","507","*****","6,861","*****","783","*****","528","*****","400","*****","6,094","*****","249","*****","266","*****","720","*****","357","*****","507","*****","2,397","*****","621","*****","545","*****","1,624","*****","781","*****","394","*****","1,668","*****","5,019","*****","7,453","*****","223","*****","274","*****","301","*****","1,415","*****","513","*****","3,234","*****","942","*****","593","*****","595","*****","1,642","*****","219","*****","307","*****","219","*****","331","*****","1,510","*****","635","*****","911","*****","328","*****","1,109","*****","312","*****","551","*****","286","*****","564","*****","306","*****","1,177","*****","644","*****","10,554","*****","543","*****","233","*****","654","*****","1,145","*****","9,482","*****","1,754","*****","255","*****","470","*****","383","*****","550","*****","773","*****","9,875","*****","563","*****","257","*****","233","*****","156","*****","82","±52","8,005","*****","1,074","*****","647","*****","505","*****","311","*****","1,653","*****","412","*****","52,317","*****","8,536","*****","657","*****","100","*****","422","*****","12,902","*****","518","*****","5,193","*****","5,184","*****","1,968","*****","476","*****","460","*****","128","*****","4,748","*****","2,020","*****","1,749","*****","77","±50","2,439","*****","619","*****","612","*****","20,316","*****","258","*****","2,547","*****"
"    Male:","128","±37","53","±5","676","±70","162","±77","50","±14","231","±30","3,507","*****","435","±61","232","±33","235","±68","3,119","*****","110","±16","163","±18","309","±54","146","±51","283","±32","1,305","±77","358","±20","368","±67","821","±144","464","±57","180","±19","886","±60","2,702","±60","3,837","*****","125","±30","130","±41","197","±35","732","±164","301","±31","1,635","±112","472","±65","284","±35","389","±53","901","±92","127","±31","218","±46","109","±20","158","±13","884","±50","398","±56","535","±30","180","±11","676","±64","152","±16","232","±40","160","±20","337","±83","221","±44","627","±52","344","±81","5,270","±106","334","±95","137","±19","340","±42","525","±70","4,524","±75","863","±39","164","±31","299","±19","157","±62","215","±77","392","±99","5,085","*****","227","±54","124","±27","112","±22","80","±45","53","±43","4,064","±128","520","±48","482","±84","362","±59","180","±21","955","±80","207","±24","27,171","*****","4,455","*****","271","±51","59","±19","254","±33","6,672","*****","269","±54","2,765","±95","2,749","±60","1,083","±53","275","±45","306","±21","79","±21","2,486","±119","1,075","±71","963","±61","14","±15","1,401","±96","358","±70","395","±84","10,664","*****","175","±24","1,308","±135"
"        Under 18 years:","43","±22","37","±18","281","±60","124","±79","15","±4","98","±27","1,349","*****","151","±51","62","±26","54","±27","1,116","*****","41","±14","69","±13","93","±55","86","±41","104","±25","467","±48","150","±7","114","±70","339","±128","251","±59","67","±11","319","±60","1,084","±60","1,318","*****","37","±13","40","±10","79","±10","313","±146","131","±25","629","±112","131","±63","76","±21","182","±40","358","±58","47","±21","65","±34","23","±13","39","±7","433","±54","182","±47","203","±17","65","±9","240","±58","78","±17","131","±23","56","±18","109","±30","105","±12","136","±45","115","±67","1,502","±107","82","±43","46","±17","114","±41","115","±70","1,487","±75","197","±38","87","±35","133","±17","60","±28","53","±30","123","±81","1,881","*****","113","±46","39","±27","31","±20","27","±29","0","±16","1,359","±128","230","±48","182","±47","98","±43","85","±20","408","±71","54","±25","10,019","*****","1,556","*****","70","±34","26","±18","93","±19","2,182","*****","94","±37","1,202","*****","683","±59","378","±45","55","±37","150","±31","23","±10","867","±119","354","±48","404","±46","0","±15","531","±96","111","±48","168","±78","4,155","*****","44","±12","642","±122"
"            Native","43","±22","37","±18","188","±66","124","±79","15","±4","98","±27","1,300","±39","136","±53","62","±26","51","±28","1,101","±23","41","±14","60","±15","70","±42","86","±41","104","±25","462","±50","109","±51","24","±30","339","±128","195","±57","67","±11","319","±60","766","±244","1,306","±19","19","±20","40","±10","79","±10","313","±146","131","±25","599","±120","131","±63","76","±21","182","±40","340","±59","47","±21","65","±34","23","±13","38","±7","395","±127","182","±47","178","±33","65","±9","240","±58","69","±18","67","±41","43","±16","109","±30","105","±12","136","±45","111","±67","1,398","±151","82","±43","45","±17","83","±55","97","±63","1,464","±89","185","±44","5","±9","131","±17","60","±28","53","±30","123","±81","1,785","±70","113","±46","33","±27","31","±20","27","±29","0","±16","1,330","±128","230","±48","182","±47","98","±43","85","±20","408","±71","54","±25","9,407","±251","1,461","±55","70","±34","26","±18","89","±21","2,158","±42","78","±33","920","±188","683","±59","378","±45","55","±37","150","±31","23","±10","822","±127","354","±48","404","±46","0","±15","380","±117","111","±48","164","±77","3,886","±137","44","±12","620","±121"
"            Foreign-born:","0","±15","0","±10","93","±62","0","±16","0","±15","0","±19","49","±39","15","±19","0","±19","3","±4","15","±21","0","±16","9","±10","23","±35","0","±16","0","±16","5","±14","41","±50","90","±94","0","±15","56","±62","0","±16","0","±22","318","±260","12","±19","18","±13","0","±15","0","±16","0","±22","0","±16","30","±35","0","±15","0","±16","0","±16","18","±22","0","±15","0","±15","0","±16","1","±2","38","±109","0","±16","25","±29","0","±16","0","±19","9","±12","64","±50","13","±19","0","±16","0","±16","0","±22","4","±7","104","±110","0","±19","1","±2","31","±40","18","±30","23","±37","12","±19","82","±42","2","±3","0","±16","0","±19","0","±22","96","±70","0","±16","6","±9","0","±15","0","±15","0","±16","29","±37","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","612","±252","95","±55","0","±16","0","±10","4","±6","24","±42","16","±16","282","±188","0","±24","0","±16","0","±15","0","±16","0","±15","45","±39","0","±24","0","±19","0","±15","151","±117","0","±16","4","±8","269","±137","0","±15","22","±29"
"                Naturalized U.S. citizen","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","0","±24","15","±19","0","±19","0","±19","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","5","±14","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","35","±43","0","±24","4","±7","0","±15","0","±16","0","±22","0","±16","0","±24","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","0","±16","0","±16","0","±19","9","±12","1","±2","0","±15","0","±16","0","±16","0","±22","4","±7","0","±24","0","±19","0","±15","0","±16","18","±30","0","±24","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","0","±22","0","±16","6","±9","0","±15","0","±15","0","±16","16","±28","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","154","±132","58","±53","0","±16","0","±10","4","±6","0","±24","0","±16","172","±136","0","±24","0","±16","0","±15","0","±16","0","±15","0","±22","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","28","±51","0","±15","22","±29"
"                Not a U.S. citizen","0","±15","0","±10","93","±62","0","±16","0","±15","0","±19","49","±39","0","±19","0","±19","3","±4","15","±21","0","±16","9","±10","23","±35","0","±16","0","±16","0","±22","41","±50","90","±94","0","±15","56","±62","0","±16","0","±22","283","±266","12","±19","14","±15","0","±15","0","±16","0","±22","0","±16","30","±35","0","±15","0","±16","0","±16","18","±22","0","±15","0","±15","0","±16","1","±2","38","±109","0","±16","25","±29","0","±16","0","±19","0","±15","63","±51","13","±19","0","±16","0","±16","0","±22","0","±16","104","±110","0","±19","1","±2","31","±40","0","±22","23","±37","12","±19","82","±42","2","±3","0","±16","0","±19","0","±22","96","±70","0","±16","0","±16","0","±15","0","±15","0","±16","13","±21","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","458","±186","37","±49","0","±16","0","±10","0","±15","24","±42","16","±16","110","±83","0","±24","0","±16","0","±15","0","±16","0","±15","45","±39","0","±24","0","±19","0","±15","151","±117","0","±16","4","±8","241","±135","0","±15","0","±16"
"        18 years and over:","85","±27","16","±17","395","±23","38","±60","35","±14","133","±10","2,158","*****","284","±39","170","±23","181","±63","2,003","*****","69","±8","94","±14","216","±10","60","±64","179","±24","838","±65","208","±17","254","±21","482","±82","213","±24","113","±13","567","*****","1,618","*****","2,519","*****","88","±31","90","±42","118","±35","419","±56","170","±23","1,006","*****","341","±41","208","±24","207","±44","543","±62","80","±20","153","±32","86","±19","119","±11","451","±52","216","±31","332","±25","115","±8","436","±15","74","±2","101","±39","104","±11","228","±72","116","±37","491","±16","229","±49","3,768","*****","252","±115","91","±9","226","±11","410","*****","3,037","*****","666","*****","77","±19","166","±12","97","±51","162","±74","269","±57","3,204","*****","114","±82","85","±3","81","±11","53","±52","53","±43","2,705","*****","290","±3","300","±68","264","±37","95","±4","547","±42","153","±5","17,152","*****","2,899","*****","201","±36","33","±26","161","±26","4,490","*****","175","±30","1,563","±95","2,066","*****","705","±23","220","±58","156","±21","56","±19","1,619","*****","721","±42","559","±42","14","±15","870","*****","247","±46","227","±23","6,509","*****","131","±20","666","±60"
"            Native","59","±37","13","±15","102","±53","6","±10","1","±3","58","±37","1,230","±199","251","±51","120","±32","159","±68","695","±233","19","±14","76","±33","113","±54","54","±63","168","±19","689","±100","76","±54","62","±113","281","±162","141","±65","40","±31","425","±58","579","±177","1,120","±227","40","±32","54","±34","65","±74","328","±86","75","±41","570","±116","252","±60","117","±77","198","±43","231","±62","18","±22","96","±50","6","±9","53","±27","164","±94","171","±57","108","±43","84","±21","332","±58","27","±24","48","±38","60","±26","188","±50","102","±43","345","±80","191","±53","2,685","±236","99","±49","47","±21","49","±41","268","±128","2,204","±266","233","±48","17","±22","90","±33","76","±53","80","±47","230","±53","1,451","±196","95","±77","63","±27","39","±36","53","±52","20","±20","1,727","±183","134","±68","59","±53","201","±61","20","±18","265","±107","81","±29","8,561","±664","1,579","±207","168","±43","26","±24","60","±37","3,527","±312","136","±38","376","±115","1,592","±168","338","±84","128","±52","71","±50","56","±19","632","±171","492","±130","315","±62","3","±5","629","±106","177","±15","73","±45","2,663","±272","131","±20","276","±73"
"            Foreign-born:","26","±25","3","±7","293","±57","32","±59","34","±15","75","±36","928","±199","33","±31","50","±21","22","±21","1,308","±233","50","±16","18","±21","103","±52","6","±14","11","±17","149","±82","132","±51","192","±112","201","±182","72","±54","73","±28","142","±58","1,039","±177","1,399","±227","48","±35","36","±33","53","±41","91","±57","95","±37","436","±115","89","±54","91","±78","9","±15","312","±91","62","±31","57","±41","80","±19","66","±27","287","±70","45","±46","224","±48","31","±17","104","±57","47","±24","53","±30","44","±25","40","±37","14","±17","146","±74","38","±30","1,083","±236","153","±124","44","±18","177","±36","142","±127","833","±267","433","±48","60","±18","76","±29","21","±19","82","±64","39","±32","1,753","±196","19","±30","22","±26","42","±33","0","±15","33","±42","978","±183","156","±67","241","±83","63","±43","75","±19","282","±111","72","±28","8,591","±664","1,320","±207","33","±29","7","±11","101","±31","963","±311","39","±32","1,187","±144","474","±166","367","±82","92","±30","85","±50","0","±15","987","±171","229","±138","244","±85","11","±15","241","±107","70","±47","154","±34","3,846","±273","0","±15","390","±100"
