"Label (Grouping)","Adair County, Iowa!!Estimate","Adair County, Iowa!!Margin of Error","Adams County, Iowa!!Estimate","Adams County, Iowa!!Margin of Error","Allamakee County, Iowa!!Estimate","Allamakee County, Iowa!!Margin of Error","Appanoose County, Iowa!!Estimate","Appanoose County, Iowa!!Margin of Error","Audubon County, Iowa!!Estimate","Audubon County, Iowa!!Margin of Error","Benton County, Iowa!!Estimate","Benton County, Iowa!!Margin of Error","Black Hawk County, Iowa!!Estimate","Black Hawk County, Iowa!!Margin of Error","Boone County, Iowa!!Estimate","Boone County, Iowa!!Margin of Error","Bremer County, Iowa!!Estimate","Bremer County, Iowa!!Margin of Error","Buchanan County, Iowa!!Estimate","Buchanan County, Iowa!!Margin of Error","Buena Vista County, Iowa!!Estimate","Buena Vista County, Iowa!!Margin of Error","Butler County, Iowa!!Estimate","Butler County, Iowa!!Margin of Error","Calhoun County, Iowa!!Estimate","Calhoun County, Iowa!!Margin of Error","Carroll County, Iowa!!Estimate","Carroll County, Iowa!!Margin of Error","Cass County, Iowa!!Estimate","Cass County, Iowa!!Margin of Error","Cedar County, Iowa!!Estimate","Cedar County, Iowa!!Margin of Error","Cerro Gordo County, Iowa!!Estimate","Cerro Gordo County, Iowa!!Margin of Error","Cherokee County, Iowa!!Estimate","Cherokee County, Iowa!!Margin of Error","Chickasaw County, Iowa!!Estimate","Chickasaw County, Iowa!!Margin of Error","Clarke County, Iowa!!Estimate","Clarke County, Iowa!!Margin of Error","Clay County, Iowa!!Estimate","Clay County, Iowa!!Margin of Error","Clayton County, Iowa!!Estimate","Clayton County, Iowa!!Margin of Error","Clinton County, Iowa!!Estimate","Clinton County, Iowa!!Margin of Error","Crawford County, Iowa!!Estimate","Crawford County, Iowa!!Margin of Error","Dallas County, Iowa!!Estimate","Dallas County, Iowa!!Margin of Error","Davis County, Iowa!!Estimate","Davis County, Iowa!!Margin of Error","Decatur County, Iowa!!Estimate","Decatur County, Iowa!!Margin of Error","Delaware County, Iowa!!Estimate","Delaware County, Iowa!!Margin of Error","Des Moines County, Iowa!!Estimate","Des Moines County, Iowa!!Margin of Error","Dickinson County, Iowa!!Estimate","Dickinson County, Iowa!!Margin of Error","Dubuque County, Iowa!!Estimate","Dubuque County, Iowa!!Margin of Error","Emmet County, Iowa!!Estimate","Emmet County, Iowa!!Margin of Error","Fayette County, Iowa!!Estimate","Fayette County, Iowa!!Margin of Error","Floyd County, Iowa!!Estimate","Floyd County, Iowa!!Margin of Error","Franklin County, Iowa!!Estimate","Franklin County, Iowa!!Margin of Error","Fremont County, Iowa!!Estimate","Fremont County, Iowa!!Margin of Error","Greene County, Iowa!!Estimate","Greene County, Iowa!!Margin of Error","Grundy County, Iowa!!Estimate","Grundy County, Iowa!!Margin of Error","Guthrie County, Iowa!!Estimate","Guthrie County, Iowa!!Margin of Error","Hamilton County, Iowa!!Estimate","Hamilton County, Iowa!!Margin of Error","Hancock County, Iowa!!Estimate","Hancock County, Iowa!!Margin of Error","Hardin County, Iowa!!Estimate","Hardin County, Iowa!!Margin of Error","Harrison County, Iowa!!Estimate","Harrison County, Iowa!!Margin of Error","Henry County, Iowa!!Estimate","Henry County, Iowa!!Margin of Error","Howard County, Iowa!!Estimate","Howard County, Iowa!!Margin of Error","Humboldt County, Iowa!!Estimate","Humboldt County, Iowa!!Margin of Error","Ida County, Iowa!!Estimate","Ida County, Iowa!!Margin of Error","Iowa County, Iowa!!Estimate","Iowa County, Iowa!!Margin of Error","Jackson County, Iowa!!Estimate","Jackson County, Iowa!!Margin of Error","Jasper County, Iowa!!Estimate","Jasper County, Iowa!!Margin of Error","Jefferson County, Iowa!!Estimate","Jefferson County, Iowa!!Margin of Error","Johnson County, Iowa!!Estimate","Johnson County, Iowa!!Margin of Error","Jones County, Iowa!!Estimate","Jones County, Iowa!!Margin of Error","Keokuk County, Iowa!!Estimate","Keokuk County, Iowa!!Margin of Error","Kossuth County, Iowa!!Estimate","Kossuth County, Iowa!!Margin of Error","Lee County, Iowa!!Estimate","Lee County, Iowa!!Margin of Error","Linn County, Iowa!!Estimate","Linn County, Iowa!!Margin of Error","Louisa County, Iowa!!Estimate","Louisa County, Iowa!!Margin of Error","Lucas County, Iowa!!Estimate","Lucas County, Iowa!!Margin of Error","Lyon County, Iowa!!Estimate","Lyon County, Iowa!!Margin of Error","Madison County, Iowa!!Estimate","Madison County, Iowa!!Margin of Error","Mahaska County, Iowa!!Estimate","Mahaska County, Iowa!!Margin of Error","Marion County, Iowa!!Estimate","Marion County, Iowa!!Margin of Error","Marshall County, Iowa!!Estimate","Marshall County, Iowa!!Margin of Error","Mills County, Iowa!!Estimate","Mills County, Iowa!!Margin of Error","Mitchell County, Iowa!!Estimate","Mitchell County, Iowa!!Margin of Error","Monona County, Iowa!!Estimate","Monona County, Iowa!!Margin of Error","Monroe County, Iowa!!Estimate","Monroe County, Iowa!!Margin of Error","Montgomery County, Iowa!!Estimate","Montgomery County, Iowa!!Margin of Error","Muscatine County, Iowa!!Estimate","Muscatine County, Iowa!!Margin of Error","O'Brien County, Iowa!!Estimate","O'Brien County, Iowa!!Margin of Error","Osceola County, Iowa!!Estimate","Osceola County, Iowa!!Margin of Error","Page County, Iowa!!Estimate","Page County, Iowa!!Margin of Error","Palo Alto County, Iowa!!Estimate","Palo Alto County, Iowa!!Margin of Error","Plymouth County, Iowa!!Estimate","Plymouth County, Iowa!!Margin of Error","Pocahontas County, Iowa!!Estimate","Pocahontas County, Iowa!!Margin of Error","Polk County, Iowa!!Estimate","Polk County, Iowa!!Margin of Error","Pottawattamie County, Iowa!!Estimate","Pottawattamie County, Iowa!!Margin of Error","Poweshiek County, Iowa!!Estimate","Poweshiek County, Iowa!!Margin of Error","Ringgold County, Iowa!!Estimate","Ringgold County, Iowa!!Margin of Error","Sac County, Iowa!!Estimate","Sac County, Iowa!!Margin of Error","Scott County, Iowa!!Estimate","Scott County, Iowa!!Margin of Error","Shelby County, Iowa!!Estimate","Shelby County, Iowa!!Margin of Error","Sioux County, Iowa!!Estimate","Sioux County, Iowa!!Margin of Error","Story County, Iowa!!Estimate","Story County, Iowa!!Margin of Error","Tama County, Iowa!!Estimate","Tama County, Iowa!!Margin of Error","Taylor County, Iowa!!Estimate","Taylor County, Iowa!!Margin of Error","Union County, Iowa!!Estimate","Union County, Iowa!!Margin of Error","Van Buren County, Iowa!!Estimate","Van Buren County, Iowa!!Margin of Error","Wapello County, Iowa!!Estimate","Wapello County, Iowa!!Margin of Error","Warren County, Iowa!!Estimate","Warren County, Iowa!!Margin of Error","Washington County, Iowa!!Estimate","Washington County, Iowa!!Margin of Error","Wayne County, Iowa!!Estimate","Wayne County, Iowa!!Margin of Error","Webster County, Iowa!!Estimate","Webster County, Iowa!!Margin of Error","Winnebago County, Iowa!!Estimate","Winnebago County, Iowa!!Margin of Error","Winneshiek County, Iowa!!Estimate","Winneshiek County, Iowa!!Margin of Error","Woodbury County, Iowa!!Estimate","Woodbury County, Iowa!!Margin of Error","Worth County, Iowa!!Estimate","Worth County, Iowa!!Margin of Error","Wright County, Iowa!!Estimate","Wright County, Iowa!!Margin of Error"
"Total:","115","±16","11","±10","257","±49","100","±93","28","±31","107","±42","12,135","±599","307","±91","289","±69","124","±85","679","±80","24","±25","158","±52","139","±98","118","±22","79","±53","987","±235","202","±135","64","±38","5","±11","45","±48","112","±66","1,434","±247","152","±107","3,189","±394","0","±15","102","±38","13","±20","1,830","±282","6","±5","2,932","±339","152","±61","153","±59","211","±58","67","±65","39","±33","10","±15","71","±31","60","±44","144","±45","48","±40","180","±67","18","±18","510","±76","79","±47","32","±30","23","±27","54","±40","189","±110","583","±131","399","±64","12,059","±589","514","±56","26","±19","104","±54","815","±142","13,735","±865","110","±74","25","±14","43","±25","149","±56","293","±83","141","±68","824","±295","59","±50","37","±32","21","±25","90","±62","184","±101","958","±252","240","±48","29","±40","259","±80","145","±30","615","±64","91","±62","37,401","±1,278","1,810","±401","193","±67","18","±37","49","±57","12,617","±675","37","±51","214","±48","2,796","±264","207","±75","10","±10","196","±131","31","±13","1,068","±239","405","±110","236","±93","12","±17","1,201","±225","237","±94","81","±50","5,255","±441","59","±40","56","±73"
"    Male:","66","±26","7","±8","113","±32","62","±74","28","±31","80","±36","5,805","±319","218","±78","174","±34","78","±48","234","±130","16","±21","133","±52","88","±79","96","±17","63","±42","556","±158","170","±109","63","±39","5","±11","7","±9","58","±43","731","±166","130","±114","1,957","±270","0","±15","71","±34","13","±20","824","±194","4","±3","1,608","±181","90","±43","127","±57","105","±54","50","±41","15","±19","10","±15","9","±13","37","±30","95","±44","36","±29","154","±65","18","±18","467","±72","51","±32","24","±25","23","±27","54","±40","116","±103","536","±103","277","±81","6,546","±341","419","±82","21","±15","50","±33","534","±97","7,275","±568","49","±33","25","±14","22","±14","98","±44","276","±81","85","±65","490","±161","38","±56","35","±32","21","±25","28","±28","184","±101","536","±197","135","±54","29","±40","223","±78","128","±40","243","±72","47","±31","19,696","±703","896","±142","63","±41","1","±3","6","±22","5,850","±462","7","±9","155","±43","1,603","±227","76","±31","10","±10","157","±125","18","±9","753","±178","335","±101","153","±57","11","±17","767","±163","209","±79","74","±50","2,879","±360","33","±23","16","±21"
"        Under 18 years:","21","±24","0","±10","44","±19","0","±16","13","±22","2","±5","1,787","±270","113","±35","10","±12","28","±25","41","±43","0","±16","4","±6","29","±37","21","±19","25","±23","209","±108","41","±50","47","±31","0","±15","2","±5","9","±15","242","±135","5","±9","748","±163","0","±15","0","±15","2","±4","275","±96","0","±16","539","±159","0","±15","0","±16","11","±14","0","±15","3","±5","0","±15","3","±4","19","±17","0","±16","6","±7","52","±41","0","±16","46","±48","47","±32","0","±15","0","±15","0","±16","0","±16","28","±51","39","±34","2,105","±218","15","±21","8","±8","8","±11","77","±64","2,181","±381","0","±16","0","±15","7","±10","66","±41","15","±26","0","±22","92","±90","0","±16","0","±16","7","±10","20","±15","99","±92","134","±111","48","±40","0","±15","35","±43","18","±23","106","±31","12","±14","6,848","±454","145","±85","1","±3","0","±10","0","±15","1,994","±295","0","±16","43","±27","326","±101","11","±16","0","±15","103","±75","8","±3","191","±87","14","±21","54","±45","8","±11","76","±92","0","±16","11","±16","965","±262","8","±8","13","±20"
"            Native","11","±13","0","±10","44","±19","0","±16","13","±22","2","±5","1,452","±312","39","±63","10","±12","7","±10","41","±43","0","±16","4","±6","29","±37","21","±19","4","±6","195","±105","0","±16","47","±31","0","±15","2","±5","2","±4","242","±135","5","±9","685","±169","0","±15","0","±15","2","±4","275","±96","0","±16","538","±158","0","±15","0","±16","11","±14","0","±15","3","±5","0","±15","3","±4","19","±17","0","±16","6","±7","45","±39","0","±16","46","±48","0","±15","0","±15","0","±15","0","±16","0","±16","28","±51","39","±34","1,685","±247","15","±21","8","±8","8","±11","77","±64","1,832","±353","0","±16","0","±15","7","±10","66","±41","15","±26","0","±22","71","±88","0","±16","0","±16","0","±15","20","±15","99","±92","83","±83","48","±40","0","±15","35","±43","18","±23","63","±58","12","±14","5,820","±518","144","±86","1","±3","0","±10","0","±15","1,982","±295","0","±16","41","±27","304","±90","0","±16","0","±15","103","±75","8","±3","182","±91","14","±21","54","±45","8","±11","76","±92","0","±16","0","±16","728","±246","8","±8","13","±20"
"            Foreign-born:","10","±12","0","±10","0","±16","0","±16","0","±15","0","±19","335","±181","74","±49","0","±19","21","±25","0","±19","0","±16","0","±15","0","±19","0","±16","21","±23","14","±23","41","±50","0","±16","0","±15","0","±16","7","±14","0","±22","0","±16","63","±55","0","±15","0","±15","0","±16","0","±22","0","±16","1","±2","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","7","±16","0","±16","0","±19","47","±32","0","±15","0","±15","0","±16","0","±16","0","±22","0","±16","420","±186","0","±19","0","±15","0","±16","0","±22","349","±170","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","21","±34","0","±16","0","±16","7","±10","0","±15","0","±16","51","±52","0","±16","0","±15","0","±16","0","±15","43","±37","0","±15","1,028","±284","1","±3","0","±16","0","±10","0","±15","12","±15","0","±16","2","±4","22","±33","11","±16","0","±15","0","±16","0","±15","9","±15","0","±24","0","±19","0","±15","0","±22","0","±16","11","±16","237","±169","0","±15","0","±16"
"                Naturalized U.S. citizen","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","16","±27","74","±49","0","±19","0","±19","0","±19","0","±16","0","±15","0","±19","0","±16","21","±23","14","±23","0","±16","0","±16","0","±15","0","±16","7","±14","0","±22","0","±16","0","±24","0","±15","0","±15","0","±16","0","±22","0","±16","0","±24","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","7","±16","0","±16","0","±19","47","±32","0","±15","0","±15","0","±16","0","±16","0","±22","0","±16","306","±154","0","±19","0","±15","0","±16","0","±22","133","±107","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","0","±22","0","±16","0","±16","7","±10","0","±15","0","±16","14","±30","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","139","±85","1","±3","0","±16","0","±10","0","±15","7","±13","0","±16","0","±22","0","±24","11","±16","0","±15","0","±16","0","±15","0","±22","0","±24","0","±19","0","±15","0","±22","0","±16","11","±16","37","±64","0","±15","0","±16"
"                Not a U.S. citizen","10","±12","0","±10","0","±16","0","±16","0","±15","0","±19","319","±182","0","±19","0","±19","21","±25","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","0","±22","41","±50","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","63","±55","0","±15","0","±15","0","±16","0","±22","0","±16","1","±2","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","0","±16","0","±16","0","±19","0","±15","0","±15","0","±15","0","±16","0","±16","0","±22","0","±16","114","±89","0","±19","0","±15","0","±16","0","±22","216","±115","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","21","±34","0","±16","0","±16","0","±15","0","±15","0","±16","37","±43","0","±16","0","±15","0","±16","0","±15","43","±37","0","±15","889","±279","0","±24","0","±16","0","±10","0","±15","5","±9","0","±16","2","±4","22","±33","0","±16","0","±15","0","±16","0","±15","9","±15","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","200","±168","0","±15","0","±16"
"        18 years and over:","45","±41","7","±8","69","±37","62","±74","15","±23","78","±35","4,018","±137","105","±58","164","±31","50","±27","193","±111","16","±21","129","±50","59","±54","75","±28","38","±29","347","±83","129","±87","16","±21","5","±11","5","±7","49","±37","489","±80","125","±116","1,209","±207","0","±15","71","±34","11","±21","549","±170","4","±3","1,069","±102","90","±43","127","±57","94","±51","50","±41","12","±17","10","±15","6","±12","18","±18","95","±44","30","±29","102","±50","18","±18","421","±54","4","±6","24","±25","23","±27","54","±40","116","±103","508","±79","238","±82","4,441","±217","404","±93","13","±12","42","±30","457","±58","5,094","±291","49","±33","25","±14","15","±12","32","±25","261","±75","85","±65","398","±139","38","±56","35","±32","14","±25","8","±26","85","±36","402","±142","87","±29","29","±40","188","±63","110","±56","137","±59","35","±25","12,848","±530","751","±99","62","±41","1","±3","6","±22","3,856","±287","7","±9","112","±45","1,277","±192","65","±29","10","±10","54","±60","10","±9","562","±145","321","±99","99","±30","3","±6","691","±117","209","±79","63","±49","1,914","±222","25","±18","3","±7"
"            Native","37","±39","3","±5","24","±24","52","±75","15","±23","72","±36","3,499","±202","105","±58","117","±54","18","±15","127","±97","16","±21","125","±50","58","±54","68","±24","25","±25","316","±90","98","±86","16","±21","5","±11","5","±7","35","±40","421","±105","125","±116","585","±189","0","±15","53","±35","11","±21","532","±169","4","±3","967","±112","90","±43","54","±43","57","±47","50","±41","7","±16","10","±15","6","±12","18","±18","75","±53","20","±22","102","±50","18","±18","421","±54","4","±6","19","±23","23","±27","54","±40","116","±103","474","±93","25","±33","2,467","±298","382","±93","12","±11","42","±30","422","±62","2,963","±377","26","±25","25","±14","15","±12","32","±25","185","±45","85","±65","156","±77","38","±56","13","±17","14","±25","8","±26","65","±38","238","±102","10","±20","29","±40","188","±63","31","±37","8","±11","27","±19","7,934","±681","728","±98","44","±43","1","±3","6","±22","3,481","±334","7","±9","100","±46","986","±248","40","±30","10","±10","54","±60","10","±9","154","±70","314","±100","61","±36","3","±6","596","±114","55","±37","57","±48","1,322","±226","25","±18","3","±7"
"            Foreign-born:","8","±10","4","±6","45","±30","10","±15","0","±15","6","±9","519","±178","0","±19","47","±52","32","±26","66","±59","0","±16","4","±9","1","±2","7","±20","13","±18","31","±32","31","±35","0","±16","0","±15","0","±16","14","±15","68","±86","0","±16","624","±174","0","±15","18","±16","0","±16","17","±21","0","±16","102","±60","0","±15","73","±68","37","±49","0","±15","5","±7","0","±15","0","±16","0","±16","20","±31","10","±17","0","±16","0","±16","0","±19","0","±15","5","±8","0","±15","0","±16","0","±16","34","±44","213","±70","1,974","±337","22","±26","1","±3","0","±16","35","±28","2,131","±376","23","±31","0","±15","0","±16","0","±16","76","±71","0","±22","242","±156","0","±16","22","±29","0","±15","0","±15","20","±32","164","±120","77","±29","0","±15","0","±16","79","±67","129","±61","8","±15","4,914","±633","23","±17","18","±20","0","±10","0","±15","375","±205","0","±16","12","±14","291","±119","25","±23","0","±15","0","±16","0","±15","408","±153","7","±12","38","±28","0","±15","95","±84","154","±84","6","±11","592","±265","0","±15","0","±16"
