"Label (Grouping)","Adair County, Iowa!!Estimate","Adair County, Iowa!!Margin of Error","Adams County, Iowa!!Estimate","Adams County, Iowa!!Margin of Error","Allamakee County, Iowa!!Estimate","Allamakee County, Iowa!!Margin of Error","Appanoose County, Iowa!!Estimate","Appanoose County, Iowa!!Margin of Error","Audubon County, Iowa!!Estimate","Audubon County, Iowa!!Margin of Error","Benton County, Iowa!!Estimate","Benton County, Iowa!!Margin of Error","Black Hawk County, Iowa!!Estimate","Black Hawk County, Iowa!!Margin of Error","Boone County, Iowa!!Estimate","Boone County, Iowa!!Margin of Error","Bremer County, Iowa!!Estimate","Bremer County, Iowa!!Margin of Error","Buchanan County, Iowa!!Estimate","Buchanan County, Iowa!!Margin of Error","Buena Vista County, Iowa!!Estimate","Buena Vista County, Iowa!!Margin of Error","Butler County, Iowa!!Estimate","Butler County, Iowa!!Margin of Error","Calhoun County, Iowa!!Estimate","Calhoun County, Iowa!!Margin of Error","Carroll County, Iowa!!Estimate","Carroll County, Iowa!!Margin of Error","Cass County, Iowa!!Estimate","Cass County, Iowa!!Margin of Error","Cedar County, Iowa!!Estimate","Cedar County, Iowa!!Margin of Error","Cerro Gordo County, Iowa!!Estimate","Cerro Gordo County, Iowa!!Margin of Error","Cherokee County, Iowa!!Estimate","Cherokee County, Iowa!!Margin of Error","Chickasaw County, Iowa!!Estimate","Chickasaw County, Iowa!!Margin of Error","Clarke County, Iowa!!Estimate","Clarke County, Iowa!!Margin of Error","Clay County, Iowa!!Estimate","Clay County, Iowa!!Margin of Error","Clayton County, Iowa!!Estimate","Clayton County, Iowa!!Margin of Error","Clinton County, Iowa!!Estimate","Clinton County, Iowa!!Margin of Error","Crawford County, Iowa!!Estimate","Crawford County, Iowa!!Margin of Error","Dallas County, Iowa!!Estimate","Dallas County, Iowa!!Margin of Error","Davis County, Iowa!!Estimate","Davis County, Iowa!!Margin of Error","Decatur County, Iowa!!Estimate","Decatur County, Iowa!!Margin of Error","Delaware County, Iowa!!Estimate","Delaware County, Iowa!!Margin of Error","Des Moines County, Iowa!!Estimate","Des Moines County, Iowa!!Margin of Error","Dickinson County, Iowa!!Estimate","Dickinson County, Iowa!!Margin of Error","Dubuque County, Iowa!!Estimate","Dubuque County, Iowa!!Margin of Error","Emmet County, Iowa!!Estimate","Emmet County, Iowa!!Margin of Error","Fayette County, Iowa!!Estimate","Fayette County, Iowa!!Margin of Error","Floyd County, Iowa!!Estimate","Floyd County, Iowa!!Margin of Error","Franklin County, Iowa!!Estimate","Franklin County, Iowa!!Margin of Error","Fremont County, Iowa!!Estimate","Fremont County, Iowa!!Margin of Error","Greene County, Iowa!!Estimate","Greene County, Iowa!!Margin of Error","Grundy County, Iowa!!Estimate","Grundy County, Iowa!!Margin of Error","Guthrie County, Iowa!!Estimate","Guthrie County, Iowa!!Margin of Error","Hamilton County, Iowa!!Estimate","Hamilton County, Iowa!!Margin of Error","Hancock County, Iowa!!Estimate","Hancock County, Iowa!!Margin of Error","Hardin County, Iowa!!Estimate","Hardin County, Iowa!!Margin of Error","Harrison County, Iowa!!Estimate","Harrison County, Iowa!!Margin of Error","Henry County, Iowa!!Estimate","Henry County, Iowa!!Margin of Error","Howard County, Iowa!!Estimate","Howard County, Iowa!!Margin of Error","Humboldt County, Iowa!!Estimate","Humboldt County, Iowa!!Margin of Error","Ida County, Iowa!!Estimate","Ida County, Iowa!!Margin of Error","Iowa County, Iowa!!Estimate","Iowa County, Iowa!!Margin of Error","Jackson County, Iowa!!Estimate","Jackson County, Iowa!!Margin of Error","Jasper County, Iowa!!Estimate","Jasper County, Iowa!!Margin of Error","Jefferson County, Iowa!!Estimate","Jefferson County, Iowa!!Margin of Error","Johnson County, Iowa!!Estimate","Johnson County, Iowa!!Margin of Error","Jones County, Iowa!!Estimate","Jones County, Iowa!!Margin of Error","Keokuk County, Iowa!!Estimate","Keokuk County, Iowa!!Margin of Error","Kossuth County, Iowa!!Estimate","Kossuth County, Iowa!!Margin of Error","Lee County, Iowa!!Estimate","Lee County, Iowa!!Margin of Error","Linn County, Iowa!!Estimate","Linn County, Iowa!!Margin of Error","Louisa County, Iowa!!Estimate","Louisa County, Iowa!!Margin of Error","Lucas County, Iowa!!Estimate","Lucas County, Iowa!!Margin of Error","Lyon County, Iowa!!Estimate","Lyon County, Iowa!!Margin of Error","Madison County, Iowa!!Estimate","Madison County, Iowa!!Margin of Error","Mahaska County, Iowa!!Estimate","Mahaska County, Iowa!!Margin of Error","Marion County, Iowa!!Estimate","Marion County, Iowa!!Margin of Error","Marshall County, Iowa!!Estimate","Marshall County, Iowa!!Margin of Error","Mills County, Iowa!!Estimate","Mills County, Iowa!!Margin of Error","Mitchell County, Iowa!!Estimate","Mitchell County, Iowa!!Margin of Error","Monona County, Iowa!!Estimate","Monona County, Iowa!!Margin of Error","Monroe County, Iowa!!Estimate","Monroe County, Iowa!!Margin of Error","Montgomery County, Iowa!!Estimate","Montgomery County, Iowa!!Margin of Error","Muscatine County, Iowa!!Estimate","Muscatine County, Iowa!!Margin of Error","O'Brien County, Iowa!!Estimate","O'Brien County, Iowa!!Margin of Error","Osceola County, Iowa!!Estimate","Osceola County, Iowa!!Margin of Error","Page County, Iowa!!Estimate","Page County, Iowa!!Margin of Error","Palo Alto County, Iowa!!Estimate","Palo Alto County, Iowa!!Margin of Error","Plymouth County, Iowa!!Estimate","Plymouth County, Iowa!!Margin of Error","Pocahontas County, Iowa!!Estimate","Pocahontas County, Iowa!!Margin of Error","Polk County, Iowa!!Estimate","Polk County, Iowa!!Margin of Error","Pottawattamie County, Iowa!!Estimate","Pottawattamie County, Iowa!!Margin of Error","Poweshiek County, Iowa!!Estimate","Poweshiek County, Iowa!!Margin of Error","Ringgold County, Iowa!!Estimate","Ringgold County, Iowa!!Margin of Error","Sac County, Iowa!!Estimate","Sac County, Iowa!!Margin of Error","Scott County, Iowa!!Estimate","Scott County, Iowa!!Margin of Error","Shelby County, Iowa!!Estimate","Shelby County, Iowa!!Margin of Error","Sioux County, Iowa!!Estimate","Sioux County, Iowa!!Margin of Error","Story County, Iowa!!Estimate","Story County, Iowa!!Margin of Error","Tama County, Iowa!!Estimate","Tama County, Iowa!!Margin of Error","Taylor County, Iowa!!Estimate","Taylor County, Iowa!!Margin of Error","Union County, Iowa!!Estimate","Union County, Iowa!!Margin of Error","Van Buren County, Iowa!!Estimate","Van Buren County, Iowa!!Margin of Error","Wapello County, Iowa!!Estimate","Wapello County, Iowa!!Margin of Error","Warren County, Iowa!!Estimate","Warren County, Iowa!!Margin of Error","Washington County, Iowa!!Estimate","Washington County, Iowa!!Margin of Error","Wayne County, Iowa!!Estimate","Wayne County, Iowa!!Margin of Error","Webster County, Iowa!!Estimate","Webster County, Iowa!!Margin of Error","Winnebago County, Iowa!!Estimate","Winnebago County, Iowa!!Margin of Error","Winneshiek County, Iowa!!Estimate","Winneshiek County, Iowa!!Margin of Error","Woodbury County, Iowa!!Estimate","Woodbury County, Iowa!!Margin of Error","Worth County, Iowa!!Estimate","Worth County, Iowa!!Margin of Error","Wright County, Iowa!!Estimate","Wright County, Iowa!!Margin of Error"
"Total:","13","±25","8","±15","124","±115","3","±7","10","±14","26","±27","382","±226","11","±10","12","±14","58","±54","85","±76","7","±8","17","±15","22","±23","43","±50","13","±15","77","±48","0","±16","46","±47","97","±155","26","±27","10","±9","126","±86","117","±105","186","±136","15","±22","16","±16","188","±123","126","±93","10","±18","39","±29","6","±11","69","±47","8","±10","29","±30","5","±7","23","±25","58","±40","15","±11","49","±34","11","±16","152","±85","9","±15","106","±87","23","±16","16","±19","32","±42","15","±16","13","±19","32","±22","123","±138","273","±107","17","±15","9","±10","19","±20","35","±29","507","±221","67","±51","1","±2","19","±20","16","±25","18","±23","12","±12","506","±334","16","±17","34","±38","40","±41","11","±18","6","±7","136","±89","55","±55","65","±53","83","±43","21","±22","110","±52","17","±14","1,562","±557","253","±112","56","±44","16","±22","8","±10","332","±102","101","±60","130","±112","465","±214","1,029","±102","18","±28","16","±25","4","±6","155","±135","154","±126","2","±4","8","±11","96","±84","22","±31","73","±77","1,899","±286","12","±9","70","±70"
"    Male:","0","±15","4","±10","52","±52","3","±7","10","±14","24","±27","128","±97","0","±19","3","±4","45","±40","59","±56","0","±16","17","±15","22","±23","22","±40","1","±2","35","±33","0","±16","14","±18","57","±95","3","±4","2","±3","93","±80","83","±90","142","±100","15","±22","13","±16","97","±65","52","±45","4","±6","27","±23","0","±15","22","±27","2","±3","17","±24","2","±5","20","±24","6","±10","12","±11","26","±19","11","±16","127","±76","7","±12","62","±66","9","±12","7","±12","26","±35","10","±13","1","±3","26","±22","58","±63","116","±63","11","±14","9","±10","9","±13","7","±7","294","±181","41","±36","0","±15","17","±19","8","±13","13","±22","12","±12","247","±157","10","±15","17","±28","15","±19","10","±18","5","±6","60","±42","9","±12","64","±52","41","±38","5","±7","78","±41","17","±14","605","±194","141","±75","18","±16","16","±22","8","±10","119","±50","87","±55","90","±85","184","±105","478","±67","18","±28","0","±16","2","±3","106","±97","123","±108","0","±19","0","±15","47","±41","3","±5","25","±54","969","±172","5","±6","70","±70"
"        Under 18 years:","0","±15","1","±3","23","±34","0","±16","2","±4","6","±8","42","±48","0","±19","0","±19","27","±30","3","±6","0","±16","0","±15","0","±19","0","±16","0","±16","23","±33","0","±16","0","±16","0","±15","0","±16","1","±2","82","±81","0","±16","39","±48","0","±15","0","±15","37","±28","1","±4","0","±16","9","±11","0","±15","0","±16","0","±16","1","±5","0","±15","2","±4","0","±16","0","±16","10","±12","0","±16","60","±54","5","±11","0","±19","9","±12","3","±4","13","±19","0","±16","0","±16","0","±22","30","±37","17","±21","0","±19","0","±15","0","±16","1","±6","120","±108","4","±6","0","±15","0","±16","0","±16","0","±19","3","±7","138","±113","0","±16","0","±16","0","±15","0","±15","0","±16","16","±16","0","±16","0","±15","11","±21","0","±15","7","±12","3","±5","136","±66","20","±29","5","±8","0","±10","0","±15","6","±9","16","±16","4","±7","22","±37","130","±42","0","±15","0","±16","0","±15","0","±22","81","±72","0","±19","0","±15","25","±20","0","±16","15","±37","268","±97","0","±15","22","±33"
"            Native","0","±15","1","±3","23","±34","0","±16","2","±4","6","±8","42","±48","0","±19","0","±19","27","±30","3","±6","0","±16","0","±15","0","±19","0","±16","0","±16","18","±27","0","±16","0","±16","0","±15","0","±16","1","±2","82","±81","0","±16","39","±48","0","±15","0","±15","37","±28","1","±4","0","±16","9","±11","0","±15","0","±16","0","±16","1","±5","0","±15","2","±4","0","±16","0","±16","10","±12","0","±16","39","±37","5","±11","0","±19","0","±15","2","±3","0","±15","0","±16","0","±16","0","±22","30","±37","17","±21","0","±19","0","±15","0","±16","1","±6","120","±108","4","±6","0","±15","0","±16","0","±16","0","±19","3","±7","138","±113","0","±16","0","±16","0","±15","0","±15","0","±16","16","±16","0","±16","0","±15","11","±21","0","±15","7","±12","3","±5","121","±68","20","±29","5","±8","0","±10","0","±15","6","±9","0","±16","4","±7","22","±37","130","±42","0","±15","0","±16","0","±15","0","±22","81","±72","0","±19","0","±15","25","±20","0","±16","15","±37","268","±97","0","±15","22","±33"
"            Foreign-born:","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","0","±24","0","±19","0","±19","0","±19","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","5","±14","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","0","±24","0","±15","0","±15","0","±16","0","±22","0","±16","0","±24","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","21","±29","0","±16","0","±19","9","±12","1","±2","13","±19","0","±16","0","±16","0","±22","0","±16","0","±24","0","±19","0","±15","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","0","±22","0","±16","0","±16","0","±15","0","±15","0","±16","0","±22","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","15","±24","0","±24","0","±16","0","±10","0","±15","0","±24","16","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±15","0","±22","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","0","±24","0","±15","0","±16"
"                Naturalized U.S. citizen","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","0","±24","0","±19","0","±19","0","±19","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","5","±14","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","0","±24","0","±15","0","±15","0","±16","0","±22","0","±16","0","±24","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","0","±16","0","±16","0","±19","9","±12","1","±2","0","±15","0","±16","0","±16","0","±22","0","±16","0","±24","0","±19","0","±15","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","0","±22","0","±16","0","±16","0","±15","0","±15","0","±16","0","±22","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","15","±24","0","±24","0","±16","0","±10","0","±15","0","±24","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±15","0","±22","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","0","±24","0","±15","0","±16"
"                Not a U.S. citizen","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","0","±24","0","±19","0","±19","0","±19","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","0","±22","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","0","±24","0","±15","0","±15","0","±16","0","±22","0","±16","0","±24","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","21","±29","0","±16","0","±19","0","±15","0","±15","13","±19","0","±16","0","±16","0","±22","0","±16","0","±24","0","±19","0","±15","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","0","±22","0","±16","0","±16","0","±15","0","±15","0","±16","0","±22","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","0","±24","0","±24","0","±16","0","±10","0","±15","0","±24","16","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±15","0","±22","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","0","±24","0","±15","0","±16"
"        18 years and over:","0","±15","3","±7","29","±27","3","±7","8","±12","18","±27","86","±59","0","±19","3","±4","18","±15","56","±55","0","±16","17","±15","22","±23","22","±40","1","±2","12","±18","0","±16","14","±18","57","±95","3","±4","1","±2","11","±17","83","±90","103","±68","15","±22","13","±16","60","±42","51","±46","4","±6","18","±19","0","±15","22","±27","2","±3","16","±23","2","±5","18","±23","6","±10","12","±11","16","±15","11","±16","67","±46","2","±3","62","±66","0","±15","4","±10","13","±17","10","±13","1","±3","26","±22","28","±36","99","±61","11","±14","9","±10","9","±13","6","±7","174","±141","37","±34","0","±15","17","±19","8","±13","13","±22","9","±10","109","±70","10","±15","17","±28","15","±19","10","±18","5","±6","44","±37","9","±12","64","±52","30","±32","5","±7","71","±40","14","±13","469","±156","121","±66","13","±16","16","±22","8","±10","113","±49","71","±52","86","±85","162","±78","348","±45","18","±28","0","±16","2","±3","106","±97","42","±39","0","±19","0","±15","22","±25","3","±5","10","±18","701","±134","5","±6","48","±42"
"            Native","0","±15","3","±7","4","±6","3","±7","0","±15","18","±27","42","±29","0","±19","3","±4","18","±15","15","±23","0","±16","17","±15","22","±23","22","±40","1","±2","12","±18","0","±16","14","±18","0","±15","3","±4","1","±2","11","±17","38","±53","53","±55","0","±15","13","±16","7","±10","39","±39","4","±6","15","±19","0","±15","22","±27","2","±3","3","±4","2","±5","18","±23","6","±10","12","±11","0","±16","11","±16","30","±31","2","±3","37","±45","0","±15","0","±15","1","±4","10","±13","1","±3","26","±22","28","±36","94","±60","11","±14","2","±4","9","±13","6","±7","165","±138","20","±28","0","±15","11","±15","0","±16","13","±22","9","±10","57","±29","10","±15","17","±28","15","±19","10","±18","5","±6","21","±27","4","±10","64","±52","30","±32","0","±15","48","±28","2","±4","274","±104","94","±55","13","±16","16","±22","8","±10","104","±49","57","±56","31","±25","73","±43","348","±45","18","±28","0","±16","2","±3","7","±14","40","±39","0","±19","0","±15","6","±10","3","±5","10","±18","590","±91","5","±6","8","±12"
"            Foreign-born:","0","±15","0","±10","25","±26","0","±16","8","±12","0","±19","44","±51","0","±19","0","±19","0","±19","41","±49","0","±16","0","±15","0","±19","0","±16","0","±16","0","±22","0","±16","0","±16","57","±95","0","±16","0","±16","0","±22","45","±45","50","±47","15","±22","0","±15","53","±41","12","±20","0","±16","3","±5","0","±15","0","±16","0","±16","13","±23","0","±15","0","±15","0","±16","0","±16","16","±15","0","±16","37","±33","0","±16","25","±45","0","±15","4","±10","12","±16","0","±16","0","±16","0","±22","0","±16","5","±10","0","±19","7","±9","0","±16","0","±22","9","±14","17","±17","0","±15","6","±10","8","±13","0","±19","0","±22","52","±51","0","±16","0","±16","0","±15","0","±15","0","±16","23","±31","5","±6","0","±15","0","±16","5","±7","23","±24","12","±13","195","±97","27","±44","0","±16","0","±10","0","±15","9","±14","14","±16","55","±81","89","±70","0","±16","0","±15","0","±16","0","±15","99","±98","2","±4","0","±19","0","±15","16","±25","0","±16","0","±16","111","±93","0","±15","40","±42"
