"Label (Grouping)","Adair County, Iowa!!Estimate","Adair County, Iowa!!Margin of Error","Adams County, Iowa!!Estimate","Adams County, Iowa!!Margin of Error","Allamakee County, Iowa!!Estimate","Allamakee County, Iowa!!Margin of Error","Appanoose County, Iowa!!Estimate","Appanoose County, Iowa!!Margin of Error","Audubon County, Iowa!!Estimate","Audubon County, Iowa!!Margin of Error","Benton County, Iowa!!Estimate","Benton County, Iowa!!Margin of Error","Black Hawk County, Iowa!!Estimate","Black Hawk County, Iowa!!Margin of Error","Boone County, Iowa!!Estimate","Boone County, Iowa!!Margin of Error","Bremer County, Iowa!!Estimate","Bremer County, Iowa!!Margin of Error","Buchanan County, Iowa!!Estimate","Buchanan County, Iowa!!Margin of Error","Buena Vista County, Iowa!!Estimate","Buena Vista County, Iowa!!Margin of Error","Butler County, Iowa!!Estimate","Butler County, Iowa!!Margin of Error","Calhoun County, Iowa!!Estimate","Calhoun County, Iowa!!Margin of Error","Carroll County, Iowa!!Estimate","Carroll County, Iowa!!Margin of Error","Cass County, Iowa!!Estimate","Cass County, Iowa!!Margin of Error","Cedar County, Iowa!!Estimate","Cedar County, Iowa!!Margin of Error","Cerro Gordo County, Iowa!!Estimate","Cerro Gordo County, Iowa!!Margin of Error","Cherokee County, Iowa!!Estimate","Cherokee County, Iowa!!Margin of Error","Chickasaw County, Iowa!!Estimate","Chickasaw County, Iowa!!Margin of Error","Clarke County, Iowa!!Estimate","Clarke County, Iowa!!Margin of Error","Clay County, Iowa!!Estimate","Clay County, Iowa!!Margin of Error","Clayton County, Iowa!!Estimate","Clayton County, Iowa!!Margin of Error","Clinton County, Iowa!!Estimate","Clinton County, Iowa!!Margin of Error","Crawford County, Iowa!!Estimate","Crawford County, Iowa!!Margin of Error","Dallas County, Iowa!!Estimate","Dallas County, Iowa!!Margin of Error","Davis County, Iowa!!Estimate","Davis County, Iowa!!Margin of Error","Decatur County, Iowa!!Estimate","Decatur County, Iowa!!Margin of Error","Delaware County, Iowa!!Estimate","Delaware County, Iowa!!Margin of Error","Des Moines County, Iowa!!Estimate","Des Moines County, Iowa!!Margin of Error","Dickinson County, Iowa!!Estimate","Dickinson County, Iowa!!Margin of Error","Dubuque County, Iowa!!Estimate","Dubuque County, Iowa!!Margin of Error","Emmet County, Iowa!!Estimate","Emmet County, Iowa!!Margin of Error","Fayette County, Iowa!!Estimate","Fayette County, Iowa!!Margin of Error","Floyd County, Iowa!!Estimate","Floyd County, Iowa!!Margin of Error","Franklin County, Iowa!!Estimate","Franklin County, Iowa!!Margin of Error","Fremont County, Iowa!!Estimate","Fremont County, Iowa!!Margin of Error","Greene County, Iowa!!Estimate","Greene County, Iowa!!Margin of Error","Grundy County, Iowa!!Estimate","Grundy County, Iowa!!Margin of Error","Guthrie County, Iowa!!Estimate","Guthrie County, Iowa!!Margin of Error","Hamilton County, Iowa!!Estimate","Hamilton County, Iowa!!Margin of Error","Hancock County, Iowa!!Estimate","Hancock County, Iowa!!Margin of Error","Hardin County, Iowa!!Estimate","Hardin County, Iowa!!Margin of Error","Harrison County, Iowa!!Estimate","Harrison County, Iowa!!Margin of Error","Henry County, Iowa!!Estimate","Henry County, Iowa!!Margin of Error","Howard County, Iowa!!Estimate","Howard County, Iowa!!Margin of Error","Humboldt County, Iowa!!Estimate","Humboldt County, Iowa!!Margin of Error","Ida County, Iowa!!Estimate","Ida County, Iowa!!Margin of Error","Iowa County, Iowa!!Estimate","Iowa County, Iowa!!Margin of Error","Jackson County, Iowa!!Estimate","Jackson County, Iowa!!Margin of Error","Jasper County, Iowa!!Estimate","Jasper County, Iowa!!Margin of Error","Jefferson County, Iowa!!Estimate","Jefferson County, Iowa!!Margin of Error","Johnson County, Iowa!!Estimate","Johnson County, Iowa!!Margin of Error","Jones County, Iowa!!Estimate","Jones County, Iowa!!Margin of Error","Keokuk County, Iowa!!Estimate","Keokuk County, Iowa!!Margin of Error","Kossuth County, Iowa!!Estimate","Kossuth County, Iowa!!Margin of Error","Lee County, Iowa!!Estimate","Lee County, Iowa!!Margin of Error","Linn County, Iowa!!Estimate","Linn County, Iowa!!Margin of Error","Louisa County, Iowa!!Estimate","Louisa County, Iowa!!Margin of Error","Lucas County, Iowa!!Estimate","Lucas County, Iowa!!Margin of Error","Lyon County, Iowa!!Estimate","Lyon County, Iowa!!Margin of Error","Madison County, Iowa!!Estimate","Madison County, Iowa!!Margin of Error","Mahaska County, Iowa!!Estimate","Mahaska County, Iowa!!Margin of Error","Marion County, Iowa!!Estimate","Marion County, Iowa!!Margin of Error","Marshall County, Iowa!!Estimate","Marshall County, Iowa!!Margin of Error","Mills County, Iowa!!Estimate","Mills County, Iowa!!Margin of Error","Mitchell County, Iowa!!Estimate","Mitchell County, Iowa!!Margin of Error","Monona County, Iowa!!Estimate","Monona County, Iowa!!Margin of Error","Monroe County, Iowa!!Estimate","Monroe County, Iowa!!Margin of Error","Montgomery County, Iowa!!Estimate","Montgomery County, Iowa!!Margin of Error","Muscatine County, Iowa!!Estimate","Muscatine County, Iowa!!Margin of Error","O'Brien County, Iowa!!Estimate","O'Brien County, Iowa!!Margin of Error","Osceola County, Iowa!!Estimate","Osceola County, Iowa!!Margin of Error","Page County, Iowa!!Estimate","Page County, Iowa!!Margin of Error","Palo Alto County, Iowa!!Estimate","Palo Alto County, Iowa!!Margin of Error","Plymouth County, Iowa!!Estimate","Plymouth County, Iowa!!Margin of Error","Pocahontas County, Iowa!!Estimate","Pocahontas County, Iowa!!Margin of Error","Polk County, Iowa!!Estimate","Polk County, Iowa!!Margin of Error","Pottawattamie County, Iowa!!Estimate","Pottawattamie County, Iowa!!Margin of Error","Poweshiek County, Iowa!!Estimate","Poweshiek County, Iowa!!Margin of Error","Ringgold County, Iowa!!Estimate","Ringgold County, Iowa!!Margin of Error","Sac County, Iowa!!Estimate","Sac County, Iowa!!Margin of Error","Scott County, Iowa!!Estimate","Scott County, Iowa!!Margin of Error","Shelby County, Iowa!!Estimate","Shelby County, Iowa!!Margin of Error","Sioux County, Iowa!!Estimate","Sioux County, Iowa!!Margin of Error","Story County, Iowa!!Estimate","Story County, Iowa!!Margin of Error","Tama County, Iowa!!Estimate","Tama County, Iowa!!Margin of Error","Taylor County, Iowa!!Estimate","Taylor County, Iowa!!Margin of Error","Union County, Iowa!!Estimate","Union County, Iowa!!Margin of Error","Van Buren County, Iowa!!Estimate","Van Buren County, Iowa!!Margin of Error","Wapello County, Iowa!!Estimate","Wapello County, Iowa!!Margin of Error","Warren County, Iowa!!Estimate","Warren County, Iowa!!Margin of Error","Washington County, Iowa!!Estimate","Washington County, Iowa!!Margin of Error","Wayne County, Iowa!!Estimate","Wayne County, Iowa!!Margin of Error","Webster County, Iowa!!Estimate","Webster County, Iowa!!Margin of Error","Winnebago County, Iowa!!Estimate","Winnebago County, Iowa!!Margin of Error","Winneshiek County, Iowa!!Estimate","Winneshiek County, Iowa!!Margin of Error","Woodbury County, Iowa!!Estimate","Woodbury County, Iowa!!Margin of Error","Worth County, Iowa!!Estimate","Worth County, Iowa!!Margin of Error","Wright County, Iowa!!Estimate","Wright County, Iowa!!Margin of Error"
"Total:","23","±16","0","±10","57","±33","111","±39","3","±13","60","±33","3,565","±259","53","±24","226","±60","40","±24","1,982","±145","179","±34","22","±14","39","±46","68","±22","96","±59","499","±95","43","±55","2","±5","54","±35","124","±64","56","±23","310","±100","357","±61","5,263","±371","1","±3","56","±30","0","±16","464","±139","83","±56","1,354","±153","21","±22","177","±62","247","±25","36","±41","10","±14","55","±23","59","±10","50","±26","338","±101","133","±73","149","±34","43","±29","205","±110","31","±17","98","±76","46","±37","40","±42","22","±28","281","±76","1,285","±65","8,849","±488","128","±13","20","±16","60","±15","185","±71","5,504","±395","231","±79","73","±35","59","±26","76","±49","229","±83","473","±94","1,652","±167","82","±38","64","±9","0","±15","35","±25","109","±69","272","±114","92","±32","35","±19","99","±84","57","±32","135","±25","12","±18","25,053","±638","829","±153","380","±39","0","±10","63","±42","4,993","±303","56","±85","197","±76","6,641","±487","116","±22","9","±16","106","±73","3","±4","634","±212","407","±111","87","±64","6","±10","455","±79","140","±4","107","±45","2,513","±246","41","±48","60","±58"
"    Male:","4","±7","0","±10","34","±28","67","±49","3","±13","25","±15","1,732","±151","30","±19","89","±37","31","±28","1,181","±135","125","±54","8","±8","25","±40","28","±25","27","±19","256","±40","16","±19","0","±16","13","±19","73","±55","16","±6","69","±53","120","±54","2,617","±276","0","±15","15","±17","0","±16","183","±62","21","±31","625","±120","14","±19","78","±36","187","±35","25","±33","10","±14","18","±14","9","±13","10","±12","193","±92","38","±37","57","±21","8","±12","122","±56","11","±9","57","±57","15","±18","0","±16","18","±23","113","±50","727","±113","4,165","±341","111","±18","5","±7","0","±16","72","±47","2,710","±267","140","±50","40","±23","8","±11","34","±36","129","±43","265","±58","931","±131","26","±23","20","±12","0","±15","19","±12","39","±42","132","±65","37","±48","15","±16","46","±50","19","±24","73","±46","0","±15","12,476","±413","300","±92","181","±52","0","±10","49","±39","2,269","±219","39","±60","113","±65","3,829","±359","53","±25","9","±16","80","±79","0","±15","199","±137","223","±59","30","±30","0","±15","211","±47","102","±16","49","±43","1,272","±129","6","±11","1","±3"
"        Under 18 years:","1","±2","0","±10","2","±3","0","±16","3","±13","0","±19","440","±105","1","±3","16","±14","0","±19","491","±118","25","±34","0","±15","0","±19","18","±17","0","±16","5","±9","8","±9","0","±16","0","±15","0","±16","6","±6","0","±22","46","±10","722","±164","0","±15","0","±15","0","±16","78","±58","7","±14","118","±61","0","±15","0","±16","23","±22","17","±26","0","±15","11","±12","0","±16","0","±16","29","±26","0","±16","8","±7","8","±12","13","±20","6","±8","23","±31","0","±15","0","±16","3","±5","37","±17","107","±134","624","±215","14","±26","0","±15","0","±16","5","±8","682","±159","41","±22","11","±12","8","±11","0","±16","17","±22","69","±32","382","±96","4","±6","4","±6","0","±15","0","±15","25","±42","44","±32","0","±16","0","±15","18","±22","16","±24","0","±19","0","±15","3,124","±317","77","±48","12","±19","0","±10","9","±13","294","±150","17","±26","18","±20","409","±129","33","±21","0","±15","0","±16","0","±15","96","±113","77","±41","0","±19","0","±15","0","±22","21","±25","0","±16","129","±109","3","±9","0","±16"
"            Native","0","±15","0","±10","2","±3","0","±16","0","±15","0","±19","285","±115","1","±3","9","±10","0","±19","461","±109","25","±34","0","±15","0","±19","0","±16","0","±16","5","±9","8","±9","0","±16","0","±15","0","±16","6","±6","0","±22","46","±10","433","±172","0","±15","0","±15","0","±16","45","±46","7","±14","62","±51","0","±15","0","±16","23","±22","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","6","±6","0","±16","13","±20","6","±8","23","±31","0","±15","0","±16","3","±5","37","±17","0","±16","557","±198","14","±26","0","±15","0","±16","5","±8","443","±149","41","±22","11","±12","4","±6","0","±16","0","±19","54","±36","243","±116","0","±16","1","±3","0","±15","0","±15","25","±42","17","±19","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","2,221","±367","76","±48","12","±19","0","±10","9","±13","227","±148","17","±26","10","±13","327","±109","24","±22","0","±15","0","±16","0","±15","96","±113","67","±38","0","±19","0","±15","0","±22","11","±13","0","±16","108","±103","0","±15","0","±16"
"            Foreign-born:","1","±2","0","±10","0","±16","0","±16","3","±13","0","±19","155","±95","0","±19","7","±15","0","±19","30","±53","0","±16","0","±15","0","±19","18","±17","0","±16","0","±22","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","289","±176","0","±15","0","±15","0","±16","33","±50","0","±16","56","±60","0","±15","0","±16","0","±16","17","±26","0","±15","11","±12","0","±16","0","±16","29","±26","0","±16","2","±4","8","±12","0","±19","0","±15","0","±15","0","±15","0","±16","0","±16","0","±22","107","±134","67","±61","0","±19","0","±15","0","±16","0","±22","239","±128","0","±16","0","±15","4","±8","0","±16","17","±22","15","±19","139","±109","4","±6","3","±6","0","±15","0","±15","0","±16","27","±22","0","±16","0","±15","18","±22","16","±24","0","±19","0","±15","903","±219","1","±2","0","±16","0","±10","0","±15","67","±53","0","±16","8","±15","82","±59","9","±12","0","±15","0","±16","0","±15","0","±22","10","±13","0","±19","0","±15","0","±22","10","±12","0","±16","21","±27","3","±9","0","±16"
"                Naturalized U.S. citizen","1","±2","0","±10","0","±16","0","±16","3","±13","0","±19","116","±82","0","±19","0","±19","0","±19","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","0","±22","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","45","±73","0","±15","0","±15","0","±16","33","±50","0","±16","10","±15","0","±15","0","±16","0","±16","0","±15","0","±15","11","±12","0","±16","0","±16","0","±16","0","±16","2","±4","8","±12","0","±19","0","±15","0","±15","0","±15","0","±16","0","±16","0","±22","0","±16","13","±20","0","±19","0","±15","0","±16","0","±22","106","±102","0","±16","0","±15","4","±8","0","±16","0","±19","0","±22","50","±56","4","±6","0","±16","0","±15","0","±15","0","±16","0","±22","0","±16","0","±15","18","±22","16","±24","0","±19","0","±15","296","±146","1","±2","0","±16","0","±10","0","±15","27","±36","0","±16","8","±15","0","±24","0","±16","0","±15","0","±16","0","±15","0","±22","10","±13","0","±19","0","±15","0","±22","0","±16","0","±16","11","±18","0","±15","0","±16"
"                Not a U.S. citizen","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","39","±49","0","±19","7","±15","0","±19","30","±53","0","±16","0","±15","0","±19","18","±17","0","±16","0","±22","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","244","±172","0","±15","0","±15","0","±16","0","±22","0","±16","46","±57","0","±15","0","±16","0","±16","17","±26","0","±15","0","±15","0","±16","0","±16","29","±26","0","±16","0","±16","0","±16","0","±19","0","±15","0","±15","0","±15","0","±16","0","±16","0","±22","107","±134","54","±56","0","±19","0","±15","0","±16","0","±22","133","±80","0","±16","0","±15","0","±16","0","±16","17","±22","15","±19","89","±110","0","±16","3","±6","0","±15","0","±15","0","±16","27","±22","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","607","±228","0","±24","0","±16","0","±10","0","±15","40","±34","0","±16","0","±22","82","±59","9","±12","0","±15","0","±16","0","±15","0","±22","0","±24","0","±19","0","±15","0","±22","10","±12","0","±16","10","±20","3","±9","0","±16"
"        18 years and over:","3","±6","0","±10","32","±28","67","±49","0","±15","25","±15","1,292","±109","29","±19","73","±34","31","±28","690","±60","100","±66","8","±8","25","±40","10","±9","27","±19","251","±39","8","±11","0","±16","13","±19","73","±55","10","±6","69","±53","74","±57","1,895","±154","0","±15","15","±17","0","±16","105","±49","14","±28","507","±94","14","±19","78","±36","164","±34","8","±12","10","±14","7","±11","9","±13","10","±12","164","±79","38","±37","49","±21","0","±16","109","±51","5","±6","34","±45","15","±18","0","±16","15","±21","76","±51","620","±201","3,541","±279","97","±38","5","±7","0","±16","67","±48","2,028","±174","99","±41","29","±22","0","±16","34","±36","112","±33","196","±39","549","±74","22","±21","16","±12","0","±15","19","±12","14","±25","88","±41","37","±48","15","±16","28","±35","3","±6","73","±46","0","±15","9,352","±303","223","±63","169","±50","0","±10","40","±36","1,975","±166","22","±35","95","±58","3,420","±282","20","±14","9","±16","80","±79","0","±15","103","±77","146","±32","30","±30","0","±15","211","±47","81","±24","49","±43","1,143","±82","3","±6","1","±3"
"            Native","3","±6","0","±10","0","±16","34","±47","0","±15","0","±19","236","±131","0","±19","33","±31","0","±19","105","±59","6","±9","0","±15","2","±7","0","±16","0","±16","52","±36","0","±16","0","±16","0","±15","0","±16","0","±16","31","±54","5","±10","389","±209","0","±15","0","±15","0","±16","0","±22","0","±16","65","±69","9","±17","21","±27","32","±24","0","±15","10","±14","0","±15","0","±16","0","±16","0","±16","38","±37","8","±10","0","±16","43","±40","5","±6","0","±15","0","±15","0","±16","0","±16","17","±19","0","±16","1,001","±253","29","±28","0","±15","0","±16","41","±41","446","±149","20","±20","0","±15","0","±16","2","±3","31","±36","20","±18","10","±18","5","±7","4","±7","0","±15","0","±15","14","±25","0","±22","13","±20","4","±9","16","±30","3","±6","20","±32","0","±15","2,063","±411","20","±15","51","±33","0","±10","16","±21","271","±92","0","±16","26","±23","859","±282","0","±16","9","±16","12","±18","0","±15","16","±20","21","±22","15","±23","0","±15","6","±12","16","±18","0","±16","250","±124","3","±6","0","±16"
"            Foreign-born:","0","±15","0","±10","32","±28","33","±32","0","±15","25","±15","1,056","±173","29","±19","40","±29","31","±28","585","±61","94","±67","8","±8","23","±38","10","±9","27","±19","199","±53","8","±11","0","±16","13","±19","73","±55","10","±6","38","±25","69","±54","1,506","±251","0","±15","15","±17","0","±16","105","±49","14","±28","442","±83","5","±9","57","±24","132","±36","8","±12","0","±15","7","±11","9","±13","10","±12","164","±79","0","±16","41","±22","0","±16","66","±42","0","±15","34","±45","15","±18","0","±16","15","±21","59","±45","620","±201","2,540","±259","68","±41","5","±7","0","±16","26","±25","1,582","±183","79","±33","29","±22","0","±16","32","±37","81","±39","176","±44","539","±76","17","±18","12","±11","0","±15","19","±12","0","±16","88","±41","24","±39","11","±14","12","±15","0","±15","53","±45","0","±15","7,289","±466","203","±60","118","±47","0","±10","24","±31","1,704","±160","22","±35","69","±56","2,561","±280","20","±14","0","±15","68","±83","0","±15","87","±72","125","±42","15","±22","0","±15","205","±45","65","±24","49","±43","893","±142","0","±15","1","±3"
