"Label (Grouping)","Adair County, Iowa!!Estimate","Adair County, Iowa!!Margin of Error","Adams County, Iowa!!Estimate","Adams County, Iowa!!Margin of Error","Allamakee County, Iowa!!Estimate","Allamakee County, Iowa!!Margin of Error","Appanoose County, Iowa!!Estimate","Appanoose County, Iowa!!Margin of Error","Audubon County, Iowa!!Estimate","Audubon County, Iowa!!Margin of Error","Benton County, Iowa!!Estimate","Benton County, Iowa!!Margin of Error","Black Hawk County, Iowa!!Estimate","Black Hawk County, Iowa!!Margin of Error","Boone County, Iowa!!Estimate","Boone County, Iowa!!Margin of Error","Bremer County, Iowa!!Estimate","Bremer County, Iowa!!Margin of Error","Buchanan County, Iowa!!Estimate","Buchanan County, Iowa!!Margin of Error","Buena Vista County, Iowa!!Estimate","Buena Vista County, Iowa!!Margin of Error","Butler County, Iowa!!Estimate","Butler County, Iowa!!Margin of Error","Calhoun County, Iowa!!Estimate","Calhoun County, Iowa!!Margin of Error","Carroll County, Iowa!!Estimate","Carroll County, Iowa!!Margin of Error","Cass County, Iowa!!Estimate","Cass County, Iowa!!Margin of Error","Cedar County, Iowa!!Estimate","Cedar County, Iowa!!Margin of Error","Cerro Gordo County, Iowa!!Estimate","Cerro Gordo County, Iowa!!Margin of Error","Cherokee County, Iowa!!Estimate","Cherokee County, Iowa!!Margin of Error","Chickasaw County, Iowa!!Estimate","Chickasaw County, Iowa!!Margin of Error","Clarke County, Iowa!!Estimate","Clarke County, Iowa!!Margin of Error","Clay County, Iowa!!Estimate","Clay County, Iowa!!Margin of Error","Clayton County, Iowa!!Estimate","Clayton County, Iowa!!Margin of Error","Clinton County, Iowa!!Estimate","Clinton County, Iowa!!Margin of Error","Crawford County, Iowa!!Estimate","Crawford County, Iowa!!Margin of Error","Dallas County, Iowa!!Estimate","Dallas County, Iowa!!Margin of Error","Davis County, Iowa!!Estimate","Davis County, Iowa!!Margin of Error","Decatur County, Iowa!!Estimate","Decatur County, Iowa!!Margin of Error","Delaware County, Iowa!!Estimate","Delaware County, Iowa!!Margin of Error","Des Moines County, Iowa!!Estimate","Des Moines County, Iowa!!Margin of Error","Dickinson County, Iowa!!Estimate","Dickinson County, Iowa!!Margin of Error","Dubuque County, Iowa!!Estimate","Dubuque County, Iowa!!Margin of Error","Emmet County, Iowa!!Estimate","Emmet County, Iowa!!Margin of Error","Fayette County, Iowa!!Estimate","Fayette County, Iowa!!Margin of Error","Floyd County, Iowa!!Estimate","Floyd County, Iowa!!Margin of Error","Franklin County, Iowa!!Estimate","Franklin County, Iowa!!Margin of Error","Fremont County, Iowa!!Estimate","Fremont County, Iowa!!Margin of Error","Greene County, Iowa!!Estimate","Greene County, Iowa!!Margin of Error","Grundy County, Iowa!!Estimate","Grundy County, Iowa!!Margin of Error","Guthrie County, Iowa!!Estimate","Guthrie County, Iowa!!Margin of Error","Hamilton County, Iowa!!Estimate","Hamilton County, Iowa!!Margin of Error","Hancock County, Iowa!!Estimate","Hancock County, Iowa!!Margin of Error","Hardin County, Iowa!!Estimate","Hardin County, Iowa!!Margin of Error","Harrison County, Iowa!!Estimate","Harrison County, Iowa!!Margin of Error","Henry County, Iowa!!Estimate","Henry County, Iowa!!Margin of Error","Howard County, Iowa!!Estimate","Howard County, Iowa!!Margin of Error","Humboldt County, Iowa!!Estimate","Humboldt County, Iowa!!Margin of Error","Ida County, Iowa!!Estimate","Ida County, Iowa!!Margin of Error","Iowa County, Iowa!!Estimate","Iowa County, Iowa!!Margin of Error","Jackson County, Iowa!!Estimate","Jackson County, Iowa!!Margin of Error","Jasper County, Iowa!!Estimate","Jasper County, Iowa!!Margin of Error","Jefferson County, Iowa!!Estimate","Jefferson County, Iowa!!Margin of Error","Johnson County, Iowa!!Estimate","Johnson County, Iowa!!Margin of Error","Jones County, Iowa!!Estimate","Jones County, Iowa!!Margin of Error","Keokuk County, Iowa!!Estimate","Keokuk County, Iowa!!Margin of Error","Kossuth County, Iowa!!Estimate","Kossuth County, Iowa!!Margin of Error","Lee County, Iowa!!Estimate","Lee County, Iowa!!Margin of Error","Linn County, Iowa!!Estimate","Linn County, Iowa!!Margin of Error","Louisa County, Iowa!!Estimate","Louisa County, Iowa!!Margin of Error","Lucas County, Iowa!!Estimate","Lucas County, Iowa!!Margin of Error","Lyon County, Iowa!!Estimate","Lyon County, Iowa!!Margin of Error","Madison County, Iowa!!Estimate","Madison County, Iowa!!Margin of Error","Mahaska County, Iowa!!Estimate","Mahaska County, Iowa!!Margin of Error","Marion County, Iowa!!Estimate","Marion County, Iowa!!Margin of Error","Marshall County, Iowa!!Estimate","Marshall County, Iowa!!Margin of Error","Mills County, Iowa!!Estimate","Mills County, Iowa!!Margin of Error","Mitchell County, Iowa!!Estimate","Mitchell County, Iowa!!Margin of Error","Monona County, Iowa!!Estimate","Monona County, Iowa!!Margin of Error","Monroe County, Iowa!!Estimate","Monroe County, Iowa!!Margin of Error","Montgomery County, Iowa!!Estimate","Montgomery County, Iowa!!Margin of Error","Muscatine County, Iowa!!Estimate","Muscatine County, Iowa!!Margin of Error","O'Brien County, Iowa!!Estimate","O'Brien County, Iowa!!Margin of Error","Osceola County, Iowa!!Estimate","Osceola County, Iowa!!Margin of Error","Page County, Iowa!!Estimate","Page County, Iowa!!Margin of Error","Palo Alto County, Iowa!!Estimate","Palo Alto County, Iowa!!Margin of Error","Plymouth County, Iowa!!Estimate","Plymouth County, Iowa!!Margin of Error","Pocahontas County, Iowa!!Estimate","Pocahontas County, Iowa!!Margin of Error","Polk County, Iowa!!Estimate","Polk County, Iowa!!Margin of Error","Pottawattamie County, Iowa!!Estimate","Pottawattamie County, Iowa!!Margin of Error","Poweshiek County, Iowa!!Estimate","Poweshiek County, Iowa!!Margin of Error","Ringgold County, Iowa!!Estimate","Ringgold County, Iowa!!Margin of Error","Sac County, Iowa!!Estimate","Sac County, Iowa!!Margin of Error","Scott County, Iowa!!Estimate","Scott County, Iowa!!Margin of Error","Shelby County, Iowa!!Estimate","Shelby County, Iowa!!Margin of Error","Sioux County, Iowa!!Estimate","Sioux County, Iowa!!Margin of Error","Story County, Iowa!!Estimate","Story County, Iowa!!Margin of Error","Tama County, Iowa!!Estimate","Tama County, Iowa!!Margin of Error","Taylor County, Iowa!!Estimate","Taylor County, Iowa!!Margin of Error","Union County, Iowa!!Estimate","Union County, Iowa!!Margin of Error","Van Buren County, Iowa!!Estimate","Van Buren County, Iowa!!Margin of Error","Wapello County, Iowa!!Estimate","Wapello County, Iowa!!Margin of Error","Warren County, Iowa!!Estimate","Warren County, Iowa!!Margin of Error","Washington County, Iowa!!Estimate","Washington County, Iowa!!Margin of Error","Wayne County, Iowa!!Estimate","Wayne County, Iowa!!Margin of Error","Webster County, Iowa!!Estimate","Webster County, Iowa!!Margin of Error","Winnebago County, Iowa!!Estimate","Winnebago County, Iowa!!Margin of Error","Winneshiek County, Iowa!!Estimate","Winneshiek County, Iowa!!Margin of Error","Woodbury County, Iowa!!Estimate","Woodbury County, Iowa!!Margin of Error","Worth County, Iowa!!Estimate","Worth County, Iowa!!Margin of Error","Wright County, Iowa!!Estimate","Wright County, Iowa!!Margin of Error"
"Total:","5","±11","0","±10","0","±16","0","±16","14","±18","0","±19","964","±33","0","±19","8","±12","13","±13","608","±42","0","±16","0","±15","0","±19","54","±61","10","±17","267","±22","0","±16","2","±5","0","±15","0","±16","0","±16","0","±22","0","±16","32","±42","0","±15","1","±3","0","±16","1","±3","0","±16","802","±46","5","±11","1","±3","10","±18","0","±15","0","±15","0","±15","0","±16","27","±32","21","±41","0","±16","0","±16","0","±16","7","±13","0","±15","70","±86","0","±15","0","±16","90","±121","65","±101","0","±16","31","±32","0","±19","0","±15","8","±9","21","±33","53","±61","0","±16","0","±15","4","±7","8","±14","65","±76","0","±22","0","±22","0","±16","0","±16","0","±15","3","±10","37","±42","0","±22","22","±10","0","±15","2","±5","0","±15","112","±81","55","±55","238","±163","163","±24","0","±16","0","±10","17","±26","92","±47","0","±16","6","±7","110","±86","6","±10","0","±15","0","±16","0","±15","857","±22","8","±13","4","±8","0","±15","0","±22","0","±16","1","±3","775","±61","0","±15","0","±16"
"    Male:","2","±6","0","±10","0","±16","0","±16","0","±15","0","±19","401","±64","0","±19","3","±6","8","±11","295","±47","0","±16","0","±15","0","±19","23","±25","0","±16","141","±26","0","±16","2","±5","0","±15","0","±16","0","±16","0","±22","0","±16","3","±7","0","±15","1","±3","0","±16","0","±22","0","±16","429","±104","0","±15","1","±3","10","±18","0","±15","0","±15","0","±15","0","±16","16","±19","21","±41","0","±16","0","±16","0","±16","7","±13","0","±15","30","±38","0","±15","0","±16","56","±76","31","±52","0","±16","19","±26","0","±19","0","±15","8","±9","14","±22","25","±33","0","±16","0","±15","4","±7","8","±14","43","±54","0","±22","0","±22","0","±16","0","±16","0","±15","3","±10","37","±42","0","±22","9","±5","0","±15","2","±5","0","±15","57","±45","31","±31","99","±72","61","±23","0","±16","0","±10","14","±22","84","±46","0","±16","6","±7","39","±51","3","±6","0","±15","0","±16","0","±15","591","±103","0","±24","2","±4","0","±15","0","±22","0","±16","1","±3","374","±74","0","±15","0","±16"
"        Under 18 years:","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","100","±61","0","±19","0","±19","0","±19","145","±20","0","±16","0","±15","0","±19","23","±25","0","±16","55","±18","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","1","±3","0","±15","0","±15","0","±16","0","±22","0","±16","133","±79","0","±15","0","±16","10","±18","0","±15","0","±15","0","±15","0","±16","9","±11","21","±41","0","±16","0","±16","0","±16","0","±19","0","±15","11","±13","0","±15","0","±16","10","±19","0","±22","0","±16","0","±24","0","±19","0","±15","0","±16","9","±15","5","±8","0","±16","0","±15","0","±16","8","±14","22","±29","0","±22","0","±22","0","±16","0","±16","0","±15","0","±15","0","±16","0","±22","4","±4","0","±15","0","±16","0","±15","27","±21","13","±18","20","±23","0","±24","0","±16","0","±10","0","±15","1","±5","0","±16","0","±22","0","±24","1","±4","0","±15","0","±16","0","±15","306","±76","0","±24","2","±4","0","±15","0","±22","0","±16","1","±3","94","±18","0","±15","0","±16"
"            Native","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","62","±49","0","±19","0","±19","0","±19","127","±24","0","±16","0","±15","0","±19","23","±25","0","±16","31","±9","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","1","±3","0","±15","0","±15","0","±16","0","±22","0","±16","133","±79","0","±15","0","±16","10","±18","0","±15","0","±15","0","±15","0","±16","9","±11","21","±41","0","±16","0","±16","0","±16","0","±19","0","±15","6","±7","0","±15","0","±16","0","±16","0","±22","0","±16","0","±24","0","±19","0","±15","0","±16","9","±15","5","±8","0","±16","0","±15","0","±16","8","±14","22","±29","0","±22","0","±22","0","±16","0","±16","0","±15","0","±15","0","±16","0","±22","4","±4","0","±15","0","±16","0","±15","27","±21","0","±15","20","±23","0","±24","0","±16","0","±10","0","±15","1","±5","0","±16","0","±22","0","±24","1","±4","0","±15","0","±16","0","±15","306","±76","0","±24","2","±4","0","±15","0","±22","0","±16","1","±3","94","±18","0","±15","0","±16"
"            Foreign-born:","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","38","±41","0","±19","0","±19","0","±19","18","±14","0","±16","0","±15","0","±19","0","±16","0","±16","24","±23","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","0","±24","0","±15","0","±15","0","±16","0","±22","0","±16","0","±24","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","0","±16","0","±16","0","±19","0","±15","5","±7","0","±15","0","±16","10","±19","0","±22","0","±16","0","±24","0","±19","0","±15","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","0","±22","0","±16","0","±16","0","±15","0","±15","0","±16","0","±22","0","±16","0","±15","0","±16","0","±15","0","±19","13","±18","0","±24","0","±24","0","±16","0","±10","0","±15","0","±24","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±15","0","±22","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","0","±24","0","±15","0","±16"
"                Naturalized U.S. citizen","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","0","±24","0","±19","0","±19","0","±19","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","0","±22","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","0","±24","0","±15","0","±15","0","±16","0","±22","0","±16","0","±24","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","0","±16","0","±16","0","±19","0","±15","5","±7","0","±15","0","±16","0","±16","0","±22","0","±16","0","±24","0","±19","0","±15","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","0","±22","0","±16","0","±16","0","±15","0","±15","0","±16","0","±22","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","0","±24","0","±24","0","±16","0","±10","0","±15","0","±24","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±15","0","±22","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","0","±24","0","±15","0","±16"
"                Not a U.S. citizen","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","38","±41","0","±19","0","±19","0","±19","18","±14","0","±16","0","±15","0","±19","0","±16","0","±16","24","±23","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","0","±24","0","±15","0","±15","0","±16","0","±22","0","±16","0","±24","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","0","±16","0","±16","0","±19","0","±15","0","±15","0","±15","0","±16","10","±19","0","±22","0","±16","0","±24","0","±19","0","±15","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","0","±22","0","±16","0","±16","0","±15","0","±15","0","±16","0","±22","0","±16","0","±15","0","±16","0","±15","0","±19","13","±18","0","±24","0","±24","0","±16","0","±10","0","±15","0","±24","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±15","0","±22","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","0","±24","0","±15","0","±16"
"        18 years and over:","2","±6","0","±10","0","±16","0","±16","0","±15","0","±19","301","±13","0","±19","3","±6","8","±11","150","±42","0","±16","0","±15","0","±19","0","±16","0","±16","86","±12","0","±16","2","±5","0","±15","0","±16","0","±16","0","±22","0","±16","2","±5","0","±15","1","±3","0","±16","0","±22","0","±16","296","±42","0","±15","1","±3","0","±16","0","±15","0","±15","0","±15","0","±16","7","±9","0","±16","0","±16","0","±16","0","±16","7","±13","0","±15","19","±26","0","±15","0","±16","46","±60","31","±52","0","±16","19","±26","0","±19","0","±15","8","±9","5","±8","20","±31","0","±16","0","±15","4","±7","0","±16","21","±28","0","±22","0","±22","0","±16","0","±16","0","±15","3","±10","37","±42","0","±22","5","±3","0","±15","2","±5","0","±15","30","±37","18","±20","79","±52","61","±23","0","±16","0","±10","14","±22","83","±47","0","±16","6","±7","39","±51","2","±3","0","±15","0","±16","0","±15","285","±38","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","280","±66","0","±15","0","±16"
"            Native","2","±6","0","±10","0","±16","0","±16","0","±15","0","±19","70","±54","0","±19","3","±6","7","±10","68","±33","0","±16","0","±15","0","±19","0","±16","0","±16","0","±22","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","2","±5","0","±15","1","±3","0","±16","0","±22","0","±16","66","±68","0","±15","1","±3","0","±16","0","±15","0","±15","0","±15","0","±16","7","±9","0","±16","0","±16","0","±16","0","±16","0","±19","0","±15","0","±15","0","±15","0","±16","0","±16","31","±52","0","±16","19","±26","0","±19","0","±15","8","±9","5","±8","20","±31","0","±16","0","±15","4","±7","0","±16","0","±19","0","±22","0","±22","0","±16","0","±16","0","±15","3","±10","37","±42","0","±22","0","±16","0","±15","2","±5","0","±15","0","±19","0","±15","69","±56","47","±22","0","±16","0","±10","0","±15","33","±23","0","±16","6","±7","25","±44","0","±16","0","±15","0","±16","0","±15","34","±42","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","136","±54","0","±15","0","±16"
"            Foreign-born:","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","231","±55","0","±19","0","±19","1","±3","82","±43","0","±16","0","±15","0","±19","0","±16","0","±16","86","±12","0","±16","2","±5","0","±15","0","±16","0","±16","0","±22","0","±16","0","±24","0","±15","0","±15","0","±16","0","±22","0","±16","230","±63","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","0","±16","0","±16","7","±13","0","±15","19","±26","0","±15","0","±16","46","±60","0","±22","0","±16","0","±24","0","±19","0","±15","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±16","21","±28","0","±22","0","±22","0","±16","0","±16","0","±15","0","±15","0","±16","0","±22","5","±3","0","±15","0","±16","0","±15","30","±37","18","±20","10","±19","14","±15","0","±16","0","±10","14","±22","50","±46","0","±16","0","±22","14","±23","2","±3","0","±15","0","±16","0","±15","251","±6","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","144","±33","0","±15","0","±16"
