"Label (Grouping)","Adair County, Iowa!!Estimate","Adair County, Iowa!!Margin of Error","Adams County, Iowa!!Estimate","Adams County, Iowa!!Margin of Error","Allamakee County, Iowa!!Estimate","Allamakee County, Iowa!!Margin of Error","Appanoose County, Iowa!!Estimate","Appanoose County, Iowa!!Margin of Error","Audubon County, Iowa!!Estimate","Audubon County, Iowa!!Margin of Error","Benton County, Iowa!!Estimate","Benton County, Iowa!!Margin of Error","Black Hawk County, Iowa!!Estimate","Black Hawk County, Iowa!!Margin of Error","Boone County, Iowa!!Estimate","Boone County, Iowa!!Margin of Error","Bremer County, Iowa!!Estimate","Bremer County, Iowa!!Margin of Error","Buchanan County, Iowa!!Estimate","Buchanan County, Iowa!!Margin of Error","Buena Vista County, Iowa!!Estimate","Buena Vista County, Iowa!!Margin of Error","Butler County, Iowa!!Estimate","Butler County, Iowa!!Margin of Error","Calhoun County, Iowa!!Estimate","Calhoun County, Iowa!!Margin of Error","Carroll County, Iowa!!Estimate","Carroll County, Iowa!!Margin of Error","Cass County, Iowa!!Estimate","Cass County, Iowa!!Margin of Error","Cedar County, Iowa!!Estimate","Cedar County, Iowa!!Margin of Error","Cerro Gordo County, Iowa!!Estimate","Cerro Gordo County, Iowa!!Margin of Error","Cherokee County, Iowa!!Estimate","Cherokee County, Iowa!!Margin of Error","Chickasaw County, Iowa!!Estimate","Chickasaw County, Iowa!!Margin of Error","Clarke County, Iowa!!Estimate","Clarke County, Iowa!!Margin of Error","Clay County, Iowa!!Estimate","Clay County, Iowa!!Margin of Error","Clayton County, Iowa!!Estimate","Clayton County, Iowa!!Margin of Error","Clinton County, Iowa!!Estimate","Clinton County, Iowa!!Margin of Error","Crawford County, Iowa!!Estimate","Crawford County, Iowa!!Margin of Error","Dallas County, Iowa!!Estimate","Dallas County, Iowa!!Margin of Error","Davis County, Iowa!!Estimate","Davis County, Iowa!!Margin of Error","Decatur County, Iowa!!Estimate","Decatur County, Iowa!!Margin of Error","Delaware County, Iowa!!Estimate","Delaware County, Iowa!!Margin of Error","Des Moines County, Iowa!!Estimate","Des Moines County, Iowa!!Margin of Error","Dickinson County, Iowa!!Estimate","Dickinson County, Iowa!!Margin of Error","Dubuque County, Iowa!!Estimate","Dubuque County, Iowa!!Margin of Error","Emmet County, Iowa!!Estimate","Emmet County, Iowa!!Margin of Error","Fayette County, Iowa!!Estimate","Fayette County, Iowa!!Margin of Error","Floyd County, Iowa!!Estimate","Floyd County, Iowa!!Margin of Error","Franklin County, Iowa!!Estimate","Franklin County, Iowa!!Margin of Error","Fremont County, Iowa!!Estimate","Fremont County, Iowa!!Margin of Error","Greene County, Iowa!!Estimate","Greene County, Iowa!!Margin of Error","Grundy County, Iowa!!Estimate","Grundy County, Iowa!!Margin of Error","Guthrie County, Iowa!!Estimate","Guthrie County, Iowa!!Margin of Error","Hamilton County, Iowa!!Estimate","Hamilton County, Iowa!!Margin of Error","Hancock County, Iowa!!Estimate","Hancock County, Iowa!!Margin of Error","Hardin County, Iowa!!Estimate","Hardin County, Iowa!!Margin of Error","Harrison County, Iowa!!Estimate","Harrison County, Iowa!!Margin of Error","Henry County, Iowa!!Estimate","Henry County, Iowa!!Margin of Error","Howard County, Iowa!!Estimate","Howard County, Iowa!!Margin of Error","Humboldt County, Iowa!!Estimate","Humboldt County, Iowa!!Margin of Error","Ida County, Iowa!!Estimate","Ida County, Iowa!!Margin of Error","Iowa County, Iowa!!Estimate","Iowa County, Iowa!!Margin of Error","Jackson County, Iowa!!Estimate","Jackson County, Iowa!!Margin of Error","Jasper County, Iowa!!Estimate","Jasper County, Iowa!!Margin of Error","Jefferson County, Iowa!!Estimate","Jefferson County, Iowa!!Margin of Error","Johnson County, Iowa!!Estimate","Johnson County, Iowa!!Margin of Error","Jones County, Iowa!!Estimate","Jones County, Iowa!!Margin of Error","Keokuk County, Iowa!!Estimate","Keokuk County, Iowa!!Margin of Error","Kossuth County, Iowa!!Estimate","Kossuth County, Iowa!!Margin of Error","Lee County, Iowa!!Estimate","Lee County, Iowa!!Margin of Error","Linn County, Iowa!!Estimate","Linn County, Iowa!!Margin of Error","Louisa County, Iowa!!Estimate","Louisa County, Iowa!!Margin of Error","Lucas County, Iowa!!Estimate","Lucas County, Iowa!!Margin of Error","Lyon County, Iowa!!Estimate","Lyon County, Iowa!!Margin of Error","Madison County, Iowa!!Estimate","Madison County, Iowa!!Margin of Error","Mahaska County, Iowa!!Estimate","Mahaska County, Iowa!!Margin of Error","Marion County, Iowa!!Estimate","Marion County, Iowa!!Margin of Error","Marshall County, Iowa!!Estimate","Marshall County, Iowa!!Margin of Error","Mills County, Iowa!!Estimate","Mills County, Iowa!!Margin of Error","Mitchell County, Iowa!!Estimate","Mitchell County, Iowa!!Margin of Error","Monona County, Iowa!!Estimate","Monona County, Iowa!!Margin of Error","Monroe County, Iowa!!Estimate","Monroe County, Iowa!!Margin of Error","Montgomery County, Iowa!!Estimate","Montgomery County, Iowa!!Margin of Error","Muscatine County, Iowa!!Estimate","Muscatine County, Iowa!!Margin of Error","O'Brien County, Iowa!!Estimate","O'Brien County, Iowa!!Margin of Error","Osceola County, Iowa!!Estimate","Osceola County, Iowa!!Margin of Error","Page County, Iowa!!Estimate","Page County, Iowa!!Margin of Error","Palo Alto County, Iowa!!Estimate","Palo Alto County, Iowa!!Margin of Error","Plymouth County, Iowa!!Estimate","Plymouth County, Iowa!!Margin of Error","Pocahontas County, Iowa!!Estimate","Pocahontas County, Iowa!!Margin of Error","Polk County, Iowa!!Estimate","Polk County, Iowa!!Margin of Error","Pottawattamie County, Iowa!!Estimate","Pottawattamie County, Iowa!!Margin of Error","Poweshiek County, Iowa!!Estimate","Poweshiek County, Iowa!!Margin of Error","Ringgold County, Iowa!!Estimate","Ringgold County, Iowa!!Margin of Error","Sac County, Iowa!!Estimate","Sac County, Iowa!!Margin of Error","Scott County, Iowa!!Estimate","Scott County, Iowa!!Margin of Error","Shelby County, Iowa!!Estimate","Shelby County, Iowa!!Margin of Error","Sioux County, Iowa!!Estimate","Sioux County, Iowa!!Margin of Error","Story County, Iowa!!Estimate","Story County, Iowa!!Margin of Error","Tama County, Iowa!!Estimate","Tama County, Iowa!!Margin of Error","Taylor County, Iowa!!Estimate","Taylor County, Iowa!!Margin of Error","Union County, Iowa!!Estimate","Union County, Iowa!!Margin of Error","Van Buren County, Iowa!!Estimate","Van Buren County, Iowa!!Margin of Error","Wapello County, Iowa!!Estimate","Wapello County, Iowa!!Margin of Error","Warren County, Iowa!!Estimate","Warren County, Iowa!!Margin of Error","Washington County, Iowa!!Estimate","Washington County, Iowa!!Margin of Error","Wayne County, Iowa!!Estimate","Wayne County, Iowa!!Margin of Error","Webster County, Iowa!!Estimate","Webster County, Iowa!!Margin of Error","Winnebago County, Iowa!!Estimate","Winnebago County, Iowa!!Margin of Error","Winneshiek County, Iowa!!Estimate","Winneshiek County, Iowa!!Margin of Error","Woodbury County, Iowa!!Estimate","Woodbury County, Iowa!!Margin of Error","Worth County, Iowa!!Estimate","Worth County, Iowa!!Margin of Error","Wright County, Iowa!!Estimate","Wright County, Iowa!!Margin of Error"
"Total:","62","±42","5","±7","310","±153","0","±16","64","±51","319","±98","3,191","±562","169","±120","382","±176","80","±56","2,338","±638","122","±68","130","±65","191","±111","121","±97","73","±57","291","±105","148","±90","84","±269","1,022","±446","322","±262","95","±52","279","±140","1,861","±592","1,949","±588","230","±153","107","±54","90","±84","225","±159","73","±57","876","±245","282","±171","78","±44","29","±34","498","±212","20","±20","43","±38","191","±94","168","±63","347","±253","130","±88","433","±131","93","±59","379","±145","174","±92","278","±119","97","±41","193","±157","135","±95","583","±180","102","±61","3,677","±614","207","±153","97","±44","248","±199","348","±135","2,821","±670","983","±181","168","±100","146","±59","72","±51","151","±79","217","±142","3,289","±803","62","±62","105","±46","5","±10","17","±23","130","±85","3,491","±653","487","±145","126","±102","125","±77","124","±46","531","±269","167","±59","18,722","±1,778","2,083","±444","185","±110","0","±10","194","±62","3,477","±730","212","±64","2,483","±650","1,819","±365","360","±219","319","±87","173","±58","74","±63","1,508","±367","329","±154","714","±212","13","±25","431","±158","87","±50","136","±65","5,061","±720","13","±12","912","±414"
"    Male:","34","±26","5","±7","218","±112","0","±16","20","±18","182","±43","1,647","±289","80","±68","286","±143","28","±25","1,207","±326","54","±40","76","±41","74","±56","57","±51","62","±54","220","±95","86","±54","68","±268","619","±204","176","±175","43","±33","161","±96","1,073","±314","933","±323","133","±75","71","±37","83","±83","157","±118","62","±48","480","±149","109","±75","57","±38","8","±15","279","±131","12","±17","38","±38","75","±36","88","±34","178","±196","48","±32","318","±95","45","±25","244","±104","102","±55","90","±57","41","±27","131","±97","68","±49","263","±90","39","±29","1,911","±372","97","±115","53","±29","127","±114","233","±92","1,451","±388","497","±88","124","±71","108","±37","21","±18","51","±34","127","±110","1,570","±418","15","±17","41","±25","2","±5","8","±12","92","±77","1,906","±391","295","±59","64","±53","81","±47","91","±26","328","±166","77","±31","9,827","±1,094","1,274","±306","92","±63","0","±10","131","±40","1,917","±484","72","±33","1,205","±355","1,011","±186","280","±160","197","±64","104","±46","43","±34","875","±221","221","±137","359","±122","6","±12","267","±123","55","±42","80","±48","2,308","±364","11","±12","550","±288"
"        Under 18 years:","9","±11","0","±10","95","±70","0","±16","7","±9","63","±32","720","±180","30","±39","123","±97","5","±6","427","±211","3","±4","18","±21","30","±37","46","±47","37","±42","0","±22","17","±22","1","±2","228","±139","112","±123","1","±2","0","±22","414","±222","280","±159","18","±24","1","±4","46","±62","38","±79","9","±12","114","±76","61","±51","2","±3","2","±5","90","±78","0","±15","0","±15","15","±13","20","±13","85","±120","22","±19","141","±61","10","±12","92","±56","49","±31","49","±50","15","±19","35","±50","41","±33","82","±39","16","±18","326","±174","29","±50","19","±15","40","±42","17","±28","501","±222","103","±46","82","±42","20","±16","5","±7","0","±19","63","±67","443","±190","0","±16","7","±9","0","±15","0","±15","37","±51","635","±167","201","±51","36","±37","9","±10","11","±13","93","±113","10","±11","3,272","±535","318","±153","36","±33","0","±10","27","±21","395","±153","27","±20","374","±187","161","±77","127","±86","59","±38","0","±16","4","±7","301","±120","44","±36","178","±70","0","±15","124","±98","0","±16","0","±16","701","±178","0","±15","265","±201"
"            Native","9","±11","0","±10","29","±31","0","±16","7","±9","63","±32","688","±176","15","±19","123","±97","2","±4","412","±212","3","±4","9","±11","7","±11","46","±47","37","±42","0","±22","17","±22","1","±2","218","±138","56","±62","1","±2","0","±22","103","±107","268","±154","14","±23","1","±4","46","±62","38","±79","9","±12","99","±69","61","±51","2","±3","2","±5","88","±79","0","±15","0","±15","15","±13","20","±13","47","±64","22","±19","137","±62","10","±12","92","±56","49","±31","13","±14","15","±19","35","±50","41","±33","82","±39","12","±16","258","±163","29","±50","18","±15","9","±12","17","±28","426","±196","91","±47","0","±15","18","±16","5","±7","0","±19","63","±67","369","±163","0","±16","1","±2","0","±15","0","±15","37","±51","606","±169","201","±51","36","±37","9","±10","11","±13","93","±113","10","±11","2,880","±488","276","±117","36","±33","0","±10","27","±21","371","±146","27","±20","328","±149","161","±77","127","±86","59","±38","0","±16","4","±7","271","±120","44","±36","178","±70","0","±15","124","±98","0","±16","0","±16","658","±179","0","±15","265","±201"
"            Foreign-born:","0","±15","0","±10","66","±61","0","±16","0","±15","0","±19","32","±32","15","±19","0","±19","3","±4","15","±21","0","±16","9","±10","23","±35","0","±16","0","±16","0","±22","0","±16","0","±16","10","±14","56","±62","0","±16","0","±22","311","±258","12","±19","4","±7","0","±15","0","±16","0","±22","0","±16","15","±19","0","±15","0","±16","0","±16","2","±5","0","±15","0","±15","0","±16","0","±16","38","±109","0","±16","4","±7","0","±16","0","±19","0","±15","36","±49","0","±15","0","±16","0","±16","0","±22","4","±7","68","±93","0","±19","1","±2","31","±40","0","±22","75","±60","12","±19","82","±42","2","±3","0","±16","0","±19","0","±22","74","±63","0","±16","6","±9","0","±15","0","±15","0","±16","29","±37","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","392","±222","42","±49","0","±16","0","±10","0","±15","24","±42","0","±16","46","±68","0","±24","0","±16","0","±15","0","±16","0","±15","30","±34","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","43","±47","0","±15","0","±16"
"                Naturalized U.S. citizen","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","0","±24","15","±19","0","±19","0","±19","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","0","±22","0","±16","0","±16","7","±10","0","±16","0","±16","0","±22","35","±43","0","±24","4","±7","0","±15","0","±16","0","±22","0","±16","0","±24","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","0","±16","0","±16","0","±19","0","±15","0","±15","0","±15","0","±16","0","±16","0","±22","4","±7","0","±24","0","±19","0","±15","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","0","±22","0","±16","6","±9","0","±15","0","±15","0","±16","16","±28","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","86","±116","5","±12","0","±16","0","±10","0","±15","0","±24","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±15","0","±22","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","0","±24","0","±15","0","±16"
"                Not a U.S. citizen","0","±15","0","±10","66","±61","0","±16","0","±15","0","±19","32","±32","0","±19","0","±19","3","±4","15","±21","0","±16","9","±10","23","±35","0","±16","0","±16","0","±22","0","±16","0","±16","3","±5","56","±62","0","±16","0","±22","276","±265","12","±19","0","±15","0","±15","0","±16","0","±22","0","±16","15","±19","0","±15","0","±16","0","±16","2","±5","0","±15","0","±15","0","±16","0","±16","38","±109","0","±16","4","±7","0","±16","0","±19","0","±15","36","±49","0","±15","0","±16","0","±16","0","±22","0","±16","68","±93","0","±19","1","±2","31","±40","0","±22","75","±60","12","±19","82","±42","2","±3","0","±16","0","±19","0","±22","74","±63","0","±16","0","±16","0","±15","0","±15","0","±16","13","±21","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","306","±163","37","±49","0","±16","0","±10","0","±15","24","±42","0","±16","46","±68","0","±24","0","±16","0","±15","0","±16","0","±15","30","±34","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","43","±47","0","±15","0","±16"
"        18 years and over:","25","±20","5","±7","123","±59","0","±16","13","±19","119","±25","927","±170","50","±49","163","±67","23","±21","780","±241","51","±40","58","±36","44","±40","11","±20","25","±20","220","±95","69","±50","67","±268","391","±126","64","±62","42","±32","161","±96","659","±201","653","±219","115","±60","70","±37","37","±49","119","±92","53","±43","366","±117","48","±50","55","±38","6","±13","189","±98","12","±17","38","±38","60","±30","68","±31","93","±100","26","±22","177","±60","35","±17","152","±71","53","±33","41","±27","26","±16","96","±70","27","±25","181","±71","23","±20","1,585","±356","68","±71","34","±21","87","±74","216","±88","950","±258","394","±68","42","±33","88","±30","16","±14","51","±34","64","±54","1,127","±292","15","±17","34","±24","2","±5","8","±12","55","±49","1,271","±316","94","±28","28","±30","72","±43","80","±21","235","±83","67","±25","6,555","±734","956","±235","56","±39","0","±10","104","±31","1,522","±429","45","±25","831","±226","850","±175","153","±86","138","±60","104","±46","39","±34","574","±171","177","±118","181","±72","6","±12","143","±76","55","±42","80","±48","1,607","±300","11","±12","285","±113"
"            Native","19","±17","2","±3","15","±25","0","±16","11","±12","51","±37","356","±111","37","±47","113","±68","1","±2","235","±113","41","±35","45","±36","39","±40","11","±20","25","±20","132","±71","61","±50","3","±6","251","±167","11","±10","17","±20","99","±62","233","±117","261","±140","82","±61","35","±23","37","±49","109","±89","16","±17","154","±89","17","±29","11","±12","0","±16","34","±29","9","±14","1","±2","20","±20","55","±30","22","±25","19","±20","55","±36","19","±13","99","±68","44","±32","16","±13","18","±13","63","±43","20","±23","84","±52","3","±4","783","±248","31","±36","12","±8","31","±27","82","±72","595","±187","123","±29","1","±7","55","±27","10","±12","30","±31","64","±54","457","±189","15","±17","12","±17","0","±15","8","±12","22","±28","690","±215","90","±25","16","±24","15","±16","21","±19","109","±73","36","±26","2,693","±449","538","±187","31","±30","0","±10","27","±20","1,080","±306","26","±20","190","±89","759","±171","87","±61","77","±41","69","±50","39","±34","134","±71","51","±36","135","±62","0","±15","121","±70","30","±31","51","±36","645","±171","11","±12","88","±62"
"            Foreign-born:","6","±10","3","±7","108","±60","0","±16","2","±14","68","±38","571","±133","13","±14","50","±21","22","±21","545","±248","10","±16","13","±16","5","±6","0","±16","0","±16","88","±89","8","±9","64","±268","140","±143","53","±60","25","±21","62","±67","426","±196","392","±160","33","±31","35","±30","0","±16","10","±14","37","±38","212","±98","31","±33","44","±37","6","±13","155","±93","3","±8","37","±37","40","±18","13","±16","71","±94","7","±8","122","±56","16","±12","53","±36","9","±12","25","±25","8","±9","33","±34","7","±11","97","±75","20","±19","802","±314","37","±59","22","±18","56","±71","134","±127","355","±158","271","±63","41","±32","33","±27","6","±8","21","±19","0","±22","670","±197","0","±16","22","±26","2","±5","0","±15","33","±42","581","±163","4","±7","12","±14","57","±41","59","±25","126","±109","31","±20","3,862","±678","418","±161","25","±30","0","±10","77","±29","442","±307","19","±21","641","±202","91","±63","66","±50","61","±35","35","±32","0","±15","440","±169","126","±117","46","±36","6","±12","22","±32","25","±28","29","±30","962","±240","0","±15","197","±96"
