"Label (Grouping)","Adair County, Iowa!!Estimate","Adair County, Iowa!!Margin of Error","Adams County, Iowa!!Estimate","Adams County, Iowa!!Margin of Error","Allamakee County, Iowa!!Estimate","Allamakee County, Iowa!!Margin of Error","Appanoose County, Iowa!!Estimate","Appanoose County, Iowa!!Margin of Error","Audubon County, Iowa!!Estimate","Audubon County, Iowa!!Margin of Error","Benton County, Iowa!!Estimate","Benton County, Iowa!!Margin of Error","Black Hawk County, Iowa!!Estimate","Black Hawk County, Iowa!!Margin of Error","Boone County, Iowa!!Estimate","Boone County, Iowa!!Margin of Error","Bremer County, Iowa!!Estimate","Bremer County, Iowa!!Margin of Error","Buchanan County, Iowa!!Estimate","Buchanan County, Iowa!!Margin of Error","Buena Vista County, Iowa!!Estimate","Buena Vista County, Iowa!!Margin of Error","Butler County, Iowa!!Estimate","Butler County, Iowa!!Margin of Error","Calhoun County, Iowa!!Estimate","Calhoun County, Iowa!!Margin of Error","Carroll County, Iowa!!Estimate","Carroll County, Iowa!!Margin of Error","Cass County, Iowa!!Estimate","Cass County, Iowa!!Margin of Error","Cedar County, Iowa!!Estimate","Cedar County, Iowa!!Margin of Error","Cerro Gordo County, Iowa!!Estimate","Cerro Gordo County, Iowa!!Margin of Error","Cherokee County, Iowa!!Estimate","Cherokee County, Iowa!!Margin of Error","Chickasaw County, Iowa!!Estimate","Chickasaw County, Iowa!!Margin of Error","Clarke County, Iowa!!Estimate","Clarke County, Iowa!!Margin of Error","Clay County, Iowa!!Estimate","Clay County, Iowa!!Margin of Error","Clayton County, Iowa!!Estimate","Clayton County, Iowa!!Margin of Error","Clinton County, Iowa!!Estimate","Clinton County, Iowa!!Margin of Error","Crawford County, Iowa!!Estimate","Crawford County, Iowa!!Margin of Error","Dallas County, Iowa!!Estimate","Dallas County, Iowa!!Margin of Error","Davis County, Iowa!!Estimate","Davis County, Iowa!!Margin of Error","Decatur County, Iowa!!Estimate","Decatur County, Iowa!!Margin of Error","Delaware County, Iowa!!Estimate","Delaware County, Iowa!!Margin of Error","Des Moines County, Iowa!!Estimate","Des Moines County, Iowa!!Margin of Error","Dickinson County, Iowa!!Estimate","Dickinson County, Iowa!!Margin of Error","Dubuque County, Iowa!!Estimate","Dubuque County, Iowa!!Margin of Error","Emmet County, Iowa!!Estimate","Emmet County, Iowa!!Margin of Error","Fayette County, Iowa!!Estimate","Fayette County, Iowa!!Margin of Error","Floyd County, Iowa!!Estimate","Floyd County, Iowa!!Margin of Error","Franklin County, Iowa!!Estimate","Franklin County, Iowa!!Margin of Error","Fremont County, Iowa!!Estimate","Fremont County, Iowa!!Margin of Error","Greene County, Iowa!!Estimate","Greene County, Iowa!!Margin of Error","Grundy County, Iowa!!Estimate","Grundy County, Iowa!!Margin of Error","Guthrie County, Iowa!!Estimate","Guthrie County, Iowa!!Margin of Error","Hamilton County, Iowa!!Estimate","Hamilton County, Iowa!!Margin of Error","Hancock County, Iowa!!Estimate","Hancock County, Iowa!!Margin of Error","Hardin County, Iowa!!Estimate","Hardin County, Iowa!!Margin of Error","Harrison County, Iowa!!Estimate","Harrison County, Iowa!!Margin of Error","Henry County, Iowa!!Estimate","Henry County, Iowa!!Margin of Error","Howard County, Iowa!!Estimate","Howard County, Iowa!!Margin of Error","Humboldt County, Iowa!!Estimate","Humboldt County, Iowa!!Margin of Error","Ida County, Iowa!!Estimate","Ida County, Iowa!!Margin of Error","Iowa County, Iowa!!Estimate","Iowa County, Iowa!!Margin of Error","Jackson County, Iowa!!Estimate","Jackson County, Iowa!!Margin of Error","Jasper County, Iowa!!Estimate","Jasper County, Iowa!!Margin of Error","Jefferson County, Iowa!!Estimate","Jefferson County, Iowa!!Margin of Error","Johnson County, Iowa!!Estimate","Johnson County, Iowa!!Margin of Error","Jones County, Iowa!!Estimate","Jones County, Iowa!!Margin of Error","Keokuk County, Iowa!!Estimate","Keokuk County, Iowa!!Margin of Error","Kossuth County, Iowa!!Estimate","Kossuth County, Iowa!!Margin of Error","Lee County, Iowa!!Estimate","Lee County, Iowa!!Margin of Error","Linn County, Iowa!!Estimate","Linn County, Iowa!!Margin of Error","Louisa County, Iowa!!Estimate","Louisa County, Iowa!!Margin of Error","Lucas County, Iowa!!Estimate","Lucas County, Iowa!!Margin of Error","Lyon County, Iowa!!Estimate","Lyon County, Iowa!!Margin of Error","Madison County, Iowa!!Estimate","Madison County, Iowa!!Margin of Error","Mahaska County, Iowa!!Estimate","Mahaska County, Iowa!!Margin of Error","Marion County, Iowa!!Estimate","Marion County, Iowa!!Margin of Error","Marshall County, Iowa!!Estimate","Marshall County, Iowa!!Margin of Error","Mills County, Iowa!!Estimate","Mills County, Iowa!!Margin of Error","Mitchell County, Iowa!!Estimate","Mitchell County, Iowa!!Margin of Error","Monona County, Iowa!!Estimate","Monona County, Iowa!!Margin of Error","Monroe County, Iowa!!Estimate","Monroe County, Iowa!!Margin of Error","Montgomery County, Iowa!!Estimate","Montgomery County, Iowa!!Margin of Error","Muscatine County, Iowa!!Estimate","Muscatine County, Iowa!!Margin of Error","O'Brien County, Iowa!!Estimate","O'Brien County, Iowa!!Margin of Error","Osceola County, Iowa!!Estimate","Osceola County, Iowa!!Margin of Error","Page County, Iowa!!Estimate","Page County, Iowa!!Margin of Error","Palo Alto County, Iowa!!Estimate","Palo Alto County, Iowa!!Margin of Error","Plymouth County, Iowa!!Estimate","Plymouth County, Iowa!!Margin of Error","Pocahontas County, Iowa!!Estimate","Pocahontas County, Iowa!!Margin of Error","Polk County, Iowa!!Estimate","Polk County, Iowa!!Margin of Error","Pottawattamie County, Iowa!!Estimate","Pottawattamie County, Iowa!!Margin of Error","Poweshiek County, Iowa!!Estimate","Poweshiek County, Iowa!!Margin of Error","Ringgold County, Iowa!!Estimate","Ringgold County, Iowa!!Margin of Error","Sac County, Iowa!!Estimate","Sac County, Iowa!!Margin of Error","Scott County, Iowa!!Estimate","Scott County, Iowa!!Margin of Error","Shelby County, Iowa!!Estimate","Shelby County, Iowa!!Margin of Error","Sioux County, Iowa!!Estimate","Sioux County, Iowa!!Margin of Error","Story County, Iowa!!Estimate","Story County, Iowa!!Margin of Error","Tama County, Iowa!!Estimate","Tama County, Iowa!!Margin of Error","Taylor County, Iowa!!Estimate","Taylor County, Iowa!!Margin of Error","Union County, Iowa!!Estimate","Union County, Iowa!!Margin of Error","Van Buren County, Iowa!!Estimate","Van Buren County, Iowa!!Margin of Error","Wapello County, Iowa!!Estimate","Wapello County, Iowa!!Margin of Error","Warren County, Iowa!!Estimate","Warren County, Iowa!!Margin of Error","Washington County, Iowa!!Estimate","Washington County, Iowa!!Margin of Error","Wayne County, Iowa!!Estimate","Wayne County, Iowa!!Margin of Error","Webster County, Iowa!!Estimate","Webster County, Iowa!!Margin of Error","Winnebago County, Iowa!!Estimate","Winnebago County, Iowa!!Margin of Error","Winneshiek County, Iowa!!Estimate","Winneshiek County, Iowa!!Margin of Error","Woodbury County, Iowa!!Estimate","Woodbury County, Iowa!!Margin of Error","Worth County, Iowa!!Estimate","Worth County, Iowa!!Margin of Error","Wright County, Iowa!!Estimate","Wright County, Iowa!!Margin of Error"
"Total:","201","±50","164","±37","928","±217","366","±156","187","±48","837","±138","6,664","±873","1,029","±204","955","±144","517","±122","2,604","±573","387","±77","450","±84","1,069","±189","308","±105","840","±133","2,280","±287","813","±202","455","±290","703","±305","659","±178","581","±82","2,726","±408","2,985","±646","6,742","±864","269","±58","356","±99","731","±238","2,951","±421","853","±153","4,977","±559","726","±226","1,026","±214","1,029","±223","990","±231","450","±119","421","±101","228","±80","437","±78","1,117","±319","379","±131","565","±122","587","±104","1,160","±224","338","±106","359","±119","318","±92","672","±202","521","±106","1,604","±380","543","±162","12,096","±1,102","829","±226","319","±45","648","±238","1,536","±256","15,022","±1,206","858","±190","234","±110","495","±82","504","±143","955","±187","1,039","±186","5,513","±914","744","±130","197","±66","497","±64","211","±75","337","±120","3,405","±591","872","±251","619","±157","723","±157","399","±121","1,222","±249","377","±93","38,930","±2,437","6,525","±826","977","±249","138","±47","376","±113","14,978","±1,053","518","±148","2,391","±600","5,804","±725","1,691","±257","219","±53","371","±114","215","±47","3,175","±519","2,530","±335","1,181","±203","348","±111","2,918","±396","634","±131","897","±200","15,191","±1,034","269","±72","1,845","±388"
"    Male:","87","±35","72","±24","516","±160","190","±124","47","±24","327","±67","3,247","±445","570","±133","414","±89","279","±74","1,363","±324","161","±51","253","±65","579","±133","137","±71","361","±94","1,195","±226","266","±86","254","±239","445","±176","331","±147","229","±60","1,406","±285","1,505","±365","3,662","±562","173","±42","188","±63","365","±150","1,803","±363","535","±131","2,413","±367","364","±132","524","±157","563","±126","495","±147","243","±85","278","±86","128","±53","211","±58","759","±232","258","±94","272","±85","332","±63","562","±139","127","±52","200","±64","188","±66","398","±98","276","±74","995","±207","239","±77","6,246","±695","393","±148","249","±43","376","±138","775","±144","7,222","±780","443","±112","138","±64","281","±51","223","±81","396","±98","429","±128","2,929","±606","367","±78","78","±36","246","±46","112","±67","181","±80","1,657","±391","298","±93","447","±140","406","±129","174","±52","700","±158","186","±51","19,953","±1,415","3,322","±469","528","±165","44","±31","196","±77","8,059","±762","249","±86","1,346","±366","3,258","±529","819","±168","91","±32","223","±104","110","±30","1,464","±364","1,225","±256","604","±140","173","±56","1,744","±312","408","±121","616","±172","8,379","±693","195","±72","818","±203"
"        Under 18 years:","52","±26","35","±21","158","±81","88","±56","4","±6","162","±38","1,578","±302","219","±67","182","±57","90","±48","643","±235","65","±27","66","±17","224","±57","35","±32","171","±50","533","±146","100","±66","32","±36","222","±162","183","±113","100","±31","536","±154","506","±220","1,677","±365","67","±22","44","±22","185","±63","817","±229","201","±70","1,286","±226","124","±63","165","±64","340","±74","222","±66","90","±57","65","±49","32","±18","73","±37","398","±160","84","±57","78","±34","88","±30","183","±61","54","±36","95","±47","38","±21","143","±50","161","±56","430","±118","45","±27","2,422","±476","81","±60","65","±31","127","±61","324","±94","3,258","±492","104","±69","32","±24","178","±42","124","±61","232","±65","107","±55","1,215","±346","161","±54","43","±28","96","±36","41","±42","82","±76","488","±156","100","±50","128","±81","206","±88","129","±48","376","±123","72","±35","8,321","±790","1,231","±223","99","±42","5","±6","45","±22","3,472","±437","160","±69","618","±217","946","±219","294","±104","24","±4","49","±36","22","±20","454","±189","539","±116","225","±79","43","±38","756","±193","121","±59","229","±85","3,727","±395","33","±16","370","±144"
"            Native","52","±26","35","±21","131","±74","88","±56","4","±6","162","±38","1,556","±301","219","±67","182","±57","82","±47","643","±235","65","±27","66","±17","224","±57","35","±32","171","±50","533","±146","100","±66","32","±36","222","±162","183","±113","100","±31","536","±154","499","±223","1,589","±372","53","±19","44","±22","185","±63","817","±229","201","±70","1,236","±226","124","±63","165","±64","340","±74","206","±60","90","±57","65","±49","32","±18","62","±38","398","±160","84","±57","78","±34","88","±30","183","±61","54","±36","68","±45","38","±21","143","±50","161","±56","178","±87","45","±27","2,324","±470","81","±60","65","±31","127","±61","306","±91","3,199","±485","104","±69","32","±24","178","±42","124","±61","232","±65","107","±55","1,215","±346","161","±54","43","±28","96","±36","41","±42","82","±76","488","±156","92","±49","128","±81","206","±88","129","±48","376","±123","72","±35","8,147","±786","1,195","±227","99","±42","5","±6","41","±22","3,472","±437","160","±69","397","±196","946","±219","294","±104","24","±4","49","±36","22","±20","454","±189","539","±116","225","±79","43","±38","605","±205","121","±59","225","±85","3,488","±375","33","±16","348","±145"
"            Foreign-born:","0","±15","0","±10","27","±43","0","±16","0","±15","0","±19","22","±28","0","±19","0","±19","8","±14","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","0","±22","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","7","±11","88","±129","14","±15","0","±15","0","±16","0","±22","0","±16","50","±64","0","±15","0","±16","0","±16","16","±21","0","±15","0","±15","0","±16","11","±14","0","±16","0","±16","0","±16","0","±16","0","±19","0","±15","27","±37","0","±15","0","±16","0","±16","252","±98","0","±16","98","±117","0","±19","0","±15","0","±16","18","±30","59","±60","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","0","±22","0","±16","0","±16","0","±15","0","±15","0","±16","0","±22","8","±12","0","±15","0","±16","0","±15","0","±19","0","±15","174","±111","36","±44","0","±16","0","±10","4","±6","0","±24","0","±16","221","±180","0","±24","0","±16","0","±15","0","±16","0","±15","0","±22","0","±24","0","±19","0","±15","151","±117","0","±16","4","±8","239","±120","0","±15","22","±29"
"                Naturalized U.S. citizen","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","0","±24","0","±19","0","±19","0","±19","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","0","±22","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","0","±16","0","±24","0","±15","0","±15","0","±16","0","±22","0","±16","0","±24","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","0","±16","0","±16","0","±19","0","±15","0","±15","0","±15","0","±16","0","±16","0","±22","0","±16","0","±24","0","±19","0","±15","0","±16","18","±30","0","±24","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","0","±22","0","±16","0","±16","0","±15","0","±15","0","±16","0","±22","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","22","±27","36","±44","0","±16","0","±10","4","±6","0","±24","0","±16","172","±136","0","±24","0","±16","0","±15","0","±16","0","±15","0","±22","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","28","±51","0","±15","22","±29"
"                Not a U.S. citizen","0","±15","0","±10","27","±43","0","±16","0","±15","0","±19","22","±28","0","±19","0","±19","8","±14","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","0","±22","0","±16","0","±16","0","±15","0","±16","0","±16","0","±22","7","±11","88","±129","14","±15","0","±15","0","±16","0","±22","0","±16","50","±64","0","±15","0","±16","0","±16","16","±21","0","±15","0","±15","0","±16","11","±14","0","±16","0","±16","0","±16","0","±16","0","±19","0","±15","27","±37","0","±15","0","±16","0","±16","252","±98","0","±16","98","±117","0","±19","0","±15","0","±16","0","±22","59","±60","0","±16","0","±15","0","±16","0","±16","0","±19","0","±22","0","±22","0","±16","0","±16","0","±15","0","±15","0","±16","0","±22","8","±12","0","±15","0","±16","0","±15","0","±19","0","±15","152","±105","0","±24","0","±16","0","±10","0","±15","0","±24","0","±16","49","±49","0","±24","0","±16","0","±15","0","±16","0","±15","0","±22","0","±24","0","±19","0","±15","151","±117","0","±16","4","±8","211","±123","0","±15","0","±16"
"        18 years and over:","35","±20","37","±21","358","±99","102","±81","43","±25","165","±48","1,669","±256","351","±111","232","±72","189","±61","720","±182","96","±35","187","±63","355","±117","102","±55","190","±70","662","±131","166","±66","222","±229","223","±87","148","±77","129","±47","870","±209","999","±231","1,985","±388","106","±37","144","±58","180","±110","986","±276","334","±99","1,127","±218","240","±115","359","±138","223","±87","273","±110","153","±48","213","±69","96","±47","138","±44","361","±116","174","±67","194","±71","244","±52","379","±121","73","±32","105","±48","150","±60","255","±87","115","±56","565","±132","194","±81","3,824","±472","312","±138","184","±43","249","±95","451","±107","3,964","±519","339","±74","106","±53","103","±32","99","±37","164","±50","322","±106","1,714","±338","206","±87","35","±18","150","±46","71","±56","99","±27","1,169","±312","198","±76","319","±89","200","±97","45","±18","324","±107","114","±38","11,632","±1,043","2,091","±338","429","±158","39","±27","151","±74","4,587","±513","89","±47","728","±210","2,312","±434","525","±94","67","±32","174","±83","88","±23","1,010","±256","686","±206","379","±102","130","±50","988","±186","287","±101","387","±126","4,652","±482","162","±68","448","±99"
"            Native","35","±20","37","±21","208","±87","70","±51","18","±16","158","±49","1,443","±205","345","±111","232","±72","189","±61","169","±64","67","±34","182","±64","304","±109","96","±52","179","±71","601","±136","61","±39","152","±98","223","±87","147","±77","77","±40","790","±197","491","±181","1,623","±363","106","±37","139","±57","179","±108","912","±272","271","±95","927","±188","182","±92","312","±136","220","±86","150","±92","94","±42","205","±70","38","±29","74","±29","167","±61","148","±62","118","±48","229","±49","364","±118","35","±21","84","±42","144","±59","248","±90","108","±56","535","±131","148","±56","3,224","±440","173","±58","169","±44","148","±66","410","±90","3,553","±500","220","±59","87","±36","68","±30","99","±37","156","±47","297","±102","918","±251","205","±86","35","±18","110","±52","71","±56","99","±27","876","±253","72","±66","84","±51","194","±94","37","±15","260","±99","90","±32","8,089","±850","1,368","±262","412","±154","32","±22","127","±73","4,025","±520","79","±42","267","±99","1,797","±329","229","±64","36","±19","124","±71","88","±23","597","±191","581","±197","184","±79","125","±50","767","±170","235","±88","242","±104","2,511","±371","162","±68","305","±67"
"            Foreign-born:","0","±15","0","±10","150","±50","32","±59","25","±19","7","±9","226","±160","6","±13","0","±19","0","±19","551","±178","29","±18","5","±9","51","±38","6","±14","11","±17","61","±48","105","±52","70","±166","0","±15","1","±2","52","±37","80","±54","508","±146","362","±146","0","±15","5","±11","1","±5","74","±77","63","±58","200","±93","58","±53","47","±43","3","±5","123","±102","59","±32","8","±10","58","±39","64","±34","194","±108","26","±32","76","±46","15","±14","15","±21","38","±25","21","±25","6","±7","7","±13","7","±11","30","±34","46","±53","600","±221","139","±142","15","±12","101","±70","41","±52","411","±192","119","±52","19","±26","35","±23","0","±16","8","±18","25","±28","796","±225","1","±3","0","±16","40","±33","0","±15","0","±16","293","±187","126","±84","235","±92","6","±13","8","±10","64","±44","24","±18","3,543","±660","723","±189","17","±21","7","±11","24","±24","562","±237","10","±14","461","±179","515","±284","296","±88","31","±29","50","±46","0","±15","413","±182","105","±97","195","±94","5","±7","221","±103","52","±48","145","±56","2,141","±396","0","±15","143","±80"
