"Label (Grouping)","Adair County, Iowa!!Estimate","Adair County, Iowa!!Margin of Error","Adams County, Iowa!!Estimate","Adams County, Iowa!!Margin of Error","Allamakee County, Iowa!!Estimate","Allamakee County, Iowa!!Margin of Error","Appanoose County, Iowa!!Estimate","Appanoose County, Iowa!!Margin of Error","Audubon County, Iowa!!Estimate","Audubon County, Iowa!!Margin of Error","Benton County, Iowa!!Estimate","Benton County, Iowa!!Margin of Error","Black Hawk County, Iowa!!Estimate","Black Hawk County, Iowa!!Margin of Error","Boone County, Iowa!!Estimate","Boone County, Iowa!!Margin of Error","Bremer County, Iowa!!Estimate","Bremer County, Iowa!!Margin of Error","Buchanan County, Iowa!!Estimate","Buchanan County, Iowa!!Margin of Error","Buena Vista County, Iowa!!Estimate","Buena Vista County, Iowa!!Margin of Error","Butler County, Iowa!!Estimate","Butler County, Iowa!!Margin of Error","Calhoun County, Iowa!!Estimate","Calhoun County, Iowa!!Margin of Error","Carroll County, Iowa!!Estimate","Carroll County, Iowa!!Margin of Error","Cass County, Iowa!!Estimate","Cass County, Iowa!!Margin of Error","Cedar County, Iowa!!Estimate","Cedar County, Iowa!!Margin of Error","Cerro Gordo County, Iowa!!Estimate","Cerro Gordo County, Iowa!!Margin of Error","Cherokee County, Iowa!!Estimate","Cherokee County, Iowa!!Margin of Error","Chickasaw County, Iowa!!Estimate","Chickasaw County, Iowa!!Margin of Error","Clarke County, Iowa!!Estimate","Clarke County, Iowa!!Margin of Error","Clay County, Iowa!!Estimate","Clay County, Iowa!!Margin of Error","Clayton County, Iowa!!Estimate","Clayton County, Iowa!!Margin of Error","Clinton County, Iowa!!Estimate","Clinton County, Iowa!!Margin of Error","Crawford County, Iowa!!Estimate","Crawford County, Iowa!!Margin of Error","Dallas County, Iowa!!Estimate","Dallas County, Iowa!!Margin of Error","Davis County, Iowa!!Estimate","Davis County, Iowa!!Margin of Error","Decatur County, Iowa!!Estimate","Decatur County, Iowa!!Margin of Error","Delaware County, Iowa!!Estimate","Delaware County, Iowa!!Margin of Error","Des Moines County, Iowa!!Estimate","Des Moines County, Iowa!!Margin of Error","Dickinson County, Iowa!!Estimate","Dickinson County, Iowa!!Margin of Error","Dubuque County, Iowa!!Estimate","Dubuque County, Iowa!!Margin of Error","Emmet County, Iowa!!Estimate","Emmet County, Iowa!!Margin of Error","Fayette County, Iowa!!Estimate","Fayette County, Iowa!!Margin of Error","Floyd County, Iowa!!Estimate","Floyd County, Iowa!!Margin of Error","Franklin County, Iowa!!Estimate","Franklin County, Iowa!!Margin of Error","Fremont County, Iowa!!Estimate","Fremont County, Iowa!!Margin of Error","Greene County, Iowa!!Estimate","Greene County, Iowa!!Margin of Error","Grundy County, Iowa!!Estimate","Grundy County, Iowa!!Margin of Error","Guthrie County, Iowa!!Estimate","Guthrie County, Iowa!!Margin of Error","Hamilton County, Iowa!!Estimate","Hamilton County, Iowa!!Margin of Error","Hancock County, Iowa!!Estimate","Hancock County, Iowa!!Margin of Error","Hardin County, Iowa!!Estimate","Hardin County, Iowa!!Margin of Error","Harrison County, Iowa!!Estimate","Harrison County, Iowa!!Margin of Error","Henry County, Iowa!!Estimate","Henry County, Iowa!!Margin of Error","Howard County, Iowa!!Estimate","Howard County, Iowa!!Margin of Error","Humboldt County, Iowa!!Estimate","Humboldt County, Iowa!!Margin of Error","Ida County, Iowa!!Estimate","Ida County, Iowa!!Margin of Error","Iowa County, Iowa!!Estimate","Iowa County, Iowa!!Margin of Error","Jackson County, Iowa!!Estimate","Jackson County, Iowa!!Margin of Error","Jasper County, Iowa!!Estimate","Jasper County, Iowa!!Margin of Error","Jefferson County, Iowa!!Estimate","Jefferson County, Iowa!!Margin of Error","Johnson County, Iowa!!Estimate","Johnson County, Iowa!!Margin of Error","Jones County, Iowa!!Estimate","Jones County, Iowa!!Margin of Error","Keokuk County, Iowa!!Estimate","Keokuk County, Iowa!!Margin of Error","Kossuth County, Iowa!!Estimate","Kossuth County, Iowa!!Margin of Error","Lee County, Iowa!!Estimate","Lee County, Iowa!!Margin of Error","Linn County, Iowa!!Estimate","Linn County, Iowa!!Margin of Error","Louisa County, Iowa!!Estimate","Louisa County, Iowa!!Margin of Error","Lucas County, Iowa!!Estimate","Lucas County, Iowa!!Margin of Error","Lyon County, Iowa!!Estimate","Lyon County, Iowa!!Margin of Error","Madison County, Iowa!!Estimate","Madison County, Iowa!!Margin of Error","Mahaska County, Iowa!!Estimate","Mahaska County, Iowa!!Margin of Error","Marion County, Iowa!!Estimate","Marion County, Iowa!!Margin of Error","Marshall County, Iowa!!Estimate","Marshall County, Iowa!!Margin of Error","Mills County, Iowa!!Estimate","Mills County, Iowa!!Margin of Error","Mitchell County, Iowa!!Estimate","Mitchell County, Iowa!!Margin of Error","Monona County, Iowa!!Estimate","Monona County, Iowa!!Margin of Error","Monroe County, Iowa!!Estimate","Monroe County, Iowa!!Margin of Error","Montgomery County, Iowa!!Estimate","Montgomery County, Iowa!!Margin of Error","Muscatine County, Iowa!!Estimate","Muscatine County, Iowa!!Margin of Error","O'Brien County, Iowa!!Estimate","O'Brien County, Iowa!!Margin of Error","Osceola County, Iowa!!Estimate","Osceola County, Iowa!!Margin of Error","Page County, Iowa!!Estimate","Page County, Iowa!!Margin of Error","Palo Alto County, Iowa!!Estimate","Palo Alto County, Iowa!!Margin of Error","Plymouth County, Iowa!!Estimate","Plymouth County, Iowa!!Margin of Error","Pocahontas County, Iowa!!Estimate","Pocahontas County, Iowa!!Margin of Error","Polk County, Iowa!!Estimate","Polk County, Iowa!!Margin of Error","Pottawattamie County, Iowa!!Estimate","Pottawattamie County, Iowa!!Margin of Error","Poweshiek County, Iowa!!Estimate","Poweshiek County, Iowa!!Margin of Error","Ringgold County, Iowa!!Estimate","Ringgold County, Iowa!!Margin of Error","Sac County, Iowa!!Estimate","Sac County, Iowa!!Margin of Error","Scott County, Iowa!!Estimate","Scott County, Iowa!!Margin of Error","Shelby County, Iowa!!Estimate","Shelby County, Iowa!!Margin of Error","Sioux County, Iowa!!Estimate","Sioux County, Iowa!!Margin of Error","Story County, Iowa!!Estimate","Story County, Iowa!!Margin of Error","Tama County, Iowa!!Estimate","Tama County, Iowa!!Margin of Error","Taylor County, Iowa!!Estimate","Taylor County, Iowa!!Margin of Error","Union County, Iowa!!Estimate","Union County, Iowa!!Margin of Error","Van Buren County, Iowa!!Estimate","Van Buren County, Iowa!!Margin of Error","Wapello County, Iowa!!Estimate","Wapello County, Iowa!!Margin of Error","Warren County, Iowa!!Estimate","Warren County, Iowa!!Margin of Error","Washington County, Iowa!!Estimate","Washington County, Iowa!!Margin of Error","Wayne County, Iowa!!Estimate","Wayne County, Iowa!!Margin of Error","Webster County, Iowa!!Estimate","Webster County, Iowa!!Margin of Error","Winnebago County, Iowa!!Estimate","Winnebago County, Iowa!!Margin of Error","Winneshiek County, Iowa!!Estimate","Winneshiek County, Iowa!!Margin of Error","Woodbury County, Iowa!!Estimate","Woodbury County, Iowa!!Margin of Error","Worth County, Iowa!!Estimate","Worth County, Iowa!!Margin of Error","Wright County, Iowa!!Estimate","Wright County, Iowa!!Margin of Error"
"Total:","6,942","±46","3,422","±24","12,193","±115","11,423","±52","5,254","±47","24,293","±106","102,297","±341","24,771","±134","23,256","±196","19,649","±54","10,808","±112","13,493","±69","8,954","±56","18,932","±131","12,244","±46","17,095","±99","37,619","±100","10,280","±143","10,930","±87","7,488","±110","14,994","±106","16,154","±50","41,188","±185","10,106","±39","87,326","±577","8,592","±140","6,997","±58","16,514","±245","32,523","±233","16,795","±81","87,398","±342","7,893","±113","17,555","±170","13,594","±198","7,987","±57","5,955","±110","8,019","±60","11,749","±87","9,880","±62","12,471","±48","9,618","±84","14,984","±52","13,813","±67","17,245","±161","8,782","±63","8,667","±63","6,324","±61","15,270","±213","18,158","±113","34,444","±312","12,941","±97","117,191","±421","19,126","±174","9,387","±29","13,315","±134","29,696","±87","189,409","±661","8,220","±44","8,192","±67","11,356","±23","15,953","±84","20,161","±98","31,393","±98","26,461","±189","13,503","±48","10,061","±34","7,944","±18","7,121","±23","9,392","±78","31,908","±188","12,288","±139","5,126","±48","13,662","±70","8,088","±93","22,664","±69","6,242","±31","368,110","±948","78,988","±308","16,653","±217","4,397","±10","8,899","±52","134,498","±561","10,751","±91","29,982","±112","81,361","±441","13,220","±34","5,215","±36","11,018","±60","6,833","±69","26,750","±115","50,017","±216","20,008","±70","6,122","±88","30,940","±163","9,415","±63","18,533","±87","71,279","±382","6,857","±12","9,662","±134"
"    Male:","3,486","±27","1,715","±16","6,191","±85","5,704","±21","2,603","±20","12,278","±37","50,404","±161","12,587","±63","11,554","±145","9,829","±34","5,428","±32","6,717","±47","4,589","±37","9,409","±102","6,035","±23","8,506","±77","18,352","±45","5,189","±56","5,509","±50","3,751","±80","7,420","±52","8,209","±11","20,288","±144","5,086","±22","42,856","±389","4,339","±69","3,457","±41","8,394","±132","15,901","±185","8,352","±72","43,238","±212","4,013","±54","8,780","±118","6,764","±93","4,053","±12","2,961","±80","4,005","±27","5,888","±24","4,957","±30","6,259","±37","4,842","±43","7,437","±29","6,997","±32","8,796","±106","4,453","±23","4,297","±42","3,164","±30","7,758","±81","9,148","±60","17,690","±145","6,569","±10","57,615","±346","9,970","±75","4,776","±10","6,754","±40","14,772","±57","93,190","±405","4,125","±25","4,178","±37","5,770","±22","8,040","±23","10,238","±49","15,748","±46","13,092","±118","6,754","±32","5,060","±17","3,897","±8","3,577","±12","4,575","±67","15,808","±164","6,210","±59","2,564","±45","7,094","±31","4,063","±39","11,445","±26","3,114","±17","181,099","±475","38,858","±176","8,115","±151","2,206","±5","4,461","±22","66,319","±387","5,317","±41","14,989","±39","41,889","±352","6,634","±18","2,649","±25","5,365","±34","3,493","±36","13,300","±65","24,710","±157","9,928","±44","3,107","±31","15,823","±105","4,668","±48","9,241","±75","35,380","±159","3,506","±4","4,891","±82"
"        Under 18 years:","770","±11","375","±4","1,417","±19","1,244","±21","571","±6","2,759","±21","9,450","±94","2,564","±27","2,561","±98","2,479","±13","1,020","±8","1,558","±14","986","±4","2,360","±26","1,354","±12","1,770","±54","3,589","±16","1,084","±35","1,242","±2","834","±53","1,628","±16","1,726","±5","4,433","±34","930","±4","10,741","±265","1,332","±24","811","±10","1,905","±77","3,276","±22","1,562","±6","9,031","±120","645","±49","1,893","±35","1,496","±27","871","±4","621","±55","882","±17","1,353","±8","1,045","±18","1,359","±10","1,009","±12","1,325","±5","1,617","±13","1,757","±34","1,098","±8","976","±13","768","±13","1,777","±60","1,945","±33","3,751","±74","1,075","±6","9,904","±144","1,982","±46","1,077","±15","1,503","±16","3,126","±22","18,928","±241","852","±16","971","±17","1,567","±8","1,983","±12","2,352","±22","3,610","±14","2,584","±42","1,554","±16","1,217","±5","823","±15","820","±15","983","±51","3,337","±35","1,370","±42","517","±19","1,221","±16","875","±38","2,701","±17","665","±7","38,156","±239","8,463","±49","1,652","±23","542","±10","991","±8","13,749","±147","1,173","±20","3,715","±23","6,193","±145","1,373","±16","595","±16","1,216","±16","863","±3","2,742","±40","6,010","±55","2,334","±19","812","±11","2,966","±99","984","±16","1,719","±15","7,430","±59","731","±15","1,015","±41"
"            Native","770","±11","375","±4","1,417","±19","1,244","±21","571","±6","2,759","±21","9,450","±94","2,564","±27","2,561","±98","2,479","±13","1,020","±8","1,558","±14","986","±4","2,360","±26","1,354","±12","1,770","±54","3,589","±16","1,084","±35","1,242","±2","834","±53","1,628","±16","1,726","±5","4,411","±51","930","±4","10,604","±278","1,332","±24","811","±10","1,905","±77","3,276","±22","1,562","±6","9,027","±120","645","±49","1,893","±35","1,496","±27","871","±4","621","±55","882","±17","1,353","±8","1,045","±18","1,355","±11","1,009","±12","1,325","±5","1,617","±13","1,757","±34","1,098","±8","976","±13","768","±13","1,777","±60","1,940","±36","3,751","±74","1,075","±6","9,817","±146","1,982","±46","1,077","±15","1,503","±16","3,106","±32","18,915","±243","852","±16","969","±18","1,567","±8","1,983","±12","2,325","±44","3,589","±24","2,540","±80","1,554","±16","1,217","±5","823","±15","820","±15","983","±51","3,326","±41","1,370","±42","517","±19","1,221","±16","875","±38","2,701","±17","665","±7","38,155","±238","8,463","±49","1,652","±23","542","±10","991","±8","13,602","±197","1,173","±20","3,714","±23","6,130","±165","1,373","±16","595","±16","1,216","±16","863","±3","2,739","±42","6,010","±55","2,327","±12","812","±11","2,966","±99","984","±16","1,719","±15","7,423","±61","731","±15","1,015","±41"
"            Foreign-born:","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","0","±24","0","±19","0","±19","0","±19","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","0","±22","0","±16","0","±16","0","±15","0","±16","0","±16","22","±36","0","±16","137","±104","0","±15","0","±15","0","±16","0","±22","0","±16","4","±7","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","4","±7","0","±16","0","±16","0","±16","0","±19","0","±15","0","±15","0","±15","0","±16","5","±8","0","±22","0","±16","87","±62","0","±19","0","±15","0","±16","20","±32","13","±28","0","±16","2","±5","0","±16","0","±16","27","±37","21","±21","44","±62","0","±16","0","±16","0","±15","0","±15","0","±16","11","±19","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","1","±2","0","±24","0","±16","0","±10","0","±15","147","±153","0","±16","1","±4","63","±72","0","±16","0","±15","0","±16","0","±15","3","±5","0","±24","7","±12","0","±15","0","±22","0","±16","0","±16","7","±15","0","±15","0","±16"
"                Naturalized U.S. citizen","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","0","±24","0","±19","0","±19","0","±19","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","0","±22","0","±16","0","±16","0","±15","0","±16","0","±16","10","±17","0","±16","71","±82","0","±15","0","±15","0","±16","0","±22","0","±16","4","±7","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","0","±16","0","±16","0","±16","0","±16","0","±19","0","±15","0","±15","0","±15","0","±16","0","±16","0","±22","0","±16","46","±50","0","±19","0","±15","0","±16","0","±22","13","±28","0","±16","0","±15","0","±16","0","±16","27","±37","0","±22","0","±22","0","±16","0","±16","0","±15","0","±15","0","±16","0","±22","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","1","±2","0","±24","0","±16","0","±10","0","±15","0","±24","0","±16","0","±22","0","±24","0","±16","0","±15","0","±16","0","±15","3","±5","0","±24","0","±19","0","±15","0","±22","0","±16","0","±16","0","±24","0","±15","0","±16"
"                Not a U.S. citizen","0","±15","0","±10","0","±16","0","±16","0","±15","0","±19","0","±24","0","±19","0","±19","0","±19","0","±19","0","±16","0","±15","0","±19","0","±16","0","±16","0","±22","0","±16","0","±16","0","±15","0","±16","0","±16","12","±19","0","±16","66","±57","0","±15","0","±15","0","±16","0","±22","0","±16","0","±24","0","±15","0","±16","0","±16","0","±15","0","±15","0","±15","0","±16","0","±16","4","±7","0","±16","0","±16","0","±16","0","±19","0","±15","0","±15","0","±15","0","±16","5","±8","0","±22","0","±16","41","±37","0","±19","0","±15","0","±16","20","±32","0","±24","0","±16","2","±5","0","±16","0","±16","0","±19","21","±21","44","±62","0","±16","0","±16","0","±15","0","±15","0","±16","11","±19","0","±16","0","±15","0","±16","0","±15","0","±19","0","±15","0","±24","0","±24","0","±16","0","±10","0","±15","147","±153","0","±16","1","±4","63","±72","0","±16","0","±15","0","±16","0","±15","0","±22","0","±24","7","±12","0","±15","0","±22","0","±16","0","±16","7","±15","0","±15","0","±16"
"        18 years and over:","2,716","±20","1,340","±15","4,774","±74","4,460","±3","2,032","±20","9,519","±27","40,954","±94","10,023","±42","8,993","±68","7,350","±26","4,408","±30","5,159","±41","3,603","±36","7,049","±97","4,681","±21","6,736","±46","14,763","±43","4,105","±31","4,267","±49","2,917","±76","5,792","±46","6,483","±8","15,855","±131","4,156","±21","32,115","±191","3,007","±57","2,646","±37","6,489","±72","12,625","±185","6,790","±72","34,207","±138","3,368","±12","6,887","±111","5,268","±72","3,182","±9","2,340","±30","3,123","±20","4,535","±21","3,912","±23","4,900","±32","3,833","±34","6,112","±27","5,380","±26","7,039","±91","3,355","±21","3,321","±37","2,396","±24","5,981","±33","7,203","±41","13,939","±82","5,494","±10","47,711","±307","7,988","±38","3,699","±10","5,251","±40","11,646","±57","74,262","±234","3,273","±25","3,207","±25","4,203","±15","6,057","±17","7,886","±29","12,138","±42","10,508","±97","5,200","±32","3,843","±14","3,074","±8","2,757","±12","3,592","±33","12,471","±136","4,840","±39","2,047","±36","5,873","±23","3,188","±11","8,744","±17","2,449","±15","142,943","±326","30,395","±159","6,463","±145","1,664","±5","3,470","±17","52,570","±322","4,144","±23","11,274","±24","35,696","±292","5,261","±18","2,054","±11","4,149","±34","2,630","±36","10,558","±52","18,700","±137","7,594","±44","2,295","±26","12,857","±31","3,684","±48","7,522","±73","27,950","±124","2,775","±4","3,876","±62"
"            Native","2,691","±36","1,340","±15","4,696","±86","4,452","±10","2,032","±20","9,504","±32","40,054","±248","9,988","±60","8,960","±79","7,327","±33","4,393","±31","5,132","±48","3,593","±39","7,043","±98","4,667","±25","6,735","±46","14,701","±71","4,095","±35","4,266","±49","2,908","±76","5,754","±62","6,468","±14","15,723","±154","4,154","±21","30,985","±338","2,999","±57","2,636","±37","6,489","±72","12,523","±199","6,764","±74","33,901","±155","3,335","±39","6,868","±109","5,239","±90","3,121","±49","2,340","±30","3,121","±20","4,507","±24","3,910","±23","4,887","±37","3,815","±38","6,051","±46","5,378","±26","7,004","±93","3,355","±21","3,306","±45","2,396","±24","5,975","±34","7,193","±46","13,748","±159","5,017","±167","46,485","±366","7,969","±48","3,687","±15","5,247","±39","11,568","±102","73,246","±421","3,261","±30","3,160","±46","4,193","±21","6,020","±54","7,802","±66","11,984","±86","10,382","±107","5,183","±38","3,843","±14","3,072","±9","2,757","±12","3,580","±34","12,390","±157","4,774","±61","2,047","±36","5,853","±38","3,182","±18","8,715","±28","2,437","±22","140,230","±630","30,205","±185","6,399","±155","1,664","±5","3,464","±19","51,880","±387","4,141","±24","11,150","±72","34,782","±381","5,258","±20","2,054","±11","4,146","±34","2,610","±40","10,455","±78","18,581","±157","7,511","±70","2,288","±27","12,842","±33","3,680","±48","7,466","±81","27,792","±143","2,775","±4","3,871","±62"
"            Foreign-born:","25","±30","0","±10","78","±49","8","±11","0","±15","15","±16","900","±231","35","±36","33","±31","23","±24","15","±13","27","±28","10","±13","6","±7","14","±13","1","±2","62","±53","10","±14","1","±2","9","±11","38","±37","15","±10","132","±98","2","±3","1,130","±291","8","±13","10","±12","0","±16","102","±67","26","±21","306","±110","33","±38","19","±18","29","±49","61","±49","0","±15","2","±4","28","±18","2","±4","13","±17","18","±16","61","±39","2","±3","35","±28","0","±15","15","±25","0","±15","6","±9","10","±17","191","±136","477","±168","1,226","±375","19","±26","12","±9","4","±4","78","±70","1,016","±360","12","±14","47","±39","10","±15","37","±52","84","±61","154","±77","126","±65","17","±20","0","±16","2","±3","0","±15","12","±12","81","±74","66","±51","0","±15","20","±29","6","±13","29","±23","12","±12","2,713","±456","190","±98","64","±40","0","±10","6","±7","690","±210","3","±5","124","±69","914","±248","3","±7","0","±15","3","±6","20","±19","103","±57","119","±68","83","±55","7","±10","15","±12","4","±7","56","±36","158","±72","0","±15","5","±7"
