County,White (Not Hispanic) - Estimate,White (Not Hispanic) - Margin of Error,Black - Estimate,Black - Margin of Error,American Indian - Estimate,American Indian - Margin of Error,Asian - Estimate,Asian - Margin of Error,Native Hawaiian - Estimate,Native Hawaiian - Margin of Error,Other - Estimate,Other - Margin of Error,Multi Race - Estimate,Multi Race - Margin of Error,Hispanic - Estimate,Hispanic - Margin of Error
Adair,6942,46,115,16,13,25,23,16,5,11,62,42,201,50,235,*****
Adams,3422,24,11,10,8,15,0,10,0,10,5,7,164,37,63,*****
Allamakee,12193,115,257,49,124,115,57,33,0,16,310,153,928,217,1289,*****
Appanoose,11423,52,100,93,3,7,111,39,0,16,0,16,366,156,249,135
Audubon,5254,47,28,31,10,14,3,13,14,18,64,51,187,48,140,*****
Benton,24293,106,107,42,26,27,60,33,0,19,319,98,837,138,507,*****
Black Hawk,102297,341,12135,599,382,226,3565,259,964,33,3191,562,6664,873,6861,*****
Boone,24771,134,307,91,11,10,53,24,0,19,169,120,1029,204,783,*****
Bremer,23256,196,289,69,12,14,226,60,8,12,382,176,955,144,528,*****
Buchanan,19649,54,124,85,58,54,40,24,13,13,80,56,517,122,400,*****
Buena Vista,10808,112,679,80,85,76,1982,145,608,42,2338,638,2604,573,6094,*****
Butler,13493,69,24,25,7,8,179,34,0,16,122,68,387,77,249,*****
Calhoun,8954,56,158,52,17,15,22,14,0,15,130,65,450,84,266,*****
Carroll,18932,131,139,98,22,23,39,46,0,19,191,111,1069,189,720,*****
Cass,12244,46,118,22,43,50,68,22,54,61,121,97,308,105,357,*****
Cedar,17095,99,79,53,13,15,96,59,10,17,73,57,840,133,507,*****
Cerro Gordo,37619,100,987,235,77,48,499,95,267,22,291,105,2280,287,2397,*****
Cherokee,10280,143,202,135,0,16,43,55,0,16,148,90,813,202,621,*****
Chickasaw,10930,87,64,38,46,47,2,5,2,5,84,269,455,290,545,*****
Clarke,7488,110,5,11,97,155,54,35,0,15,1022,446,703,305,1624,*****
Clay,14994,106,45,48,26,27,124,64,0,16,322,262,659,178,781,*****
Clayton,16154,50,112,66,10,9,56,23,0,16,95,52,581,82,394,*****
Clinton,41188,185,1434,247,126,86,310,100,0,22,279,140,2726,408,1668,*****
Crawford,10106,39,152,107,117,105,357,61,0,16,1861,592,2985,646,5019,*****
Dallas,87326,577,3189,394,186,136,5263,371,32,42,1949,588,6742,864,7453,*****
Davis,8592,140,0,15,15,22,1,3,0,15,230,153,269,58,223,*****
Decatur,6997,58,102,38,16,16,56,30,1,3,107,54,356,99,274,*****
Delaware,16514,245,13,20,188,123,0,16,0,16,90,84,731,238,301,*****
Des Moines,32523,233,1830,282,126,93,464,139,1,3,225,159,2951,421,1415,*****
Dickinson,16795,81,6,5,10,18,83,56,0,16,73,57,853,153,513,*****
Dubuque,87398,342,2932,339,39,29,1354,153,802,46,876,245,4977,559,3234,*****
Emmet,7893,113,152,61,6,11,21,22,5,11,282,171,726,226,942,*****
Fayette,17555,170,153,59,69,47,177,62,1,3,78,44,1026,214,593,*****
Floyd,13594,198,211,58,8,10,247,25,10,18,29,34,1029,223,595,*****
Franklin,7987,57,67,65,29,30,36,41,0,15,498,212,990,231,1642,*****
Fremont,5955,110,39,33,5,7,10,14,0,15,20,20,450,119,219,*****
Greene,8019,60,10,15,23,25,55,23,0,15,43,38,421,101,307,*****
Grundy,11749,87,71,31,58,40,59,10,0,16,191,94,228,80,219,*****
Guthrie,9880,62,60,44,15,11,50,26,27,32,168,63,437,78,331,*****
Hamilton,12471,48,144,45,49,34,338,101,21,41,347,253,1117,319,1510,*****
Hancock,9618,84,48,40,11,16,133,73,0,16,130,88,379,131,635,*****
Hardin,14984,52,180,67,152,85,149,34,0,16,433,131,565,122,911,*****
Harrison,13813,67,18,18,9,15,43,29,0,16,93,59,587,104,328,*****
Henry,17245,161,510,76,106,87,205,110,7,13,379,145,1160,224,1109,*****
Howard,8782,63,79,47,23,16,31,17,0,15,174,92,338,106,312,*****
Humboldt,8667,63,32,30,16,19,98,76,70,86,278,119,359,119,551,*****
Ida,6324,61,23,27,32,42,46,37,0,15,97,41,318,92,286,*****
Iowa,15270,213,54,40,15,16,40,42,0,16,193,157,672,202,564,*****
Jackson,18158,113,189,110,13,19,22,28,90,121,135,95,521,106,306,*****
Jasper,34444,312,583,131,32,22,281,76,65,101,583,180,1604,380,1177,*****
Jefferson,12941,97,399,64,123,138,1285,65,0,16,102,61,543,162,644,*****
Johnson,117191,421,12059,589,273,107,8849,488,31,32,3677,614,12096,1102,10554,*****
Jones,19126,174,514,56,17,15,128,13,0,19,207,153,829,226,543,*****
Keokuk,9387,29,26,19,9,10,20,16,0,15,97,44,319,45,233,*****
Kossuth,13315,134,104,54,19,20,60,15,8,9,248,199,648,238,654,*****
Lee,29696,87,815,142,35,29,185,71,21,33,348,135,1536,256,1145,*****
Linn,189409,661,13735,865,507,221,5504,395,53,61,2821,670,15022,1206,9482,*****
Louisa,8220,44,110,74,67,51,231,79,0,16,983,181,858,190,1754,*****
Lucas,8192,67,25,14,1,2,73,35,0,15,168,100,234,110,255,*****
Lyon,11356,23,43,25,19,20,59,26,4,7,146,59,495,82,470,*****
Madison,15953,84,149,56,16,25,76,49,8,14,72,51,504,143,383,*****
Mahaska,20161,98,293,83,18,23,229,83,65,76,151,79,955,187,550,*****
Marion,31393,98,141,68,12,12,473,94,0,22,217,142,1039,186,773,*****
Marshall,26461,189,824,295,506,334,1652,167,0,22,3289,803,5513,914,9875,*****
Mills,13503,48,59,50,16,17,82,38,0,16,62,62,744,130,563,*****
Mitchell,10061,34,37,32,34,38,64,9,0,16,105,46,197,66,257,*****
Monona,7944,18,21,25,40,41,0,15,0,15,5,10,497,64,233,*****
Monroe,7121,23,90,62,11,18,35,25,3,10,17,23,211,75,156,*****
Montgomery,9392,78,184,101,6,7,109,69,37,42,130,85,337,120,82,52
Muscatine,31908,188,958,252,136,89,272,114,0,22,3491,653,3405,591,8005,*****
O'Brien,12288,139,240,48,55,55,92,32,22,10,487,145,872,251,1074,*****
