CD_COUNTY,RESULT_STATUS,RACE,TOTAL,ETHNICITY
021 Adams,No Result,Unknown ,1,
021 Adams,No Result,White ,106,
031 Allamakee,Court,White ,1,Hispanic/Latinx/Spanish Origins
031 Allamakee,Court,White ,15,
031 Allamakee,Juror,White ,27,
031 Allamakee,Not Used,White ,26,
031 Allamakee,Peremptory Strike (Defendant/Respondent),Unknown ,1,
031 Allamakee,Peremptory Strike (Defendant/Respondent),White ,40,
031 Allamakee,Peremptory Strike (Plaintiff/Petitioner),Other ,1,Hispanic/Latinx/Spanish Origins
031 Allamakee,Peremptory Strike (Plaintiff/Petitioner),White ,33,
041 Appanoose,Alternate,White ,1,
041 Appanoose,Challenged For Cause (Plaintiff/Petitioner),American Indian/Alaskan Native ,1,
041 Appanoose,Challenged For Cause (Plaintiff/Petitioner),White ,8,
041 Appanoose,Court,White ,8,
041 Appanoose,Juror,White ,13,
041 Appanoose,Not Used,White ,17,
041 Appanoose,Peremptory Strike (Defendant/Respondent),Asian ,1,
041 Appanoose,Peremptory Strike (Defendant/Respondent),Black/African American ,1,
041 Appanoose,Peremptory Strike (Defendant/Respondent),White ,9,
041 Appanoose,Peremptory Strike (Plaintiff/Petitioner),Unknown ,1,
041 Appanoose,Peremptory Strike (Plaintiff/Petitioner),White ,10,
061 Benton,Challenged For Cause (Plaintiff/Petitioner),White ,1,
061 Benton,Court,White ,8,
061 Benton,Juror,White ,1,Hispanic/Latinx/Spanish Origins
061 Benton,Juror,White ,51,
061 Benton,No Result,White ,40,
061 Benton,Not Used,American Indian/Alaskan Native ,1,Hispanic/Latinx/Spanish Origins
061 Benton,Not Used,White ,40,
061 Benton,Not Used,White ,1,Hispanic/Latinx/Spanish Origins
061 Benton,Peremptory Strike (Defendant/Respondent),"Multi Race Black/African American, White",1,
061 Benton,Peremptory Strike (Defendant/Respondent),White ,23,
061 Benton,Peremptory Strike (Plaintiff/Petitioner),Multi Race Other,1,Hispanic/Latinx/Spanish Origins
061 Benton,Peremptory Strike (Plaintiff/Petitioner),White ,23,
071 Black Hawk,Alternate,Asian ,1,
071 Black Hawk,Alternate,Black/African American ,6,
071 Black Hawk,Alternate,"Multi Race Other, White",1,Hispanic/Latinx/Spanish Origins
071 Black Hawk,Alternate,Other ,1,Hispanic/Latinx/Spanish Origins
071 Black Hawk,Alternate,White ,31,
071 Black Hawk,Court,American Indian/Alaskan Native ,1,Hispanic/Latinx/Spanish Origins
071 Black Hawk,Court,American Indian/Alaskan Native ,1,
071 Black Hawk,Court,Asian ,1,
