CD_COUNTY,MULTI_RACE_BREAKOUT,MULTI_RACE_COUNT,HLSO_ETHNICITY_COUNT,,,Note: Only counties that had criminal panels with Multi Race information appear in this section.
061 Benton,"Multi Race Black/African American, White",1,0,,,
061 Benton,Multi Race Other,1,1,,,
071 Black Hawk,"Multi Race American Indian/Alaskan Native, Asian, White",1,0,,,
071 Black Hawk,"Multi Race American Indian/Alaskan Native, Black/African American, Other, Unknown, White",1,0,,,
071 Black Hawk,"Multi Race American Indian/Alaskan Native, Native Hawaiian/Other Pacific Islander",1,1,,,
071 Black Hawk,"Multi Race American Indian/Alaskan Native, White",1,0,,,
071 Black Hawk,Multi Race Asian,1,0,,,
071 Black Hawk,"Multi Race Asian, Black/African American",1,0,,,
071 Black Hawk,"Multi Race Asian, White",5,0,,,
071 Black Hawk,Multi Race Black/African American,1,0,,,
071 Black Hawk,"Multi Race Black/African American, White",25,1,,,
071 Black Hawk,Multi Race Other,3,2,,,
071 Black Hawk,"Multi Race Other, White",10,10,,,
071 Black Hawk,Multi Race Unknown,1,0,,,
071 Black Hawk,Multi Race White,4,4,,,
081 Boone,"Multi Race American Indian/Alaskan Native, Asian, Black/African American, White",1,0,,,
081 Boone,"Multi Race Asian, Native Hawaiian/Other Pacific Islander, Other",1,0,,,
081 Boone,"Multi Race Asian, White",2,0,,,
081 Boone,Multi Race White,1,1,,,
091 Bremer,"Multi Race Black/African American, White",2,0,,,
091 Bremer,"Multi Race Other, White",1,1,,,
101 Buchanan,"Multi Race Asian, White",1,0,,,
101 Buchanan,"Multi Race Black/African American, White",1,0,,,
141 Carroll,"Multi Race American Indian/Alaskan Native, White",2,1,,,
141 Carroll,Multi Race White,1,1,,,
171 Cerro Gordo,"Multi Race Black/African American, White",2,0,,,
171 Cerro Gordo,Multi Race Other,1,1,,,
171 Cerro Gordo,"Multi Race Other, White",2,1,,,
171 Cerro Gordo,Multi Race White,1,1,,,
201 Clarke,"Multi Race American Indian/Alaskan Native, White",1,0,,,
201 Clarke,"Multi Race Other, White",1,1,,,
231 Clinton,Multi Race ,2,1,,,
231 Clinton,"Multi Race American Indian/Alaskan Native, Black/African American, White",1,0,,,
231 Clinton,"Multi Race American Indian/Alaskan Native, White",1,0,,,
231 Clinton,"Multi Race Black/African American, Other, White",1,0,,,
231 Clinton,"Multi Race Black/African American, White",4,0,,,
231 Clinton,"Multi Race Other, White",1,1,,,
231 Clinton,Multi Race White,2,2,,,
251 Dallas,"Multi Race American Indian/Alaskan Native, Unknown, White",1,0,,,
251 Dallas,"Multi Race American Indian/Alaskan Native, White",3,0,,,
251 Dallas,Multi Race Asian,1,1,,,
251 Dallas,"Multi Race Asian, White",2,0,,,
251 Dallas,"Multi Race Black/African American, White",2,0,,,
251 Dallas,"Multi Race Other, White",2,1,,,
251 Dallas,Multi Race Unknown,1,0,,,
291 Des Moines,Multi Race ,1,0,,,
291 Des Moines,"Multi Race American Indian/Alaskan Native, Other, White",1,0,,,
291 Des Moines,"Multi Race Black/African American, White",6,1,,,
291 Des Moines,Multi Race Other,1,1,,,
291 Des Moines,"Multi Race Other, White",3,3,,,
291 Des Moines,Multi Race White,2,2,,,
311 Dubuque,"Multi Race American Indian/Alaskan Native, White",2,1,,,
311 Dubuque,"Multi Race Asian, Black/African American, White",1,0,,,
311 Dubuque,"Multi Race Asian, White",1,0,,,
311 Dubuque,"Multi Race Black/African American, Other, White",1,1,,,
311 Dubuque,"Multi Race Black/African American, White",4,1,,,
311 Dubuque,Multi Race Other,1,0,,,
311 Dubuque,"Multi Race Other, White",1,1,,,
321 Emmet,"Multi Race Asian, White",1,0,,,
321 Emmet,"Multi Race Black/African American, White",1,0,,,
361 Fremont,"Multi Race American Indian/Alaskan Native, White",1,1,,,
361 Fremont,"Multi Race Native Hawaiian/Other Pacific Islander, White",1,0,,,
