CD_COUNTY,AMERICAN_INDIAN__ALASKAN_NATIVE,ASIAN,BLACK__AFRICAN_AMERICAN,HISPANIC_LATINO_SPANISH_ORIGINS,MULTI_RACE,NATIVE_HAWAIIAN_OTHER_PACIFIC_ISLANDER,NOT_PROVIDED,OTHER,UNKNOWN,WHITE,TOTAL,HLSO_ETHNICITY,,Note: Only counties that had criminal panels with Multi Race information appear in this section.
011 Adair,0,0,0,0,0,0,0,0,0,0,0,0,,
021 Adams,0,0,0,0,0,0,0,0,1,106,107,0,,
031 Allamakee,0,0,0,0,0,0,0,1,1,142,144,2,,
041 Appanoose,1,1,1,0,0,0,0,0,1,66,70,0,,
051 Audubon,0,0,0,0,0,0,0,0,0,0,0,0,,
061 Benton,1,0,0,0,2,0,0,0,0,188,191,4,,
071 Black Hawk,6,37,200,0,55,3,1,44,11,2424,2781,82,,
081 Boone,2,2,2,0,5,0,0,4,0,531,546,7,,
091 Bremer,0,1,2,0,3,0,0,2,0,300,308,4,,
101 Buchanan,1,2,0,0,2,0,2,0,0,375,382,3,,
111 Buena Vista,0,3,0,1,0,0,0,7,1,48,60,12,,
121 Butler,0,0,0,0,0,0,0,0,0,80,80,0,,
131 Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,,
141 Carroll,0,0,1,0,3,0,0,0,0,59,63,2,,
151 Cass,0,0,0,0,0,0,0,0,0,0,0,0,,
161 Cedar,0,1,0,0,0,0,0,0,0,46,47,1,,
171 Cerro Gordo,1,3,4,0,6,0,2,6,0,359,381,16,,
181 Cherokee,0,0,0,0,0,0,0,0,0,0,0,0,,
191 Chickasaw,0,0,0,0,0,0,0,0,0,40,40,0,,
201 Clarke,2,0,0,0,2,0,0,2,1,162,169,5,,
211 Clay,1,2,1,0,0,0,0,3,0,186,193,4,,
221 Clayton,0,0,0,0,0,0,0,1,0,80,81,1,,
231 Clinton,1,2,9,0,12,3,0,7,1,514,549,13,,
241 Crawford,0,0,0,0,0,0,0,2,0,59,61,6,,
251 Dallas,2,19,17,0,12,2,0,17,2,714,785,22,,
261 Davis,1,0,0,0,0,0,1,1,0,62,65,1,,
271 Decatur,0,0,0,0,0,0,0,0,0,0,0,0,,
281 Delaware,0,0,0,0,0,0,0,0,0,26,26,0,,
291 Des Moines,3,4,25,0,14,1,5,5,3,800,860,20,,
301 Dickinson,0,0,0,0,0,0,0,2,0,77,79,0,,
311 Dubuque,0,10,13,0,11,1,0,6,1,855,897,22,,
321 Emmet,0,0,0,0,2,0,0,1,0,37,40,3,,
331 Fayette,0,0,0,0,0,0,0,0,0,0,0,0,,
341 Floyd,0,0,2,0,0,0,0,2,0,50,54,3,,
351 Franklin,0,0,0,0,0,0,0,0,0,0,0,0,,
361 Fremont,0,0,0,0,2,0,0,0,1,34,37,1,,
371 Greene,1,1,0,0,0,0,1,2,0,233,238,4,,
381 Grundy,0,0,0,0,0,0,0,0,0,0,0,0,,
391 Guthrie,0,2,1,0,2,0,1,3,3,210,222,5,,
401 Hamilton,0,1,0,0,0,0,0,0,0,58,59,1,,
411 Hancock,1,0,2,0,2,0,0,3,1,268,277,9,,
421 Hardin,1,0,0,0,0,0,0,0,0,136,137,0,,
431 Harrison,0,1,0,0,0,0,0,0,0,135,136,1,,
441 Henry,0,0,0,0,1,0,0,1,0,26,28,2,,
451 Howard,0,0,1,0,0,0,1,1,0,53,56,0,,
461 Humboldt,0,0,0,0,0,0,0,0,0,0,0,0,,
471 Ida,0,0,0,0,0,0,0,0,0,0,0,0,,
481 Iowa,0,0,0,0,0,0,0,0,0,0,0,0,,
491 Jackson,0,0,0,0,0,1,0,0,1,58,60,2,,
501 Jasper,1,2,0,0,3,0,0,2,0,186,194,5,,
511 Jefferson,0,0,0,0,3,0,0,0,0,123,126,3,,
521 Johnson,2,33,55,1,17,2,2,22,6,912,1052,57,,
531 Jones,0,0,0,0,1,0,0,1,0,92,94,2,,
541 Keokuk,0,0,0,0,0,0,0,0,0,54,54,0,,
551 Kossuth,0,0,2,0,1,0,0,0,1,95,99,1,,
561 Lee,0,1,2,0,1,0,0,0,0,38,42,1,,
562 Lee,0,0,2,0,0,0,0,0,1,118,121,3,,
571 Linn,12,35,118,0,45,3,0,41,5,2721,2980,90,,
581 Louisa,0,0,1,0,3,1,1,7,0,193,206,13,,
591 Lucas,0,0,2,0,2,0,1,0,0,113,118,0,,
601 Lyon,0,0,0,0,2,0,0,1,0,112,115,3,,
611 Madison,1,1,1,0,2,0,0,2,1,357,365,4,,
621 Mahaska,0,3,2,0,4,0,0,2,0,268,279,3,,
631 Marion,0,0,1,0,0,0,0,1,0,69,71,0,,
641 Marshall,8,18,8,0,10,3,2,63,4,1201,1317,176,,
651 Mills,0,2,0,0,2,0,1,3,0,167,175,6,,
661 Mitchell,1,0,0,0,0,0,0,0,0,132,133,1,,
671 Monona,2,0,0,0,0,0,0,1,0,80,83,0,,
681 Monroe,0,0,0,0,0,0,0,1,0,44,45,1,,
691 Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,,
701 Muscatine,2,13,14,0,22,0,6,65,3,1201,1326,153,,
711 O'Brien,0,1,0,0,1,0,0,0,0,40,42,0,,
721 Osceola,0,0,0,0,0,0,0,0,0,0,0,0,,
731 Page,0,0,0,0,1,0,0,0,0,80,81,0,,
741 Palo Alto,0,1,0,0,1,0,0,0,0,117,119,2,,
751 Plymouth,1,2,1,0,3,2,1,4,0,272,286,8,,
761 Pocahontas,0,0,0,0,0,0,0,0,0,0,0,0,,
771 Polk,10,129,189,0,79,4,0,88,13,3520,4032,248,,
781 Pottawattamie,0,2,1,0,3,0,0,4,0,183,193,13,,
782 Pottawattamie,0,0,0,0,0,0,0,0,0,0,0,0,,
791 Poweshiek,0,0,0,0,1,0,0,0,0,72,73,0,,
801 Ringgold,0,0,0,0,0,0,0,0,0,0,0,0,,
811 Sac,0,0,0,0,0,0,0,0,0,0,0,0,,
821 Scott,17,99,305,4,128,7,19,99,15,5242,5935,352,,
831 Shelby,0,0,0,0,0,0,0,0,0,0,0,0,,
841 Sioux,0,2,0,0,1,1,0,2,0,176,182,6,,
851 Story,1,23,9,1,11,1,0,4,4,664,718,12,,
861 Tama,16,0,1,0,4,2,0,7,0,267,297,11,,
871 Taylor,0,0,0,0,2,1,0,0,1,65,69,1,,
881 Union,2,3,1,0,3,0,3,0,0,242,254,5,,
891 Van Buren,0,0,0,0,0,0,0,0,0,29,29,0,,
901 Wapello,6,2,4,0,9,5,0,17,3,628,674,31,,
911 Warren,0,5,1,0,9,1,1,8,1,549,575,23,,
921 Washington,1,0,1,0,1,0,2,1,1,239,246,4,,
931 Wayne,1,0,1,0,0,0,0,0,0,109,111,0,,
941 Webster,3,2,19,0,9,1,0,11,1,682,728,27,,
951 Winnebago,0,3,1,0,6,0,0,4,0,296,310,14,,
961 Winneshiek,0,3,0,0,0,0,1,1,0,138,143,1,,
971 Woodbury,22,29,34,2,44,4,2,59,6,1263,1465,155,,
981 Worth,0,0,0,0,0,0,0,0,1,71,72,2,,
991 Wright,0,1,0,0,1,0,0,0,0,52,54,5,,
