CD_COURT_NAME,AMERICAN_INDIAN__ALASKAN_NATIVE,ASIAN,BLACK__AFRICAN_AMERICAN,HISPANIC_LATINO_SPANISH_ORIGINS,MULTI_RACE,NATIVE_HAWAIIAN_OTHER_PACIFIC_ISLANDER,NOT_PROVIDED,OTHER,UNKNOWN,WHITE,HLSO_ETHNICITY,TOTAL
011 Adair County District Court,1,3,4,0,2,0,55,6,0,699,13,770
021 Adams County District Court,0,5,2,1,4,0,54,2,4,643,8,715
031 Allamakee County District Court,5,6,5,1,7,0,86,14,3,953,32,1080
041 Appanoose County District Court,4,8,5,0,4,0,64,0,3,812,8,900
051 Audubon County District Court,3,3,6,2,2,0,54,8,0,952,14,1030
061 Benton County District Court,5,3,5,1,17,1,66,11,2,1716,28,1827
071 Black Hawk County District Court,41,412,1586,35,287,54,1192,388,51,13613,581,17659
081 Boone County District Court,12,18,37,4,67,0,289,54,16,5522,111,6019
091 Bremer County District Court,1,6,11,0,8,0,42,5,0,987,14,1060
101 Buchanan County District Court,2,8,8,0,11,0,69,8,3,1506,17,1615
111 Buena Vista County District Court,4,100,14,14,11,21,501,143,6,1016,273,1830
121 Butler County District Court,1,2,3,0,4,1,40,4,4,926,11,985
131 Calhoun County District Court,0,2,6,0,5,1,44,7,0,560,9,625
141 Carroll County District Court,1,6,9,2,9,0,88,8,1,1150,25,1274
151 Cass County District Court,8,7,6,1,11,4,127,11,6,1669,22,1850
161 Cedar County District Court,9,12,17,2,16,2,161,18,11,2422,44,2670
171 Cerro Gordo County District Court,6,27,43,6,38,10,245,35,3,2652,118,3065
181 Cherokee County District Court,1,3,9,0,5,0,111,14,2,930,25,1075
191 Chickasaw County District Court,2,2,5,4,4,2,72,14,0,1005,23,1110
201 Clarke County District Court,5,7,7,21,9,3,164,35,7,700,77,958
211 Clay County District Court,3,14,10,0,13,0,142,33,0,1615,51,1830
221 Clayton County District Court,0,3,2,0,4,0,49,4,6,953,8,1021
231 Clinton County District Court,24,47,221,11,114,12,630,101,19,7846,220,9025
241 Crawford County District Court,5,35,29,155,13,1,363,168,7,1764,337,2540
251 Dallas County District Court,9,174,120,20,60,3,342,100,7,3815,197,4650
261 Davis County District Court,3,3,3,1,4,0,56,4,0,676,9,750
271 Decatur County District Court,1,4,4,0,2,1,38,6,1,497,8,554
281 Delaware County District Court,1,5,8,0,2,0,39,9,1,996,20,1061
291 Des Moines County District Court,12,43,203,9,78,5,380,45,8,3921,106,4704
