"court_number","county_name","dataset","race","adjusted_total","jury_count","jury_pool_pct","county_population_pct","representation_gap","population_proportion","expected_count","expected_binomial_sd","standardized_difference","below_expected_1sd","below_expected_2sd","above_expected_1sd","above_expected_2sd"
"011","Adair","Overall Pool","Hispanic/Latino/Spanish Origins",715,0,0,3.15013404825737,-3.15013404825737,0.0315013404825737,22.5234584450402,4.67053950970527,-4.82245325154343,TRUE,TRUE,FALSE,FALSE
"011","Adair","Overall Pool","Black/African American",715,4,0.56,1.54155495978552,-0.981554959785523,0.0154155495978552,11.0221179624665,3.29426865272744,-2.1316166660095,TRUE,TRUE,FALSE,FALSE
"011","Adair","Overall Pool","American Indian/Alaskan Native",715,1,0.14,0.17426273458445,-0.0342627345844504,0.0017426273458445,1.24597855227882,1.11526107973931,-0.220556923170239,FALSE,FALSE,FALSE,FALSE
"011","Adair","Overall Pool","Native Hawaiian/Pacific Islander",715,0,0,0.0670241286863271,-0.0670241286863271,0.000670241286863271,0.479222520107239,0.692026968685952,-0.692491104815185,FALSE,FALSE,FALSE,FALSE
"011","Adair","Overall Pool","Asian",715,3,0.42,0.308310991957105,0.111689008042895,0.00308310991957105,2.2044235924933,1.48243958131465,0.536667003184827,FALSE,FALSE,FALSE,FALSE
"011","Adair","Overall Pool","White",715,699,97.76,93.0563002680965,4.70369973190348,0.930563002680965,665.35254691689,6.79706429397876,4.95029201252617,FALSE,FALSE,TRUE,TRUE
"021","Adams","Overall Pool","White",661,643,97.28,94.4781888459415,2.80181115405853,0.944781888459415,624.500828271673,5.87228715175723,3.15024985159166,FALSE,FALSE,TRUE,TRUE
"021","Adams","Overall Pool","Hispanic/Latino/Spanish Origins",661,1,0.15,1.73937051352844,-1.58937051352844,0.0173937051352844,11.497239094423,3.36113961443804,-3.12311903062022,TRUE,TRUE,FALSE,FALSE
"021","Adams","Overall Pool","Asian",661,5,0.76,0,0.76,0,0,0,NA,NA,NA,NA,NA
"021","Adams","Overall Pool","Native Hawaiian/Pacific Islander",661,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"021","Adams","Overall Pool","American Indian/Alaskan Native",661,0,0,0.220872446162341,-0.220872446162341,0.00220872446162341,1.45996686913308,1.20695575917101,-1.20962749300426,TRUE,FALSE,FALSE,FALSE
"021","Adams","Overall Pool","Black/African American",661,2,0.3,0.303699613473219,-0.00369961347321923,0.00303699613473219,2.00745444505798,1.41469354054781,-0.00526930027198147,FALSE,FALSE,FALSE,FALSE
"031","Allamakee","Overall Pool","Black/African American",994,5,0.5,1.8237297757593,-1.3237297757593,0.018237297757593,18.1278739710474,4.21868113700541,-3.11184314355791,TRUE,TRUE,FALSE,FALSE
