court_number,county_name,groups_tested,groups_significantly_underrepresented,groups_below_1sd,groups_below_2sd
111,Buena Vista,7,5,5,5
311,Dubuque,7,5,5,5
511,Jefferson,7,5,5,5
581,Louisa,7,5,5,5
641,Marshall,7,5,5,5
851,Story,7,5,5,5
971,Woodbury,7,5,5,5
621,Mahaska,7,5,5,4
781,Pottawattamie,7,4,5,4
901,Wapello,7,4,5,4
571,Linn,7,4,4,4
071,Black Hawk,7,4,4,3
171,Cerro Gordo,7,4,4,3
241,Crawford,7,4,4,3
531,Jones,7,4,4,3
691,Montgomery,7,4,4,3
721,Osceola,7,4,4,3
831,Shelby,7,4,4,3
981,Worth,7,4,4,3
471,Ida,7,3,5,3
031,Allamakee,7,3,4,3
231,Clinton,7,3,4,3
381,Grundy,7,3,4,3
771,Polk,7,3,4,3
861,Tama,7,3,4,3
011,Adair,7,3,3,3
081,Boone,7,3,3,3
151,Cass,7,3,3,3
251,Dallas,7,3,3,3
321,Emmet,7,3,3,3
401,Hamilton,7,3,3,3
411,Hancock,7,3,3,3
441,Henry,7,3,3,3
461,Humboldt,7,3,3,3
501,Jasper,7,3,3,3
521,Johnson,7,3,3,3
611,Madison,7,3,3,3
701,Muscatine,7,3,3,3
711,O'Brien,7,3,3,3
741,Palo Alto,7,3,3,3
751,Plymouth,7,3,3,3
761,Pocahontas,7,3,3,3
881,Union,7,3,3,3
941,Webster,7,3,3,3
961,Winneshiek,7,3,3,3
421,Hardin,7,3,4,2
601,Lyon,7,3,4,2
731,Page,7,3,4,2
951,Winnebago,7,3,4,2
181,Cherokee,7,3,3,2
221,Clayton,7,3,3,2
491,Jackson,7,3,3,1
331,Fayette,7,2,4,2
791,Poweshiek,7,2,4,2
801,Ringgold,7,2,4,2
051,Audubon,7,2,3,2
121,Butler,7,2,3,2
291,Des Moines,7,2,3,2
391,Guthrie,7,2,3,2
551,Kossuth,7,2,3,2
681,Monroe,7,2,3,2
841,Sioux,7,2,3,2
041,Appanoose,7,2,2,2
101,Buchanan,7,2,2,2
141,Carroll,7,2,2,2
161,Cedar,7,2,2,2
191,Chickasaw,7,2,2,2
201,Clarke,7,2,2,2
211,Clay,7,2,2,2
271,Decatur,7,2,2,2
281,Delaware,7,2,2,2
301,Dickinson,7,2,2,2
341,Floyd,7,2,2,2
351,Franklin,7,2,2,2
361,Fremont,7,2,2,2
371,Greene,7,2,2,2
451,Howard,7,2,2,2
481,Iowa,7,2,2,2
541,Keokuk,7,2,2,2
561,Lee,7,2,2,2
562,Lee,7,2,2,2
651,Mills,7,2,2,2
671,Monona,7,2,2,2
821,Scott,7,2,2,2
871,Taylor,7,2,2,2
921,Washington,7,2,2,2
991,Wright,7,2,2,2
661,Mitchell,7,2,3,1
131,Calhoun,7,2,2,1
261,Davis,7,2,2,1
811,Sac,7,2,2,1
911,Warren,7,2,2,1
591,Lucas,7,1,3,1
061,Benton,7,1,2,1
091,Bremer,7,1,2,1
631,Marion,7,1,2,1
021,Adams,7,1,1,1
431,Harrison,7,1,1,1
891,Van Buren,7,1,1,1
931,Wayne,7,1,1,1
