stage,race,race_count,stage_total,statewide_pct
Criminal Panel,American Indian/Alaska Native,134,36316,0.36898336821235816
Criminal Panel,Asian,507,36316,1.3960788633109373
Criminal Panel,Black/African American,1057,36316,2.9105628373168853
Criminal Panel,Hispanic/Latino,1700,36316,4.681132283291111
Criminal Panel,Native Hawaiian/Pacific Islander,49,36316,0.13492675404780263
Criminal Panel,White,32869,36316,90.5083158938209
Juror,American Indian/Alaska Native,0,6856,0
Juror,Asian,78,6856,1.1376896149358227
Juror,Black/African American,190,6856,2.7712952158693116
Juror,Hispanic/Latino,282,6856,4.11318553092182
Juror,Native Hawaiian/Pacific Islander,6,6856,0.08751458576429405
Juror,White,6300,6856,91.89031505250875
Overall Pool,American Indian/Alaska Native,1028,275339,0.3733579333112999
Overall Pool,Asian,4836,275339,1.756380316627866
Overall Pool,Black/African American,8687,275339,3.1550198119409165
Overall Pool,Hispanic/Latino,13055,275339,4.74142783986286
Overall Pool,Native Hawaiian/Pacific Islander,422,275339,0.1532656107561951
Overall Pool,White,247311,275339,89.82054848750086
