"court_number","county_name","dataset","race","adjusted_total","jury_count","jury_pool_pct","county_population_pct","representation_gap"
"011","Adair","Overall Pool","Asian",715,3,0.42,0.308310991957105,0.111689008042895
"011","Adair","Overall Pool","Native Hawaiian/Pacific Islander",715,0,0,0.0670241286863271,-0.0670241286863271
"011","Adair","Overall Pool","White",715,699,97.76,93.0563002680965,4.70369973190348
"011","Adair","Overall Pool","American Indian/Alaskan Native",715,1,0.14,0.17426273458445,-0.0342627345844504
"011","Adair","Overall Pool","Black/African American",715,4,0.56,1.54155495978552,-0.981554959785523
"011","Adair","Overall Pool","Multiracial",715,2,0.28,2.69436997319035,-2.41436997319035
"011","Adair","Overall Pool","HLSO Ethnicity",715,13,1.82,3.15013404825737,-1.33013404825737
"021","Adams","Overall Pool","Native Hawaiian/Pacific Islander",661,0,0,0,0
"021","Adams","Overall Pool","White",661,643,97.28,94.4781888459415,2.80181115405853
"021","Adams","Overall Pool","Multiracial",661,4,0.61,4.527885146328,-3.917885146328
"021","Adams","Overall Pool","Black/African American",661,2,0.3,0.303699613473219,-0.00369961347321923
"021","Adams","Overall Pool","American Indian/Alaskan Native",661,0,0,0.220872446162341,-0.220872446162341
"021","Adams","Overall Pool","HLSO Ethnicity",661,8,1.21,1.73937051352844,-0.529370513528437
"021","Adams","Overall Pool","Asian",661,5,0.76,0,0.76
"031","Allamakee","Overall Pool","Multiracial",994,7,0.7,6.58529662219699,-5.88529662219699
"031","Allamakee","Overall Pool","HLSO Ethnicity",994,32,3.22,9.14703377803009,-5.92703377803009
"031","Allamakee","Overall Pool","White",994,953,95.88,86.5242690888447,9.35573091115526
"031","Allamakee","Overall Pool","Black/African American",994,5,0.5,1.8237297757593,-1.3237297757593
"031","Allamakee","Overall Pool","American Indian/Alaskan Native",994,5,0.5,0.879931876241839,-0.379931876241839
"031","Allamakee","Overall Pool","Asian",994,6,0.6,0.40448481407891,0.19551518592109
"031","Allamakee","Overall Pool","Native Hawaiian/Pacific Islander",994,0,0,0,0
"041","Appanoose","Overall Pool","White",836,812,97.13,93.7541037426132,3.37589625738674
"041","Appanoose","Overall Pool","Native Hawaiian/Pacific Islander",836,0,0,0,0
"041","Appanoose","Overall Pool","American Indian/Alaskan Native",836,4,0.48,0.0246224556795798,0.45537754432042
"041","Appanoose","Overall Pool","Asian",836,8,0.96,0.911030860144452,0.0489691398555483
"041","Appanoose","Overall Pool","Black/African American",836,5,0.6,0.820748522652659,-0.220748522652659
"041","Appanoose","Overall Pool","HLSO Ethnicity",836,8,0.96,2.04366382140512,-1.08366382140512
"041","Appanoose","Overall Pool","Multiracial",836,4,0.48,3.00393959290873,-2.52393959290873
"051","Audubon","Overall Pool","American Indian/Alaskan Native",976,3,0.31,0.17860332202179,0.13139667797821
"051","Audubon","Overall Pool","Asian",976,3,0.31,0.0535809966065369,0.256419003393463
"051","Audubon","Overall Pool","Native Hawaiian/Pacific Islander",976,0,0,0.250044650830505,-0.250044650830505
"051","Audubon","Overall Pool","Multiracial",976,2,0.2,3.33988212180747,-3.13988212180747
"051","Audubon","Overall Pool","HLSO Ethnicity",976,14,1.43,2.50044650830505,-1.07044650830505
"051","Audubon","Overall Pool","White",976,952,97.54,93.8381853902483,3.70181460975174
"051","Audubon","Overall Pool","Black/African American",976,6,0.61,0.500089301661011,0.109910698338989
"061","Benton","Overall Pool","HLSO Ethnicity",1761,28,1.59,1.97092209609703,-0.38092209609703
"061","Benton","Overall Pool","Multiracial",1761,17,0.97,3.25377079769865,-2.28377079769865
"061","Benton","Overall Pool","Native Hawaiian/Pacific Islander",1761,1,0.06,0,0.06
"061","Benton","Overall Pool","Asian",1761,3,0.17,0.233245218473021,-0.0632452184730213
"061","Benton","Overall Pool","American Indian/Alaskan Native",1761,5,0.28,0.101072928004976,0.178927071995024
"061","Benton","Overall Pool","Black/African American",1761,5,0.28,0.415953972943555,-0.135953972943555
"061","Benton","Overall Pool","White",1761,1716,97.44,94.4371015394184,3.00289846058155
"071","Black Hawk","Overall Pool","Black/African American",16467,1586,9.63,9.25989515372113,0.370104846278874
"071","Black Hawk","Overall Pool","Multiracial",16467,287,1.74,5.08512083266564,-3.34512083266564
"071","Black Hawk","Overall Pool","Native Hawaiian/Pacific Islander",16467,54,0.33,0.735602713488848,-0.405602713488848
"071","Black Hawk","Overall Pool","American Indian/Alaskan Native",16467,41,0.25,0.29149402132027,-0.0414940213202695
"071","Black Hawk","Overall Pool","Asian",16467,412,2.5,2.7203565078711,-0.220356507871101
"071","Black Hawk","Overall Pool","White",16467,13613,82.67,78.0601149188471,4.60988508115285
"071","Black Hawk","Overall Pool","HLSO Ethnicity",16467,581,3.53,5.23544628345123,-1.70544628345123
"081","Boone","Overall Pool","American Indian/Alaskan Native",5730,12,0.21,0.0412479376031198,0.16875206239688
"081","Boone","Overall Pool","Black/African American",5730,37,0.65,1.15119244037798,-0.501192440377981
"081","Boone","Overall Pool","Multiracial",5730,67,1.17,3.85855707214639,-2.68855707214639
"081","Boone","Overall Pool","HLSO Ethnicity",5730,111,1.94,2.93610319484026,-0.996103194840258
"081","Boone","Overall Pool","Asian",5730,18,0.31,0.19874006299685,0.11125993700315
"081","Boone","Overall Pool","White",5730,5522,96.37,92.8866056697165,3.48339433028349
"081","Boone","Overall Pool","Native Hawaiian/Pacific Islander",5730,0,0,0,0
"091","Bremer","Overall Pool","White",1018,987,96.95,92.271068084431,4.67893191556897
"091","Bremer","Overall Pool","Native Hawaiian/Pacific Islander",1018,0,0,0.0317409934930963,-0.0317409934930963
"091","Bremer","Overall Pool","American Indian/Alaskan Native",1018,1,0.1,0.0476114902396445,0.0523885097603555
"091","Bremer","Overall Pool","Black/African American",1018,11,1.08,1.1466433899381,-0.0666433899381049
"091","Bremer","Overall Pool","Multiracial",1018,8,0.79,3.78908109823837,-2.99908109823837
"091","Bremer","Overall Pool","Asian",1018,6,0.59,0.896683066179971,-0.306683066179971
